t_low,t_high,n,mean_alpha,median_alpha,std_alpha,mean_dw,mean_ds,mean_r2,abs_mean_alpha_minus_1,abs_median_alpha_minus_1,n_fixed_window,mean_alpha_fixed_window,median_alpha_fixed_window,mean_dw_fixed_window,mean_ds_fixed_window,abs_fixed_window_alpha_minus_1,alpha_corr_logM
1,5,61,-0.2953739001333321,-0.2954016930944152,0.0006750602739257934,2.0855494695719474,1.6883252140279879,0.9981759625006601,1.295373900133332,1.2954016930944152,11,-0.2954125624027049,-0.29540169309441566,2.0853101926895126,1.6883404354169942,1.2954125624027049,0.4796484311263065
1,6,61,-0.2753473304360118,-0.27538828372281365,0.0008722735479069596,2.1649760119588755,1.6883252140279879,0.9945409268810237,1.275347330436012,1.2753882837228137,11,-0.2753971296898341,-0.27538828372281365,2.164746895725285,1.6883404354169942,1.275397129689834,0.4798922192996559
1,7,61,-0.24394301275401456,-0.24400643942780764,0.0011690616713826824,2.2657511637862333,1.6883252140279879,0.9877678640460722,1.2439430127540145,1.2440064394278076,11,-0.24400946365998016,-0.2440064394278081,2.2655172691145475,1.6883404354169942,1.24400946365998,0.48009553640954244
1,8,61,-0.20035711879927567,-0.20045017891392902,0.0015232992062107409,2.382169138153088,1.6883252140279879,0.977938342823204,1.2003571187992756,1.200450178913929,11,-0.20044333495866695,-0.20045017891392902,2.381924340798329,1.6883404354169942,1.200443334958667,0.4802355994506716
1,9,61,-0.14500425595318367,-0.14513186618440876,0.0019061406409865494,2.5093790333596293,1.6883252140279879,0.9656498857532908,1.1450042559531837,1.1451318661844088,11,-0.1451117355915992,-0.14513186618440876,2.509120860564035,1.6883404354169942,1.1451117355915992,0.48032801756409715
1,10,61,-0.07902539450658774,-0.07919056992195905,0.0022998782763545282,2.643750025282659,1.6883252140279879,0.9516452229823713,1.0790253945065877,1.079190569921959,11,-0.07915466395689676,-0.07919056992195905,2.6434774527249285,1.6883404354169942,1.0791546639568967,0.4803886991701625
1,11,61,-0.003849296045012929,-0.004053670283051147,0.002694600570030626,2.7827042231242096,1.6883252140279879,0.9365992589590061,1.003849296045013,1.0040536702830511,11,-0.004000349734091024,-0.0040536702830520355,2.782416800938533,1.6883404354169942,1.004000349734091,0.48042873437899797
1,12,61,0.07908781176520378,0.07884351313848104,0.0030851620881297056,2.9244600555287943,1.6883252140279879,0.9210415189573358,0.9209121882347963,0.921156486861519,11,0.07891524816718407,0.07884351313848015,2.9241575744712023,1.6883404354169942,0.9210847518328159,0.48045531722060325
1,13,61,0.16848173769008665,0.16819734771325567,0.0034690943713169193,3.0678043705318703,1.6883252140279879,0.9053530336063909,0.8315182623099133,0.8318026522867443,11,0.1682880626397927,0.16819734771325567,3.067486735358507,1.6883404354169942,0.8317119373602073,0.4804730525312506
1,14,61,0.2632094510450583,0.2628851301675841,0.003845365454855594,3.2119175496306855,1.6883252140279879,0.8897922555505187,0.7367905489549418,0.7371148698324159,11,0.2629951111947001,0.2628851301675841,3.2115847285835115,1.6883404354169942,0.7370048888052999,0.48048489390678906
1,15,61,0.36233070071187895,0.3619667929987749,0.004213697658879719,3.3562480361399616,1.6883252140279879,0.8745262027932588,0.637669299288121,0.6380332070012251,11,0.3620961519135898,0.3619667929987749,3.3559000378386843,1.6883404354169942,0.6379038480864102,0.4804927508422908
1,16,61,0.4650691462548314,0.46466609295753347,0.004574203422195183,3.500425578835521,1.6883252140279879,0.8596574010885832,0.5349308537451686,0.5353339070424665,11,0.46481483387106903,0.46466609295753347,3.500062439430735,1.6883404354169942,0.535185166128931,0.48049787212169326
1,17,61,0.5707873812155186,0.5703456697416573,0.004927190981803845,3.6442024553708787,1.6883252140279879,0.8452443772470795,0.42921261878448136,0.42965433025834265,11,0.5705137305443811,0.5703456697416565,3.6438242301403974,1.6883404354169942,0.42948626945561885,0.48050108610814457
1,18,61,0.6789624802656209,0.678482614332939,0.005273059257506435,3.7874140329024395,1.6883252140279879,0.8313162822663203,0.3210375197343791,0.321517385667061,11,0.678669892356072,0.6784826143329381,3.787020790275699,1.6883404354169942,0.321330107643928,0.4805029511394047
1,19,61,0.7891645909880469,0.7886470733121955,0.005612240218240064,3.9299523600090085,1.6883252140279879,0.8178829778709767,0.21083540901195308,0.21135292668780448,11,0.7888534413723192,0.7886470733121937,3.9295441772067643,1.6883404354169942,0.21114655862768084,0.4805038499467828
1,20,61,0.901039143537371,0.9004844659400923,0.005945167239575438,4.071748428537203,1.6883252140279879,0.804941870088382,0.09896085646262898,0.09951553405990765,11,0.9007097825423251,0.9004844659400923,4.071325388389445,1.6883404354169942,0.09929021745767486,0.4805040493553136
1,21,61,1.0142924404396114,1.013701078381466,0.006272258109826002,4.212760178968321,1.6883252140279879,0.7924824967146855,0.01429244043961142,0.013701078381465948,11,1.0139451943278452,1.013701078381466,4.212322367610143,1.6883404354169942,0.013945194327845245,0.4805037384338296
