t_low,t_high,n,mean_alpha,median_alpha,std_alpha,mean_dw,mean_ds,mean_r2,abs_mean_alpha_minus_1,abs_median_alpha_minus_1,n_fixed_window,mean_alpha_fixed_window,median_alpha_fixed_window,mean_dw_fixed_window,mean_ds_fixed_window,abs_fixed_window_alpha_minus_1,alpha_corr_logM
1,21,61,1.0142924404396114,1.013701078381466,0.006272258109826002,4.212760178968321,1.6883252140279879,0.7924824967146855,0.01429244043961142,0.013701078381465948,11,1.0139451943278452,1.013701078381466,4.212322367610143,1.6883404354169942,0.013945194327845245,0.4805037384338296
2,14,61,0.9647881098540158,0.9639573525388911,0.003842882780880737,4.151413080228783,1.6883252140279879,0.8450141021139448,0.03521189014598425,0.03604264746110886,11,0.9645948003165704,0.9639573525388885,4.151163590555719,1.6883404354169942,0.03540519968342959,0.4765676511502394
1,20,61,0.901039143537371,0.9004844659400923,0.005945167239575438,4.071748428537203,1.6883252140279879,0.804941870088382,0.09896085646262898,0.09951553405990765,11,0.9007097825423251,0.9004844659400923,4.071325388389445,1.6883404354169942,0.09929021745767486,0.4805040493553136
3,11,61,1.100866702685442,1.0996329954582071,0.005083042159439529,4.319063298985538,1.6883252140279879,0.8772282410658154,0.10086670268544196,0.09963299545820714,11,1.1006170990248374,1.0996329954582054,4.318750012052271,1.6883404354169942,0.1006170990248374,0.4747247458766173
1,22,61,1.1286801218831586,1.1280525316582777,0.006593906466777628,4.352964317112542,1.6883252140279879,0.7804895926076875,0.12868012188315858,0.12805253165827768,11,1.1283152943945685,1.1280525316582777,4.352511822330659,1.6883404354169942,0.12831529439456846,0.4805030532012371
4,8,61,0.8506054691697434,0.8491130169365322,0.008224163820334205,4.008154034474338,1.6883252140279879,0.9496593376275899,0.14939453083025656,0.15088698306346782,11,0.8501782570931777,0.8491130169365304,4.007603664916781,1.6883404354169942,0.14982174290682226,0.4788771045144647
2,15,61,1.1687142135730986,1.1677839669166907,0.004317134504272177,4.4015653071887835,1.6883252140279879,0.8256666759815772,0.16871421357309857,0.16778396691669073,11,1.1684969235961773,1.1677839669166898,4.401293818046401,1.6883404354169942,0.1684969235961773,0.4766061917200715
1,19,61,0.7891645909880469,0.7886470733121955,0.005612240218240064,3.9299523600090085,1.6883252140279879,0.8178829778709767,0.21083540901195308,0.21135292668780448,11,0.7888534413723192,0.7886470733121937,3.9295441772067643,1.6883404354169942,0.21114655862768084,0.4805038499467828
3,10,61,0.787624732807258,0.7866217517459475,0.004011282592417903,3.9279833051737096,1.6883252140279879,0.9037624109857867,0.21237526719274202,0.2133782482540525,11,0.7874291102742516,0.7866217517459475,3.92772304609494,1.6883404354169942,0.21257088972574845,0.4741445513488232
2,13,61,0.7675500764041308,0.766820046550194,0.0033605374193418007,3.9022374248954748,1.6883252140279879,0.8651612902581745,0.23244992359586925,0.23317995344980602,11,0.7673811779906026,0.7668200465501922,3.9020104218332063,1.6883404354169942,0.23261882200939743,0.47650760816359405
1,23,61,1.2439979716533769,1.243334589196694,0.006910478124541366,4.49235067478831,1.6883252140279879,0.7689451316544269,0.2439979716533769,0.24333458919669404,11,1.2436158456994781,1.2433345891966923,4.49188358484455,1.6883404354169942,0.24361584569947814,0.48050209287066076
1,18,61,0.6789624802656209,0.678482614332939,0.005273059257506435,3.7874140329024395,1.6883252140279879,0.8313162822663203,0.3210375197343791,0.321517385667061,11,0.678669892356072,0.6784826143329381,3.787020790275699,1.6883404354169942,0.321330107643928,0.4805029511394047
4,9,61,1.3244947488628545,1.3225113739514205,0.010901004338181681,4.588612285949044,1.6883252140279879,0.9212267506392151,0.32449474886285445,0.3225113739514205,11,1.3239289519156725,1.3225113739514187,4.5879306658944925,1.6883404354169942,0.3239289519156725,0.47877779461912906
1,24,61,1.360074587829219,1.3593758285010615,0.007222310214829544,4.630918283243962,1.6883252140279879,0.7578296821260732,0.3600745878292191,0.35937582850106153,11,1.3596754271990266,1.3593758285010598,4.630436686045336,1.6883404354169942,0.35967542719902657,0.4805009307036181
2,16,61,1.3778814135490056,1.3768529747743496,0.004783746311726872,4.6520366995446585,1.6883252140279879,0.8071903569114961,0.3778814135490056,0.37685297477434965,11,1.3776405435899493,1.3768529747743496,4.651743587029994,1.6883404354169942,0.37764054358994925,0.47663223540869293
2,12,61,0.5788377730323473,0.5782095000284295,0.00286985824569944,3.654989761025446,1.6883252140279879,0.885949838915912,0.4211622269676527,0.4217904999715705,11,0.5786937409204993,0.5782095000284286,3.654785905458345,1.6883404354169942,0.4213062590795007,0.4764076847607456
1,17,61,0.5707873812155186,0.5703456697416573,0.004927190981803845,3.6442024553708787,1.6883252140279879,0.8452443772470795,0.42921261878448136,0.42965433025834265,11,0.5705137305443811,0.5703456697416565,3.6438242301403974,1.6883404354169942,0.42948626945561885,0.48050108610814457
3,12,61,1.4362031522792527,1.4347379925725363,0.006136479791838206,4.720953752250974,1.6883252140279879,0.8510285108643014,0.43620315227925266,0.4347379925725363,11,1.4359007255451952,1.4347379925725363,4.720589812764627,1.6883404354169942,0.4359007255451952,0.4750192356259913
1,25,61,1.476765524784231,1.4760317837415737,0.0075297119044257215,4.768672611605316,1.6883252140279879,0.7471233007519074,0.47676552478423107,0.47603178374157373,11,1.476349575784083,1.476031783741571,4.768176594124601,1.6883404354169942,0.476349575784083,0.48049962138353614
3,9,61,0.5027166299538158,0.5019406647864084,0.002923844827342195,3.5521114160110883,1.6883252140279879,0.9296989839235593,0.49728337004618417,0.4980593352135916,11,0.5025761599493267,0.5019406647864084,3.5519080057587415,1.6883404354169942,0.4974238400506733,0.47280536274390844
1,16,61,0.4650691462548314,0.46466609295753347,0.004574203422195183,3.500425578835521,1.6883252140279879,0.8596574010885832,0.5349308537451686,0.5353339070424665,11,0.46481483387106903,0.46466609295753347,3.500062439430735,1.6883404354169942,0.535185166128931,0.48049787212169326
2,17,61,1.5911522872953447,1.5900269371410163,0.005243229070915561,4.902372176044663,1.6883252140279879,0.7896024005401099,0.5911522872953447,0.5900269371410163,11,1.5908882077183641,1.5900269371410154,4.902057743831748,1.6883404354169942,0.5908882077183641,0.4766505087786384
1,26,61,1.5939485924462575,1.5931802453567805,0.007832965945849257,4.905623606646457,1.6883252140279879,0.7368061160691843,0.5939485924462575,0.5931802453567805,11,1.5935160854340844,1.5931802453567796,4.905113254523486,1.6883404354169942,0.5935160854340844,0.48049820610583277
2,11,61,0.4009647753480357,0.4004387991391489,0.0023712093726725803,3.411047621699083,1.6883252140279879,0.9070874315534533,0.5990352246519643,0.5995612008608511,11,0.4008460663749956,0.4004387991391489,3.410867846324773,1.6883404354169942,0.5991539336250045,0.476227457078681
1,15,61,0.36233070071187895,0.3619667929987749,0.004213697658879719,3.3562480361399616,1.6883252140279879,0.8745262027932588,0.637669299288121,0.6380332070012251,11,0.3620961519135898,0.3619667929987749,3.3559000378386843,1.6883404354169942,0.6379038480864102,0.4804927508422908
1,27,61,1.7115200664025805,1.7107174703477899,0.008132330617429429,5.041784289998029,1.6883252140279879,0.726858701891061,0.7115200664025805,0.7107174703477899,11,1.7110712171997629,1.710717470347788,5.041259687271272,1.6883404354169942,0.7110712171997629,0.48049671614722694
1,14,61,0.2632094510450583,0.2628851301675841,0.003845365454855594,3.2119175496306855,1.6883252140279879,0.8897922555505187,0.7367905489549418,0.7371148698324159,11,0.2629951111947001,0.2628851301675841,3.2115847285835115,1.6883404354169942,0.7370048888052999,0.48048489390678906
3,8,61,0.2533980682048542,0.2528400998174192,0.0018355791546037442,3.1973040219682596,1.6883252140279879,0.9536791934469618,0.7466019317951458,0.7471599001825808,11,0.25331339692537164,0.2528400998174192,3.197163455313044,1.6883404354169942,0.7466866030746284,0.46874837684253784
2,10,61,0.2367853200299785,0.23636119211270312,0.0018664870364932824,3.172400956384207,1.6883252140279879,0.9280877152992398,0.7632146799700215,0.7636388078872969,11,0.23669232518431957,0.23636119211270223,3.1722466065792108,1.6883404354169942,0.7633076748156804,0.47586902659674524
3,13,61,1.7885741597331997,1.7868783575864926,0.0071730496993241835,5.130408186664999,1.6883252140279879,0.8257306408710838,0.7885741597331997,0.7868783575864926,11,1.788219897282802,1.7868783575864926,5.12999506596528,1.6883404354169942,0.7882198972828021,0.4751875019740006
