seed,mode,status,delta_edge_mean,delta_node_mean,delta_near_edge_mean,delta_far_edge_mean,delta_near_minus_far,common_edge_delta_mean,common_edge_delta_mean_near,common_edge_delta_mean_far,edge_jaccard,edges_only_baseline,edges_only_perturbed,n_common_edges,support_jaccard
42,free,ok,0.089575386272119,0.09186253348151424,0.09527598289423311,0.05727200541347244,0.038003977480760676,0.04036445775325966,0.03660722493987905,0.05727200541347242,0.7021276595744681,7.0,7.0,33.0,0.7021276595744681
42,frozen_baseline,ok,0.12508753060749955,0.145305493853512,0.13338700153796101,0.07805719533488453,0.05532980620307648,0.12508753060749953,0.13338700153796101,0.07805719533488449,1.0,0.0,0.0,40.0,0.7021276595744681
42,frozen_perturbed,ok,0.009647945282310527,0.010474459052052187,0.019536494567313878,-0.01642186646906199,0.03595836103637587,0.009647945282310527,0.019536494567313892,-0.016421866469061984,1.0,0.0,0.0,40.0,0.7021276595744681
42,frozen_intersection,ok,0.03690129933113939,0.03970815268923078,0.05300845623579592,0.008713774747990455,0.044294681487805465,0.0369012993311394,0.05300845623579594,0.008713774747990463,1.0,0.0,0.0,33.0,0.7021276595744681
42,frozen_union,ok,0.07238812861740981,0.08729121908632531,0.06838710010155546,0.11539918516284409,-0.04701208506128862,0.07238812861740983,0.06838710010155548,0.11539918516284409,1.0,0.0,0.0,47.0,0.7021276595744681
43,free,ok,0.10150289297327672,0.12343165102198274,0.10369256439792254,0.09533537362866984,0.008357190769252704,0.0589557141464407,0.08241027258220875,-0.0026125017474503687,0.5686274509803921,11.0,11.0,29.0,0.5686274509803921
43,frozen_baseline,ok,0.08674846105384967,0.08156972978022829,0.10747754727206832,0.015348275191096522,0.0921292720809718,0.08674846105384969,0.10747754727206836,0.015348275191096519,1.0,0.0,0.0,40.0,0.5686274509803921
43,frozen_perturbed,ok,-0.005448025146573748,0.004074727621616647,-0.03164967692578327,0.06362905681679698,-0.09527873374258025,-0.0054480251465737015,-0.03164967692578325,0.06362905681679694,1.0,0.0,0.0,40.0,0.5686274509803921
43,frozen_intersection,ok,0.019681805638718075,0.01192321008051872,0.00567590950981034,0.039523491821337325,-0.033847582311526986,0.019681805638718065,0.00567590950981034,0.039523491821337346,1.0,0.0,0.0,29.0,0.5686274509803921
43,frozen_union,ok,0.056207079384756636,0.07642105045071473,0.054801878424980105,0.06503977113192408,-0.010237892706943974,0.05620707938475666,0.054801878424980036,0.06503977113192407,1.0,0.0,0.0,51.0,0.5686274509803921
