model,features,n_features,full_improvement_pct,full_rmse_log,full_pearson_C,loo_improvement_pct,loo_rmse_log,loo_pearson_C,loo_spearman_C
logM_only,logMs,1,15.228447128682557,0.4342638319313987,0.5303748626619816,12.917284192171923,0.4461033516645157,0.493792341842636,0.5358236374770361
best_amp_v2_single,norm_rawS_amp_logMstar_amp_factor,1,15.228447128682557,0.4342638319313987,0.5303748626619816,12.917284192171923,0.4461033516645157,0.4937923418426359,0.5358236374770361
logM_plus_best_amp_v2,"logMs,norm_rawS_amp_logMstar_amp_factor",2,15.228447128682546,0.4342638319313988,0.5303748626619815,12.917284192171923,0.4461033516645157,0.4937923418426359,0.5358236374770361
canonical_rawL_rawS_amp_Mstar_amp_factor,rawL_rawS_amp_Mstar_amp_factor,1,12.506871517651163,0.4482057949332045,0.48415811702030737,9.966911008384987,0.4612173884023335,0.4387463413640422,0.5347388679905519
canonical_norm_zS_shape_norm_force_inner_minus_outer,norm_zS_shape_norm_force_inner_minus_outer,1,11.633808878906727,0.4526782802679114,0.4680317659349646,8.974658150227372,0.4663004559389458,0.419842992175563,0.4176537485784271
canonical_norm_rawS_amp_Mstar_force_inner_minus_outer,norm_rawS_amp_Mstar_force_inner_minus_outer,1,6.189224281226647,0.48056954910254446,0.34620048911063644,3.8169869917255514,0.4927219377364191,0.2822821643645782,0.2882512466100954
canonical_rawL_rawS_amp_sqrtMstar_force_inner_minus_outer,rawL_rawS_amp_sqrtMstar_force_inner_minus_outer,1,4.565124382468533,0.48888941374563666,0.2985229217234105,1.9453865156517198,0.502309687011441,0.22303300586093577,0.21728632665558567
canonical_rawL_rawS_amp_sqrtMstar_force_mid_mean,rawL_rawS_amp_sqrtMstar_force_mid_mean,1,4.548308304700372,0.4889755583793293,0.2979847350572263,1.9326770887900597,0.5023747942817888,0.22243936355066984,0.21669145306622342
canonical_rawL_zS_amp_Mstar_force_inner_minus_outer,rawL_zS_amp_Mstar_force_inner_minus_outer,1,7.063986073980901,0.4760883594194288,0.36904269815964125,-2.708246860201196,0.5261491071205601,0.26929251433402124,0.35225264631265857
canonical_rawL_rawS_amp_Mstar_force_inner_minus_outer,rawL_rawS_amp_Mstar_force_inner_minus_outer,1,0.07252013887315044,0.5119039211846659,0.03657158613372793,-2.9845371202064084,0.5275644742215653,-0.6175890018321014,-0.6253696089580965
canonical_rawL_rawS_amp_Mstar_force_mid_mean,rawL_rawS_amp_Mstar_force_mid_mean,1,0.07089034394513606,0.5119122702235442,0.0361234649557346,-2.9868117667069027,0.527576126676571,-0.6215079320223268,-0.6320881812614818
