feature,variant,amp_mode,loo_improvement_pct,loo_rmse_log,loo_pearson_C,loo_spearman_C,full_improvement_pct,full_pearson_C
norm_rawS_amp_logMstar_amp_factor,norm_rawS,amp_logMstar,12.917284192171923,0.4461033516645157,0.4937923418426359,0.5358236374770361,15.228447128682557,0.5303748626619816
rawL_rawS_amp_logMstar_amp_factor,rawL_rawS,amp_logMstar,12.917284192171923,0.4461033516645157,0.4937923418426359,0.5358236374770361,15.228447128682557,0.5303748626619816
rawL_zS_amp_logMstar_amp_factor,rawL_zS,amp_logMstar,12.917284192171923,0.4461033516645157,0.4937923418426359,0.5358236374770361,15.228447128682557,0.5303748626619816
norm_zS_amp_logMstar_amp_factor,norm_zS,amp_logMstar,12.917284192171923,0.4461033516645157,0.4937923418426359,0.5358236374770361,15.228447128682557,0.5303748626619816
norm_zS_amp_sqrtMstar_amp_factor,norm_zS,amp_sqrtMstar,12.254543573429856,0.44949840897941945,0.4815022341314762,0.5396028343976905,14.55987280023733,0.5195346937986021
rawL_zS_amp_sqrtMstar_amp_factor,rawL_zS,amp_sqrtMstar,12.254543573429856,0.44949840897941945,0.4815022341314762,0.5396028343976905,14.55987280023733,0.5195346937986021
rawL_rawS_amp_sqrtMstar_amp_factor,rawL_rawS,amp_sqrtMstar,12.254543573429856,0.44949840897941945,0.4815022341314762,0.5396028343976905,14.55987280023733,0.5195346937986021
norm_rawS_amp_sqrtMstar_amp_factor,norm_rawS,amp_sqrtMstar,12.254543573429856,0.44949840897941945,0.4815022341314762,0.5396028343976905,14.55987280023733,0.5195346937986021
rawL_zS_amp_sqrtMstar_phi_mid_mean,rawL_zS,amp_sqrtMstar,10.489524181492053,0.4585401695537439,0.4492402951325949,0.4809203044353075,12.683726788507451,0.4873407705831307
rawL_zS_amp_sqrtMstar_phi_inner_minus_outer,rawL_zS,amp_sqrtMstar,10.445215911213838,0.45876714993319356,0.4482994447716216,0.475531449566967,12.628096087876125,0.4863425898672189
norm_zS_amp_Mstar_amp_factor,norm_zS,amp_Mstar,9.966911008384987,0.4612173884023335,0.4387463413640422,0.5347388679905519,12.506871517651163,0.48415811702030737
rawL_rawS_amp_Mstar_amp_factor,rawL_rawS,amp_Mstar,9.966911008384987,0.4612173884023335,0.4387463413640422,0.5347388679905519,12.506871517651163,0.48415811702030737
norm_rawS_amp_Mstar_amp_factor,norm_rawS,amp_Mstar,9.966911008384987,0.4612173884023335,0.4387463413640422,0.5347388679905519,12.506871517651163,0.48415811702030737
rawL_zS_amp_Mstar_amp_factor,rawL_zS,amp_Mstar,9.966911008384987,0.4612173884023335,0.4387463413640422,0.5347388679905519,12.506871517651163,0.48415811702030737
norm_rawS_amp_sqrtMstar_phi_mid_mean,norm_rawS,amp_sqrtMstar,9.232075898762872,0.46498176807609787,0.4224744895953711,0.48340477648499697,11.563518861483574,0.466702097435179
norm_zS_shape_norm_force_inner_mean,norm_zS,shape_norm,8.97494355188696,0.46629899389638396,0.41984961117712466,0.41786370396290784,11.634033424648713,0.4680360058972321
norm_zS_amp_Mstar_force_inner_mean,norm_zS,amp_Mstar,8.97494355188696,0.46629899389638396,0.4198496111771248,0.41786370396290784,11.634033424648713,0.46803600589723227
norm_zS_amp_logMstar_force_inner_mean,norm_zS,amp_logMstar,8.97494355188694,0.4662989938963841,0.41984961117712444,0.41786370396290784,11.63403342464869,0.4680360058972319
norm_zS_amp_sqrtMstar_force_inner_mean,norm_zS,amp_sqrtMstar,8.97494355188694,0.4662989938963841,0.41984961117712444,0.41786370396290784,11.634033424648681,0.46803600589723193
norm_zS_shape_norm_force_inner_minus_outer,norm_zS,shape_norm,8.974658150227372,0.4663004559389458,0.419842992175563,0.4176537485784271,11.633808878906727,0.4680317659349646
norm_zS_amp_Mstar_force_inner_minus_outer,norm_zS,amp_Mstar,8.974658150227372,0.4663004559389458,0.41984299217556303,0.4176537485784271,11.633808878906759,0.4680317659349646
norm_zS_amp_logMstar_force_inner_minus_outer,norm_zS,amp_logMstar,8.974658150227352,0.4663004559389459,0.41984299217556253,0.4176537485784271,11.633808878906727,0.46803176593496415
norm_zS_amp_sqrtMstar_force_inner_minus_outer,norm_zS,amp_sqrtMstar,8.974658150227352,0.4663004559389459,0.4198429921755627,0.4176537485784271,11.633808878906716,0.46803176593496426
norm_zS_amp_Mstar_grad_rms,norm_zS,amp_Mstar,8.932799815023467,0.466514885903105,0.4189530116394935,0.41712886011722505,11.601093075628897,0.4674134867691629
norm_zS_shape_norm_grad_rms,norm_zS,shape_norm,8.932799815023454,0.4665148859031051,0.41895301163949356,0.41712886011722505,11.60109307562891,0.46741348676916283
norm_zS_amp_sqrtMstar_grad_rms,norm_zS,amp_sqrtMstar,8.932799815023444,0.46651488590310514,0.4189530116394932,0.41712886011722505,11.601093075628887,0.46741348676916256
norm_zS_amp_logMstar_grad_rms,norm_zS,amp_logMstar,8.932799815023433,0.4665148859031052,0.4189530116394932,0.41712886011722505,11.601093075628887,0.4674134867691624
norm_rawS_amp_sqrtMstar_phi_inner_minus_outer,norm_rawS,amp_sqrtMstar,8.867937143197889,0.466847161430239,0.4147143327382848,0.46912781034030265,11.211788544865476,0.45997458232577165
norm_zS_amp_logMstar_force_outer_mean,norm_zS,amp_logMstar,8.782781013493977,0.4672833953547703,0.4166281979982035,0.3909894147493657,11.52696041434728,0.4660086063756811
norm_zS_shape_norm_force_outer_mean,norm_zS,shape_norm,8.782781013493958,0.4672833953547704,0.4166281979982036,0.3909894147493657,11.526960414347302,0.4660086063756815
norm_zS_amp_Mstar_force_outer_mean,norm_zS,amp_Mstar,8.782781013493837,0.46728339535477104,0.41662819799820094,0.3909894147493657,11.526960414347162,0.46600860637567876
norm_zS_amp_sqrtMstar_force_outer_mean,norm_zS,amp_sqrtMstar,8.78278101349376,0.4672833953547714,0.4166281979981995,0.3909894147493657,11.526960414347085,0.4660086063756775
norm_zS_amp_logMstar_force_mid_mean,norm_zS,amp_logMstar,8.771098310263874,0.4673432429722809,0.41607092345454666,0.4043565742279765,11.465922261841989,0.4648478039778409
norm_zS_shape_norm_force_mid_mean,norm_zS,shape_norm,8.771098310263863,0.46734324297228097,0.41607092345454644,0.4043565742279765,11.465922261842,0.464847803977841
norm_zS_amp_Mstar_force_mid_mean,norm_zS,amp_Mstar,8.771098310263746,0.4673432429722816,0.41607092345454333,0.4043565742279765,11.465922261841815,0.46484780397783765
norm_zS_amp_sqrtMstar_force_mid_mean,norm_zS,amp_sqrtMstar,8.771098310263614,0.46734324297228225,0.41607092345454116,0.4043565742279765,11.465922261841728,0.4648478039778359
norm_rawS_shape_norm_phi_mid_mean,norm_rawS,shape_norm,8.64038850550738,0.4680128371788507,0.4130298516832007,0.42020820575627676,11.412474020584245,0.46382829849455554
norm_zS_shape_norm_force_mid_minus_outer,norm_zS,shape_norm,8.53486397059204,0.46855341343754775,0.4104512478774497,0.41009535473711833,11.149100000798551,0.45876235385431885
norm_zS_amp_logMstar_force_mid_minus_outer,norm_zS,amp_logMstar,8.53486397059203,0.4685534134375478,0.41045124787744974,0.41009535473711833,11.14910000079856,0.45876235385431907
norm_zS_amp_Mstar_force_mid_minus_outer,norm_zS,amp_Mstar,8.534863970591813,0.4685534134375489,0.41045124787744464,0.41009535473711833,11.149100000798333,0.45876235385431446
norm_zS_amp_sqrtMstar_force_mid_minus_outer,norm_zS,amp_sqrtMstar,8.534863970591672,0.46855341343754964,0.4104512478774419,0.41009535473711833,11.149100000798171,0.4587623538543113
norm_rawS_shape_norm_phi_inner_minus_outer,norm_rawS,shape_norm,8.354410833200108,0.4694778305123042,0.4074271668692994,0.424722246522614,11.211533487096341,0.45996965839587095
rawL_zS_shape_norm_force_inner_mean,rawL_zS,shape_norm,7.889073640709731,0.47186163858832025,0.39743553708756135,0.40579126935526194,10.770238301684145,0.45134836179336346
rawL_zS_shape_norm_force_mid_minus_outer,rawL_zS,shape_norm,7.267742502454029,0.4750445653114724,0.3838805148840792,0.38343102090805703,10.22737832966948,0.4404508224959858
rawL_zS_shape_norm_force_outer_mean,rawL_zS,shape_norm,7.249710733954243,0.4751369376300154,0.3834795169412168,0.38213629603709215,10.211486775760825,0.44012673671690217
rawL_zS_shape_norm_force_inner_minus_outer,rawL_zS,shape_norm,7.249578332495258,0.47513761589015086,0.3834765483470177,0.38213629603709215,10.211366892081374,0.44012429073370113
rawL_zS_shape_norm_grad_rms,rawL_zS,shape_norm,7.245308502582954,0.4751594891794396,0.3833814834653064,0.38213629603709215,10.20759634030786,0.4400473516709031
rawL_zS_shape_norm_force_mid_mean,rawL_zS,shape_norm,7.225231502345696,0.47526233871753826,0.3829341269060741,0.3824512291138133,10.189857213700291,0.4396851562428209
norm_rawS_amp_sqrtMstar_S_std,norm_rawS,amp_sqrtMstar,6.865545140841344,0.47710492355112566,0.3687091644443615,0.41355961858105156,9.281569898750913,0.42062335847360743
rawL_rawS_amp_sqrtMstar_S_std,rawL_rawS,amp_sqrtMstar,6.865545140841344,0.47710492355112566,0.3687091644443615,0.41355961858105156,9.281569898750913,0.42062335847360743
rawL_zS_amp_sqrtMstar_force_mid_mean,rawL_zS,amp_sqrtMstar,6.761927180659246,0.47763573289602346,0.3797010808999239,0.430006123698714,10.048604336531954,0.4367877829803901
rawL_zS_amp_sqrtMstar_grad_rms,rawL_zS,amp_sqrtMstar,6.7490033263700635,0.47770193862538485,0.379558538955484,0.43060099728807627,10.048345818322943,0.4367824584573055
