variant,amp_mode,max,median,mean
norm_rawS,amp_logMstar,12.917284192171923,2.513116627645617,3.857489253342228
norm_zS,amp_logMstar,12.917284192171923,8.776939661878925,5.872447835405563
rawL_zS,amp_logMstar,12.917284192171923,6.677978170318639,6.16962079815633
rawL_rawS,amp_logMstar,12.917284192171923,2.7696029015832155,2.615949817428291
rawL_rawS,amp_sqrtMstar,12.254543573429856,1.9454077520093385,3.006147811438991
rawL_zS,amp_sqrtMstar,12.254543573429856,6.7476173818074585,7.064317223485595
norm_zS,amp_sqrtMstar,12.254543573429856,8.776939661878687,5.806173773531274
norm_rawS,amp_sqrtMstar,12.254543573429856,-2.193235552914654,2.236801032951443
rawL_zS,amp_Mstar,9.966911008384987,-2.6501518423904313,-0.09934775724258901
rawL_rawS,amp_Mstar,9.966911008384987,-2.9532746261962255,0.4592990449002906
norm_rawS,amp_Mstar,9.966911008384987,4.921795686634342,5.246255553466715
norm_zS,amp_Mstar,9.966911008384987,8.776939661878792,5.577410517026831
norm_zS,shape_norm,8.97494355188696,8.771098310263863,5.089688240209301
norm_rawS,shape_norm,8.64038850550738,5.733746896563588,5.8518544269806485
rawL_zS,shape_norm,7.889073640709731,7.245308502582954,4.193550480659343
rawL_rawS,shape_norm,6.4983854688672045,3.4924026732780513,3.4220707632383367
