G_proxy,T_proxy,n_files,pearson_mean,pearson_median,pearson_frac_pos,spearman_mean,spearman_median,spearman_frac_pos,score
G_minus_kappa_plus_halfR,T_grad2_minus_lap,8,0.9952365986561966,0.9956664375556277,1.0,0.417342856374228,0.4592710874984568,1.0,0.7168792450211272
minus_kappa,T_grad2_plus_lap,8,0.9999999999999957,0.9999999999999949,1.0,0.331194061674678,0.4950205776973906,0.75,0.7065536598430149
G_minus_kappa_plus_halfR,T_abs_grad_plus_abslap,8,0.995236622344866,0.9956664402712725,1.0,0.3900214232911622,0.44162656945756174,1.0,0.7056377638412156
G_minus_kappa_plus_halfR,T_grad2_only,8,0.9952365986562068,0.9956664375556277,1.0,0.37585439756951516,0.4062884934049816,1.0,0.6932614817965829
minus_kappa,T_abs_grad_plus_abslap,8,0.9999999999995984,0.9999999999999949,1.0,0.324194386148954,0.4475679722236051,0.75,0.6929405895930381
G_minus_kappa_plus_halfR,T_grad2_plus_abslap,8,0.9952365986562046,0.9956664375556277,1.0,0.3612640885016475,0.41579700294489125,1.0,0.6919910319145928
minus_kappa,T_grad2_only,8,0.9999999999999957,0.9999999999999949,1.0,0.32427287740334754,0.4239224501856814,0.75,0.6870488318972549
G_minus_kappa_plus_halfR,T_grad2_plus_lap,8,0.995236598656217,0.9956664375556277,1.0,0.363925925059603,0.3861012363524067,1.0,0.6852325494059636
minus_kappa,T_grad2_plus_abslap,8,0.9999999999999957,0.9999999999999949,1.0,0.35501257748736914,0.3598507321204381,1.0,0.6787158274019495
minus_kappa,T_grad2_minus_lap,8,0.9999999999999957,0.9999999999999949,1.0,0.3283739078502076,0.380913827168186,1.0,0.677321933754596
G_minus_kappa_minus_halfR,T_grad2_plus_abslap,8,0.9960688422094854,0.9962948254674663,1.0,0.11107939020237426,0.1285717162877538,0.875,0.5580036935417699
G_minus_kappa_minus_halfR,T_abs_grad_plus_abslap,8,0.9960688211477702,0.9962948229560318,1.0,0.01721109477891851,0.146528197930581,0.625,0.5390257342033253
G_minus_kappa_minus_halfR,T_grad2_plus_lap,8,0.9960688422094743,0.9962948254674663,1.0,0.022009914254025466,0.0997323959373512,0.625,0.5285264944670793
G_minus_kappa_minus_halfR,T_grad2_only,8,0.9960688422094834,0.9962948254674663,1.0,0.016900360218450955,0.07168350492537512,0.625,0.5202368832051939
G_minus_kappa_minus_halfR,T_grad2_minus_lap,8,0.9960688422094925,0.9962948254674663,1.0,0.06301627823913628,0.017875314265553107,0.5,0.5183138150454121
