topology,seed,n,hilbert_dim,subsystem_size,d_A,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,g2_plateau,C_modular,candidate_L,family,spearman_lambda_kappa,beta_pred_from_alpha,abs_beta_minus_pred,fit_ok,r2,A_fit,beta,B_fit
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,induced,pos,1.0,,,1,0.8607361554327508,14.574228641129002,0.2061288505710866,2.9155178695935655
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,induced,neg,1.0,,,1,0.0,0.09314822814988458,5.923997037234053e-22,7.355281501882412
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,schur,pos,1.0,,,1,0.9608662450867875,21.20624555644285,0.31395525308750977,-0.09684333848990916
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,schur,neg,1.0,,,1,-2.220446049250313e-16,0.12303549719235499,1.9039189792751013e-16,7.325394232939403
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,input_induced,pos,0.8224783208299743,,,1,0.6557855860434081,6.042521475362194,0.35067381492580524,5.481377227767524
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,input_induced,neg,0.8224783208299743,,,1,0.0,0.07169441141437899,1.4008856850620169e-19,7.376735318617918
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,mi_normalized,pos,1.0,,,1,0.7619045310739762,4.024361419647406,0.8092595006181126,3.814699568778737
chain,0,16,65536,4,16,"1,2,11,13",15,-25.34360506096803,0.010974266603128072,0.2727099232997892,0.11522640528493235,0.0144164399625582,0.21302255029464132,0.21162073939056256,0.08015941657360573,1.2825506651776917,mi_normalized,neg,1.0,,,1,0.0,0.06348818061947292,4.7680561745198475e-18,7.384941549412823
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,induced,pos,1.0,,,1,0.8179650727310654,18552.424556152702,3.624794541469963e-05,-18538.88742253873
chain,1,16,65536,4,16,"1,2,6,14",15,-26.964441245463945,0.008191236329651685,0.4949701910160975,0.11414705310081921,0.014215463325671777,0.2001538285740897,0.3049907477822629,0.04274100028339333,0.6838560045342933,induced,neg,1.0,,,1,1.1102230246251565e-16,0.08849016410404059,2.2119077818830974e-17,7.375909854721264
