geometry,N_actual,n_edges,target_dim,expected_curvature,k,epsilon,density,mean_kappa,median_kappa,std_kappa,q10_kappa,q90_kappa,positive_fraction,negative_fraction,delta_mean_vs_flat_torus2d,delta_median_vs_flat_torus2d
sphere,512,600,2,positive_curvature,23,0.1013041099599799,0.04587359344422701,0.008854117619033583,0.008781886196974065,0.03426690158987045,-0.0315692530433183,0.05054025010000412,0.6366666666666667,0.36333333333333334,0.01052508568710742,0.008781886196974287
circle,512,600,1,compact_1d_geodesic,23,0.010843071241431204,0.04556782045009785,0.003940549411450504,1.1102230246251565e-16,0.08584466432323173,-0.062123659037359946,0.062123659037363055,0.5016666666666667,0.46,0.00561151747952434,3.3306690738754696e-16
embedded_torus,529,600,2,mixed_curvature,23,0.3628757091189882,0.04563355673941685,0.006281385931401447,0.011831716089072575,0.032622418514584965,-0.040947945100779655,0.03973082725212965,0.6416666666666667,0.35833333333333334,0.007952353999475283,0.011831716089072797
flat_torus2d,529,600,2,flat_periodic,23,0.0075614366729678684,0.04441628000229134,-0.0016709680680738364,-2.220446049250313e-16,0.024022340132442966,-0.035747284345818885,0.025634244267612183,0.415,0.5166666666666667,0.0,0.0
