xi,h0,j0,control_mode,ground_state_energy,mean_single_site_entropy,max_single_site_entropy,mean_mutual_information,max_mutual_information,verdict,corr_rho_sigma,rmse_normalized,kl_rho_ent_to_sigma,kl_sigma_to_rho_ent,R_ent_fit,R_sigma_fit,R_d_target,R_d_relative_error,J_eff_mean,J_eff_sum_norm,J_eff_max,J_eff_spectral,J_eff_mean_over_h0,J_eff_spectral_over_h0,xi_over_h0,h0_over_xi
2.0,0.3,1.0,random_J,-3.6705787405675236,0.13267334086277296,0.15010493671554462,0.05215630594273331,0.08193443638548098,weak_or_failed_closure,0.6905382486676608,0.2566546238933577,0.35139266834123445,0.2969218642375134,101.7045742458624,2.999999999747567,3.0,32.9015247486208,0.025591681374891366,0.025591681374891366,0.05873722952720308,0.2826639825182075,0.08530560458297122,0.9422132750606917,6.666666666666667,0.15
2.0,0.5,1.0,random_J,-6.031657797241258,0.0342126820772759,0.040337486136815606,0.010933985229022211,0.02364775002223455,weak_or_failed_closure,0.6722525658934966,0.2550621446952164,0.345636122260738,0.29312481669464896,81.86876906515236,2.999999999747567,3.0,26.289589688384122,0.025591681374891366,0.025591681374891366,0.05873722952720308,0.2826639825182075,0.05118336274978273,0.565327965036415,4.0,0.25
2.0,0.8,1.0,random_J,-9.617514686576042,0.012196679828353036,0.01469975645766969,0.0035376072015149917,0.009163612415368217,weak_or_failed_closure,0.661507855738221,0.2542324462810753,0.34254514375656064,0.291132970955656,74.07739326940943,2.999999999747567,3.0,23.692464423136474,0.025591681374891366,0.025591681374891366,0.05873722952720308,0.2826639825182075,0.0319896017186142,0.35332997814775935,2.5,0.4
2.0,1.0,1.0,random_J,-12.013516460705482,0.007725179376216143,0.009379275922892094,0.0021695441929805125,0.0059720096844713445,weak_or_failed_closure,0.657796321924458,0.25393955985570826,0.3414434122984662,0.29042753502524504,71.64183547673645,2.999999999747567,3.0,22.880611825578814,0.025591681374891366,0.025591681374891366,0.05873722952720308,0.2826639825182075,0.025591681374891366,0.2826639825182075,2.0,0.5
2.5,0.3,1.0,random_J,-3.893831264453385,0.5040055777705551,0.5570171013522757,0.29791509878879807,0.3536935156478622,weak_or_failed_closure,0.7308766365785995,0.26010910358997424,0.3686080942864369,0.30518945795328106,351.97199732700534,2.999999999747567,3.0,116.32399910900178,0.0390926487820591,0.0390926487820591,0.08863160444706282,0.4321787574010858,0.13030882927353032,1.4405958580036193,8.333333333333334,0.12
2.5,0.5,1.0,random_J,-6.09337980908279,0.1026895028285566,0.12475213801060885,0.03790883862326477,0.06220534092207172,weak_or_failed_closure,0.7318445765862912,0.256975994483152,0.3628083128545367,0.29800576716439153,186.23769386475738,2.999999999747567,3.0,61.07923128825246,0.0390926487820591,0.0390926487820591,0.08863160444706282,0.4321787574010858,0.0781852975641182,0.8643575148021716,5.0,0.2
2.5,0.8,1.0,random_J,-9.646350887627968,0.03105241898153847,0.039438116885413585,0.00961649954483004,0.020682277005971694,weak_or_failed_closure,0.7887158911760743,0.2541014199182784,0.3564352325521439,0.29154276548300523,122.68154947040276,2.999999999747567,3.0,39.89384982346758,0.0390926487820591,0.0390926487820591,0.08863160444706282,0.4321787574010858,0.04886581097757387,0.5402234467513573,3.125,0.32
2.5,1.0,1.0,random_J,-12.034861941639718,0.018919085285416637,0.024355627899259224,0.005567706056004043,0.013102144389754197,weak_or_failed_closure,0.8120511366077028,0.25283737315729293,0.3534912647976099,0.2887356695354456,105.91848984588589,2.999999999747567,3.0,34.306163281961965,0.0390926487820591,0.0390926487820591,0.08863160444706282,0.4321787574010858,0.0390926487820591,0.4321787574010858,2.5,0.4
3.0,0.3,1.0,random_J,-4.231261655977158,0.7236892728881766,0.7626762233389518,0.5378567436728365,0.58749551786101,weak_or_failed_closure,-0.6573748255892062,0.2660005106523637,0.38333067997327336,0.31907146101873185,1537487019.7771897,2.999999999747567,3.0,512495672.25906324,0.048389888157692865,0.048389888157692865,0.10186398415953174,0.5352853011695691,0.16129962719230956,1.784284337231897,10.0,0.09999999999999999
3.0,0.5,1.0,random_J,-6.173843716321382,0.1986374206877254,0.22709013334124936,0.08471634924903299,0.12129209175049349,weak_or_failed_closure,-0.662576069530799,0.2688975988049155,0.3934082374829305,0.32595635039962945,373408485.04753184,2.999999999747567,3.0,124469494.01584394,0.048389888157692865,0.048389888157692865,0.10186398415953174,0.5352853011695691,0.09677977631538573,1.0705706023391381,6.0,0.16666666666666666
3.0,0.8,1.0,random_J,-9.676975426516165,0.051714378306392944,0.06189409388595532,0.017124988381939325,0.03239078375958411,weak_or_failed_closure,-0.6571615075698165,0.27115505211750246,0.4013927915157819,0.3313204865598803,33199954.69750484,2.999999999747567,3.0,11066650.565834947,0.048389888157692865,0.048389888157692865,0.10186398415953174,0.5352853011695691,0.06048736019711608,0.6691066264619613,3.75,0.26666666666666666
3.0,1.0,1.0,random_J,-12.056510464841814,0.030356192940946325,0.03678591574477243,0.009405831687956896,0.019524974776262242,weak_or_failed_closure,-0.6521691413611059,0.27197037959116166,0.40434905111751573,0.33325295576784103,15837359.463026932,2.999999999747567,3.0,5279118.8210089775,0.048389888157692865,0.048389888157692865,0.10186398415953174,0.5352853011695691,0.048389888157692865,0.5352853011695691,3.0,0.3333333333333333
4.0,0.3,1.0,random_J,-5.406090388456409,0.8872917794621625,0.9194502564602574,0.7893708803701457,0.8349827987418896,weak_or_failed_closure,0.8509510552175246,0.2628774983097185,0.3735989987714711,0.31166342454152896,1330.8048627132102,2.999999999747567,3.0,442.60162090440343,0.07135939056147862,0.07135939056147862,0.14055226042705402,0.7913773098911296,0.23786463520492876,2.6379243663037655,13.333333333333334,0.075
4.0,0.5,1.0,random_J,-6.688635810764484,0.6128831876261515,0.6810939645782441,0.40525331759855426,0.46692441709416577,weak_or_failed_closure,0.7378089883215392,0.26173778593911246,0.3716280900642298,0.3089837896605752,637.8250418915676,2.999999999747567,3.0,211.6083472971892,0.07135939056147862,0.07135939056147862,0.14055226042705402,0.7913773098911296,0.14271878112295724,1.5827546197822593,8.0,0.125
4.0,0.8,1.0,random_J,-9.816243135843054,0.15349031462510068,0.18923633206058885,0.06213691537877247,0.08346193354830456,weak_or_failed_closure,0.5335323878270932,0.2607346379989825,0.3713036825209801,0.3066340331863184,568.7503093634052,2.999999999747567,3.0,188.5834364544684,0.07135939056147862,0.07135939056147862,0.14055226042705402,0.7913773098911296,0.08919923820184827,0.989221637363912,5.0,0.2
4.0,1.0,1.0,random_J,-12.145148193354753,0.07965798129490793,0.10064042538536001,0.02855216416306789,0.04217491452681729,weak_or_failed_closure,0.48745581025465534,0.2605582439625333,0.37158974886120777,0.3062167695583878,600.138059741705,2.999999999747567,3.0,199.04601991390166,0.07135939056147862,0.07135939056147862,0.14055226042705402,0.7913773098911296,0.07135939056147862,0.7913773098911296,4.0,0.25
