n,hilbert_dim,subsystem_size,d_A,topology,seed,eta_zz,hx,hz,hz_random,j_disorder,j,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,candidate_L,g2_plateau,C_modular,t_dip,g2_dip,t_ramp,g2_ramp,slope_ramp,log_t_dip,log_t_ramp,delta3_proxy,family,spearman_lambda_kappa,fit_ok,r2,A_fit,beta,B_fit
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,induced,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,pos,1.0,1,0.9770992426483148,34.378670338598155,0.23758293043683726,-2.070884576693102
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,induced,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,neg,1.0,1,0.0,0.1745187397152218,9.582179195405631e-17,10.750645813887143
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,schur,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,pos,1.0,1,0.9813726863930037,42.92434979972787,0.5558449021254889,0.4745407321323309
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,schur,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,neg,1.0,1,0.0,0.15890167248288048,1.5272020711854257e-18,10.766262881119486
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,input_induced,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,pos,0.8224783208299743,1,0.5882960115240887,9.224231999921907,0.30332145064970045,7.849465304011619
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,input_induced,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,neg,0.8224783208299743,1,0.0,0.09235192970296087,2.2821804048206496e-21,10.832812623899406
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,mi_normalized,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,pos,1.0,1,0.9508385134872517,12.224082200985372,0.41063764122759905,0.56356678926133
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.09015445859736856,0.18113770248947741,0.0998204468469024,0.02351424448688606,0.1764758420287067,0.5007044303701661,mi_normalized,0.06507026500502308,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.07290160615961151,0.06212334279391776,3.700541393861804,3.7291147663058597,0.0012598595318438904,neg,1.0,1,-2.4424906541753444e-15,0.0880362168651505,3.074700340823972e-14,10.8371283370034
9,512,4,16,chain,1,0.5,0.4,0.0,0.2,0.2,1.0,"0,3,6,8",8,-12.388284841761106,-0.04591845113290821,0.08028422955595402,0.10240952120475717,0.024247335830158652,0.22520649624737327,0.4194580118941874,induced,0.05690508716567237,0.910481394650758,86.09970674486804,8.064846748010342e-06,87.15542521994135,0.08012033739882016,0.0758841248340467,4.4555060054449465,4.4676930215481905,0.003378373680028963,pos,1.0,1,0.968805503243372,29.9542188633314,0.11313145456547345,-6.217198672472347
9,512,4,16,chain,1,0.5,0.4,0.0,0.2,0.2,1.0,"0,3,6,8",8,-12.388284841761106,-0.04591845113290821,0.08028422955595402,0.10240952120475717,0.024247335830158652,0.22520649624737327,0.4194580118941874,induced,0.05690508716567237,0.910481394650758,86.09970674486804,8.064846748010342e-06,87.15542521994135,0.08012033739882016,0.0758841248340467,4.4555060054449465,4.4676930215481905,0.003378373680028963,neg,1.0,1,0.0,0.1950420659927439,1.4587243765396208e-18,7.549139416350154
