candidate_L,n_rows,mean_r2,median_r2,mean_beta,std_beta,mean_C,std_C,mean_gap,max_gap,mean_t_dip,mean_t_ramp,mean_slope_ramp,mean_delta3
induced,405,0.9709045217783787,0.9712416320412656,0.47453716469840923,0.30109857746921637,0.9754239526549282,0.14665532176797538,0.4798127434867709,0.7261822232424137,54.880272256616344,58.78107237247023,0.03600165542634853,0.003422632496248611
input_induced,405,0.5583972230795902,0.8283096911474298,0.6571001949252678,0.3263709778143514,0.9754239526549282,0.14665532176797538,0.4798127434867709,0.7261822232424137,54.880272256616344,58.78107237247023,0.03600165542634853,0.003422632496248611
mi_normalized,405,0.9524405071934846,0.9582502258103521,0.94860524484434,0.5177528939681413,0.9754239526549282,0.14665532176797538,0.4798127434867709,0.7261822232424137,54.880272256616344,58.78107237247023,0.03600165542634853,0.003422632496248611
schur,405,0.961040499307573,0.967778426435221,1.004141478637956,0.8280110424819972,0.9754239526549282,0.14665532176797538,0.4798127434867709,0.7261822232424137,54.880272256616344,58.78107237247023,0.03600165542634853,0.003422632496248611
