sigma,center,N,k,amp,omega,chi,psi,normalize_components,T00_sum,Taa_sum,Tgrad_sum,flux_norm_sum,Taa_over_T00,Tgrad_over_T00,flux_over_T00,div_flux_l1,div_flux_l2,div_flux_linf,flux_l1,flux_l2,flux_linf,conservation_rel_l1,conservation_rel_l2,conservation_rel_linf,edge_div_l1,edge_div_l2,edge_conservation_rel_l1,edge_conservation_rel_l2,verdict_spatial_flux_conservation
0.02,12,20,5,0.15,-0.5,0.5,1.0,True,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.00026553631471882487,9.963385284489911e-05,6.485733885440285e-05,0.0003615232417567076,0.00022094314865380403,0.0001643557736507292,0.7344930672466183,0.4509479178329963,0.39461551860192345,0.0,0.0,0.0,0.0,NOT_CONSERVED
0.05,12,20,5,0.15,-0.5,0.5,1.0,True,0.003612486370379981,0.004217469494250693,9.596176239237324e-07,0.00489183052007229,1.1674700086984902,0.0002656390988190205,1.3541450454130683,0.0033078656020941195,0.0010024356206075795,0.0005977582233932531,0.00489183052007229,0.0013590781605782168,0.0004691041113422393,0.6762020042438505,0.7375849672848068,1.274254923246991,0.0,0.0,0.0,0.0,NOT_CONSERVED
0.08,12,20,5,0.15,-0.5,0.5,1.0,True,0.009155715161822611,0.010271661818310827,3.405852829245241e-06,0.012203640233400606,1.121885252737162,0.0003719920037974668,1.3328986340998457,0.008325008117745418,0.0023938392059910667,0.0011391233918776212,0.012203640233400606,0.003280187714461453,0.001086805359216442,0.6821741675865195,0.7297872604781984,1.048139284755551,0.0,0.0,0.0,0.0,NOT_CONSERVED
0.1,12,20,5,0.15,-0.5,0.5,1.0,True,0.012364033102832203,0.013714319084525441,4.598407125246965e-06,0.016366423582823655,1.1092108028555772,0.0003719180535187679,1.3237123717401431,0.010666401675693382,0.0031063937279361487,0.0014017266104023032,0.016366423582823655,0.004242022618658608,0.0013810103660198156,0.6517246496594179,0.7322907035602837,1.0150007884750305,0.0,0.0,0.0,0.0,NOT_CONSERVED
0.15,12,20,5,0.15,-0.5,0.5,1.0,True,0.01943723484290863,0.021248553502924903,4.3556334597110314e-06,0.02534693632366719,1.093188083318194,0.0002240870934015656,1.304040236613935,0.018097818688027036,0.004738787120484516,0.0018811956526419156,0.02534693632366719,0.006016771185293826,0.0018115058715551286,0.7140041879983958,0.7875963659823138,1.038470634945809,0.0,0.0,0.0,0.0,NOT_CONSERVED
