label,lambda,N,k,amp,sigma,center,definition,T00_min,T00_max,T00_sum,delta_R_min,delta_R_max,abs_delta_R_mean,localization_radius,participation_ratio,pearson_T00_abs_delta_R,pearson_T00_abs_delta_R_p,spearman_T00_abs_delta_R,spearman_T00_abs_delta_R_p,pearson_T00_delta_R,pearson_T00_delta_R_p,spearman_T00_delta_R,spearman_T00_delta_R_p,positivity_pass,curvature_abs_pass,verdict
MI_N20_lam0.57,0.57,20,5,0.15,0.01,12,"{'T00': 'T00(i) = 1/2 * sum_j (delta W_ij)^2', 'R_node': 'R_i = mean Ollivier-Ricci curvature of incident edges', 'delta_R': 'R_i[W_excited] - R_i[W0]'}",0.0,1.0534109619880499e-05,2.1069171053776782e-05,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.010525726663014334,2.00091554700714,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.02,12,"{'T00': 'T00(i) = 1/2 * sum_j (delta W_ij)^2', 'R_node': 'R_i = mean Ollivier-Ricci curvature of incident edges', 'delta_R': 'R_i[W_excited] - R_i[W0]'}",0.0,7.045633870322466e-05,0.00015979341027679762,-0.583565977168813,0.53739330063003,0.3932272772794623,0.016831300839171674,2.743078203718808,0.1838257384181345,0.4378634997030312,0.17880056714793288,0.45070327030887547,0.2653333553623296,0.25821694545397605,0.4911357350772334,0.027875323001895012,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.03,12,"{'T00': 'T00(i) = 1/2 * sum_j (delta W_ij)^2', 'R_node': 'R_i = mean Ollivier-Ricci curvature of incident edges', 'delta_R': 'R_i[W_excited] - R_i[W0]'}",2.039554779260472e-18,0.00018349073276384352,0.0006368607359732701,-0.5121583974632432,0.5493909612969882,0.3736240743013197,0.029245697651703085,5.508945552115224,0.09296440400241085,0.6966654990928745,0.1645287236056704,0.4882065171947467,0.2984644058026384,0.20117825355469462,0.42415203057975576,0.06234370235460093,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.05,12,"{'T00': 'T00(i) = 1/2 * sum_j (delta W_ij)^2', 'R_node': 'R_i = mean Ollivier-Ricci curvature of incident edges', 'delta_R': 'R_i[W_excited] - R_i[W0]'}",5.035433683480384e-09,0.0005224060401276912,0.003612486370379981,-0.3855079372151775,0.4945265921619484,0.2743523985617721,0.04083573722893955,11.316835894456766,0.1558605721269693,0.5117101991468236,0.19547192079405581,0.4088601586749774,0.4503214308968309,0.046320875058740295,0.41886840170154827,0.06603233304628717,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.08,12,"{'T00': 'T00(i) = 1/2 * sum_j (delta W_ij)^2', 'R_node': 'R_i = mean Ollivier-Ricci curvature of incident edges', 'delta_R': 'R_i[W_excited] - R_i[W0]'}",1.0005718016485244e-05,0.0008781910466333661,0.009155715161822611,-0.40912506298207674,0.3866182489580636,0.21668916525352122,0.04837747796902877,13.88729301886709,-0.08923141380221854,0.7083241259892473,0.01735197352626547,0.9421174313546103,0.08809121032505338,0.7118977621672812,-0.01735197352626547,0.9421174313546103,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.1,12,"{'T00': 'T00(i) = 1/2 * sum_j (delta W_ij)^2', 'R_node': 'R_i = mean Ollivier-Ricci curvature of incident edges', 'delta_R': 'R_i[W_excited] - R_i[W0]'}",6.002059732590298e-05,0.0010326417107229197,0.012364033102832203,-0.7247549803224183,0.5180404041927179,0.2974566958182322,0.05601986362631943,15.060053642702112,0.023702530742419885,0.9209882112512026,0.08826858417509172,0.711341453260252,-0.01535016170051906,0.9487861226397623,-0.09128631354859912,0.7018984805544858,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.15,12,"{'T00': 'T00(i) = 1/2 * sum_j (delta W_ij)^2', 'R_node': 'R_i = mean Ollivier-Ricci curvature of incident edges', 'delta_R': 'R_i[W_excited] - R_i[W0]'}",0.0003757346480609619,0.0013115341993213518,0.01943723484290863,-1.6819430458483315,0.3752142470909179,0.6915382360308711,0.073272072336307,17.74273380601166,0.1614060344076058,0.4966118292215183,0.13634675779075595,0.5665181877029666,-0.2532758401829089,0.28128278522802835,-0.14387972783444414,0.5450588791673312,True,True,PASS
