label,lambda,N,k,amp,sigma,omega,center,T00_sum,Taa_sum,Taa_over_T00_sum,S_fluid_sum,S_trace_like_sum,T00_Rloc,Taa_Rloc,S_fluid_Rloc,T00_PR,Taa_PR,S_fluid_PR,delta_R_min,delta_R_max,abs_delta_R_mean,pearson_T00_abs_delta_R,pearson_T00_abs_delta_R_p,spearman_T00_abs_delta_R,spearman_T00_abs_delta_R_p,pearson_Taa_abs_delta_R,pearson_Taa_abs_delta_R_p,spearman_Taa_abs_delta_R,spearman_Taa_abs_delta_R_p,pearson_fluid_abs_delta_R,pearson_fluid_abs_delta_R_p,spearman_fluid_abs_delta_R,spearman_fluid_abs_delta_R_p,pearson_trace_abs_delta_R,pearson_trace_abs_delta_R_p,spearman_trace_abs_delta_R,spearman_trace_abs_delta_R_p,pearson_T00_delta_R,pearson_T00_delta_R_p,spearman_T00_delta_R,spearman_T00_delta_R_p,pearson_Taa_delta_R,pearson_Taa_delta_R_p,spearman_Taa_delta_R,spearman_Taa_delta_R_p,pearson_fluid_delta_R,pearson_fluid_delta_R_p,spearman_fluid_delta_R,spearman_fluid_delta_R_p,pearson_trace_delta_R,pearson_trace_delta_R_p,spearman_trace_delta_R,spearman_trace_delta_R_p
MI_N20_lam0.57,0.57,20,5,0.15,0.01,-3.0,12,2.1069171053776782e-05,4.05086380079311e-05,1.9226498235045497,-0.00010045674297001651,6.157780906170788e-05,0.010525726663014334,0.01052244261106761,0.010521753704449143,2.00091554700714,2.0006008243158977,2.0005348209551665,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06085142835286779,0.7988397767834103,0.19292415176484817,0.4151139603310616,-0.06085311358345956,0.7988343152140113,-0.19292415176484817,0.4151139603310616,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359492088866374,0.38926719636855583,0.16699758591502667,0.48161112165188985,0.2035972860097568,0.3892615688865712,-0.16699758591502667,0.48161112165188985,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985
MI_N20_lam0.57,0.57,20,5,0.15,0.01,-1.0,12,2.1069171053776782e-05,4.05086380079311e-05,1.9226498235045497,-1.9439466954154317e-05,6.157780906170788e-05,0.010525726663014334,0.01052244261106761,0.010518882083400835,2.00091554700714,2.0006008243158977,2.000259757988126,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06085142835286779,0.7988397767834103,0.19292415176484817,0.4151139603310616,-0.06086013612143219,0.7988115563610175,-0.22952636237636084,0.33032533904996203,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359492088866374,0.38926719636855583,0.16699758591502667,0.48161112165188985,0.20360714117888046,0.3892381203471937,-0.2035997965265394,0.38925559550492816,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985
MI_N20_lam0.57,0.57,20,5,0.15,0.01,-0.5,12,2.1069171053776782e-05,4.05086380079311e-05,1.9226498235045497,8.148520498112328e-07,6.157780906170788e-05,0.010525726663014334,0.01052244261106761,0.010607029758687594,2.00091554700714,2.0006008243158977,2.0087500863079737,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06085142835286779,0.7988397767834103,0.19292415176484817,0.4151139603310616,0.0606429948279265,0.799515346593724,0.16242230958858758,0.4938686193721939,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359492088866374,0.38926719636855583,0.16699758591502667,0.48161112165188985,-0.20330200652164687,0.38996449564173385,0.13649574373876608,0.5660902079869379,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985
MI_N20_lam0.57,0.57,20,5,0.15,0.01,0.0,12,2.1069171053776782e-05,4.05086380079311e-05,1.9226498235045497,2.1069171053776782e-05,6.157780906170788e-05,0.010525726663014334,0.01052244261106761,0.010525726663014334,2.00091554700714,2.0006008243158977,2.00091554700714,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06085142835286779,0.7988397767834103,0.19292415176484817,0.4151139603310616,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359492088866374,0.38926719636855583,0.16699758591502667,0.48161112165188985,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985
MI_N20_lam0.57,0.57,20,5,0.15,0.01,0.5,12,2.1069171053776782e-05,4.05086380079311e-05,1.9226498235045497,4.132349005774232e-05,6.157780906170788e-05,0.010525726663014334,0.01052244261106761,0.01052411714396745,2.00091554700714,2.0006008243158977,2.0007612841028037,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06085142835286779,0.7988397767834103,0.19292415176484817,0.4151139603310616,0.06084733121772297,0.7988530549966492,0.19292415176484817,0.4151139603310616,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359492088866374,0.38926719636855583,0.16699758591502667,0.48161112165188985,-0.20358917059119053,0.38928087860316235,0.16699758591502667,0.48161112165188985,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985
MI_N20_lam0.57,0.57,20,5,0.15,0.01,1.0,12,2.1069171053776782e-05,4.05086380079311e-05,1.9226498235045497,6.157780906170788e-05,6.157780906170788e-05,0.010525726663014334,0.01052244261106761,0.010523566382042123,2.00091554700714,2.0006008243158977,2.000708504245501,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06085142835286779,0.7988397767834103,0.19292415176484817,0.4151139603310616,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359492088866374,0.38926719636855583,0.16699758591502667,0.48161112165188985,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985
MI_N20_lam0.57,0.57,20,5,0.15,0.01,3.0,12,2.1069171053776782e-05,4.05086380079311e-05,1.9226498235045497,0.00014259508507757007,6.157780906170788e-05,0.010525726663014334,0.01052244261106761,0.010522927911481838,2.00091554700714,2.0006008243158977,2.0006473239525735,-1.8287633886365535,0.25352185416178197,0.37992000247669255,0.06084339204991636,0.798865821311072,0.16649236979772472,0.48295715472059186,0.06085142835286779,0.7988397767834103,0.19292415176484817,0.4151139603310616,0.06085024107280802,0.798843624578232,0.19292415176484817,0.4151139603310616,0.06084867891446161,0.7988486873035944,0.19292415176484817,0.4151139603310616,-0.20358364171704324,0.3892940342361246,0.14052566992101537,0.5545679611357391,-0.20359492088866374,0.38926719636855583,0.16699758591502667,0.48161112165188985,-0.20359325458113137,0.3892711611464618,0.16699758591502667,0.48161112165188985,-0.20359106210621664,0.38927637791043146,0.16699758591502667,0.48161112165188985
MI_N20_lam0.57,0.57,20,5,0.15,0.02,-3.0,12,0.00015979341027679762,0.0002708799728472543,1.6951886337367112,-0.0006528465082649654,0.0004306733831240519,0.016831300839171674,0.015150920022377388,0.014710410852622693,2.743078203718808,2.4937447500541965,2.4358334299049345,-0.583565977168813,0.53739330063003,0.3932272772794623,0.1838257384181345,0.4378634997030312,0.17880056714793288,0.45070327030887547,0.18542837770948822,0.433809474148477,0.16716872209340347,0.4811555917057852,-0.1857155753391229,0.4330850824758377,-0.11445786377566365,0.6308744743463826,0.1849187769410671,0.4350964016629513,0.16716872209340347,0.4811555917057852,0.2653333553623296,0.25821694545397605,0.4911357350772334,0.027875323001895012,0.25555693791831663,0.27682421141703184,0.4774097739063865,0.0332803134561997,-0.25321266439371426,0.2814068968860871,-0.48795194556993443,0.029062728257013493,0.2591507719965685,0.2698896161055165,0.4774097739063865,0.0332803134561997
MI_N20_lam0.57,0.57,20,5,0.15,0.02,-1.0,12,0.00015979341027679762,0.0002708799728472543,1.6951886337367112,-0.0001110865625704567,0.0004306733831240519,0.016831300839171674,0.015150920022377388,0.012338731468247979,2.743078203718808,2.4937447500541965,2.1716331741336288,-0.583565977168813,0.53739330063003,0.3932272772794623,0.1838257384181345,0.4378634997030312,0.17880056714793288,0.45070327030887547,0.18542837770948822,0.433809474148477,0.16716872209340347,0.4811555917057852,-0.18664397581797296,0.4307477811134592,0.027108441420551913,0.9096763452046995,0.1849187769410671,0.4350964016629513,0.16716872209340347,0.4811555917057852,0.2653333553623296,0.25821694545397605,0.4911357350772334,0.027875323001895012,0.25555693791831663,0.27682421141703184,0.4774097739063865,0.0332803134561997,-0.2421404529845097,0.3036826074768119,-0.5271085831773983,0.01693396809646121,0.2591507719965685,0.2698896161055165,0.4774097739063865,0.0332803134561997
MI_N20_lam0.57,0.57,20,5,0.15,0.02,-0.5,12,0.00015979341027679762,0.0002708799728472543,1.6951886337367112,2.4353423853170456e-05,0.0004306733831240519,0.016831300839171674,0.015150920022377388,0.024128345568562526,2.743078203718808,2.4937447500541965,4.252201256171218,-0.583565977168813,0.53739330063003,0.3932272772794623,0.1838257384181345,0.4378634997030312,0.17880056714793288,0.45070327030887547,0.18542837770948822,0.433809474148477,0.16716872209340347,0.4811555917057852,0.1522325634825663,0.5217049414166616,0.17921691828031544,0.44963211677943893,0.1849187769410671,0.4350964016629513,0.16716872209340347,0.4811555917057852,0.2653333553623296,0.25821694545397605,0.4911357350772334,0.027875323001895012,0.25555693791831663,0.27682421141703184,0.4774097739063865,0.0332803134561997,0.3123015340084947,0.1800682967809475,0.49247001914002647,0.02738919870002783,0.2591507719965685,0.2698896161055165,0.4774097739063865,0.0332803134561997
