label,lambda,N,k,amp,sigma,center,T00_min,T00_max,T00_mean,M_from_nodes,M_from_edges,normalization_rel_error,localization_radius,participation_ratio,fraction_inside_Rloc,fraction_inside_sigma,pearson_d_vs_T00,pearson_p,spearman_d_vs_T00,spearman_p,positivity_pass,normalization_pass,localization_pass,verdict
MI_N20_lam0.57,0.57,20,5,0.15,0.2,12,0.000737237819373857,0.001483596243652417,0.0012291897806732484,0.02458379561346497,0.024583795613464965,1.4112739165685786e-16,0.08232854973004805,19.040175259464018,0.8011624781683662,1.0,-0.987482795439492,6.846831084910621e-16,-0.9981142732607386,2.8438350720291345e-23,True,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.3,12,0.0012125723137545712,0.00165238897569046,0.001509226505425021,0.03018453010850042,0.03018453010850042,0.0,0.08963569687394915,19.772123897509765,0.7483322181478607,1.0,-0.9843169677181142,5.150089918532348e-15,-0.9984905651773154,3.841612818334585e-24,True,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.5,12,0.0015742838288608433,0.0017593796015873751,0.0017005468952110245,0.03401093790422049,0.034010937904220495,2.0401948112833916e-16,0.09358529350576433,19.968063892035683,0.7179896212219378,1.0,-0.9824921588314767,1.3777325836637595e-14,-0.9977384064527353,1.457935854233713e-22,True,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,0.8,12,0.001723514996540422,0.0017999415905979056,0.001775846996711078,0.03551693993422156,0.03551693993422156,0.0,0.09496422436126908,19.995010444595913,0.7071033790526076,1.0,-0.9818346392256105,1.915279111243427e-14,-0.9981142732607386,2.8438350720291345e-23,True,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,1.0,12,0.001760058652178001,0.00180960886565479,0.0017940168602022248,0.035880337204044495,0.0358803372040445,1.9338987436063067e-16,0.09528400406993086,19.997945626140897,0.7045572649492022,1.0,-0.9816805804648873,2.065372957360038e-14,-0.9984905651773154,3.841612818334585e-24,True,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,1.5,12,0.0017969663534232474,0.001819273178678399,0.0018122669279853041,0.03624533855970608,0.03624533855970608,0.0,0.09560037750358008,19.999592147982966,0.7020302990568917,1.0,-0.9815275686184565,2.224685305110536e-14,-0.9992444275460701,7.600611716096905e-27,True,True,True,PASS
MI_N20_lam0.57,0.57,20,5,0.15,2.0,12,0.0018100790739476148,0.0018226833206079888,0.0018187270880067412,0.036374541760134826,0.036374541760134826,0.0,0.09571123235347725,19.999870728242712,0.701142994244664,1.0,-0.9814738137510769,2.2831874178302904e-14,-0.9981142732607386,2.8438350720291345e-23,True,True,True,PASS
