geometry,perturbation_strength,N_actual,k,epsilon,sigma,n_edges,mean_delta_kappa,median_delta_kappa,mean_abs_delta_kappa,median_abs_delta_kappa,near_n,mid_n,far_n,near_mean_delta,mid_mean_delta,far_mean_delta,near_abs_mean_delta,mid_abs_mean_delta,far_abs_mean_delta,localization_ratio_near_far,spearman_phi_delta,spearman_phi_delta_p,spearman_phi_absdelta,spearman_phi_absdelta_p,pearson_phi_delta,pearson_phi_delta_p
flat_torus2d,-0.3,256,16,0.009765625000000002,0.19764235376052372,900,-0.00016480635501551938,0.0004584157865963334,0.0026669289765150835,0.0019589606144005955,176,600,124,-0.0047916456470466365,0.0010238988961334663,0.0006505207797271031,0.0055043250617239645,0.002238944876313552,0.0007105479210647259,7.746592310728272,-0.4303897737055841,6.960942010602424e-42,0.5831509756243577,4.115972117563355e-83,-0.7265408346377487,1.661970490757586e-148
flat_torus2d,-0.15,256,16,0.009765625000000002,0.19764235376052372,900,-4.311973070738187e-05,0.00022969670101441464,0.0012425799701257928,0.0009314462035169835,160,603,137,-0.0023785187247973953,0.0004961678930470928,0.0003107007213397271,0.0025581177179151366,0.001092730549046054,0.0003657417311826361,6.994328237150821,-0.4634112031403458,4.1309405873179204e-49,0.5594930884444917,2.888544151751967e-75,-0.7490140162050111,1.016513315577734e-162
flat_torus2d,0.15,256,16,0.009765625000000002,0.19764235376052372,900,-6.65135391168265e-05,-0.00024460277848048495,0.001123551844992251,0.0009105229924345482,160,603,137,0.0019964980632534582,-0.0005516030558615988,-0.0003407681214682708,0.0020852243805135765,0.001036018647830144,0.0003857044888268404,5.40627459860786,0.4907839197691339,9.886218488494512e-56,0.500786467541229,2.6415439921741508e-58,0.7543172688573028,2.6916946633779363e-166
flat_torus2d,0.3,256,16,0.009765625000000002,0.19764235376052372,900,-4.72282738323298e-05,-0.0004460086163380339,0.0020860814578076295,0.001769409854107007,176,600,124,0.003558088783024803,-0.0009706317051360215,-0.0006963713643536228,0.003722365925461625,0.0018837833949554353,0.0007424747755835438,5.01345776028021,0.5253885215131608,5.21369119051949e-65,0.4829488425064213,8.951706757998614e-54,0.7620630992873301,1.0909997123119237e-171
sphere,-0.3,256,16,0.13320134212632276,0.7299351810299947,900,-2.14216563870843e-05,0.000478557838869631,0.0019581063716155233,0.0012038526988728537,147,464,289,-0.0047528686224099365,0.0011833795975905053,0.0004508791123318005,0.005191147747782741,0.0018726141208319346,0.0004508791123318005,11.513391518484433,-0.23352114426478718,1.300947105327155e-12,0.7523919083027675,5.4853483946120765e-165,-0.7125750276966837,2.280641682516344e-140
sphere,-0.15,256,16,0.13320134212632276,0.7299351810299947,900,-6.279228814321105e-05,0.00021849916094640598,0.0008845092673318871,0.0005401949277993867,172,438,290,-0.0020045268692607874,0.0005054983639825196,0.0002305423405504203,0.0021680338787669643,0.0008134685723542435,0.0002305423405504203,9.404059460794834,-0.3081613681004544,2.9854601633371733e-21,0.7249427221515089,1.5040544669586404e-147,-0.7359892213264547,2.6463091172392987e-154
sphere,0.15,256,16,0.13320134212632276,0.7299351810299947,900,5.8365723166956786e-05,-0.0002008909301874362,0.0007684267141879568,0.0004807217133621089,172,438,290,0.0017573120240050421,-0.00041888790504089125,-0.00022846763748515778,0.0018259925117284507,0.0007106340545232235,0.00022846763748515778,7.992346451462189,0.37097914112651176,9.556859535093445e-31,0.6913549111377504,6.754827089844294e-129,0.7704232316771823,9.580404797340412e-178
sphere,0.3,256,16,0.13320134212632276,0.7299351810299947,900,1.3531606470719283e-05,-0.0003981810597722957,0.0014771473922618036,0.0010495354198996054,147,464,289,0.0035585971920173423,-0.0008251742360577922,-0.0004430951414259045,0.00362462156063152,0.0014408594563592747,0.0004430951414259045,8.180233141278167,0.35629976497913374,2.49331928308542e-28,0.6705110170917906,1.472668145578992e-118,0.7744702509950809,9.04136568526175e-181
