lambda,n_runs,O_mean,O_median,O_std,O_frac_pos,p_median,loc_mean,loc_median,signed_mean,signed_median
0.0,1,0.5389566847019828,0.5389566847019828,,1.0,5.187715004623722e-06,0.6744258167631773,0.6744258167631773,0.5213277093645828,0.5213277093645828
0.14,1,0.5035361439931875,0.5035361439931875,,1.0,2.5918934827920238e-05,0.65527346707418,0.65527346707418,0.4909045142840871,0.4909045142840871
0.29,1,0.5337761147880256,0.5337761147880256,,1.0,9.428954455298674e-06,0.5918594919319002,0.5918594919319002,0.335379579385229,0.335379579385229
0.43,1,0.6407081625283949,0.6407081625283949,,1.0,2.6756873900109698e-08,0.5284688940936545,0.5284688940936545,0.35677810082890793,0.35677810082890793
0.57,1,0.6259229305680377,0.6259229305680377,,1.0,6.878743898289986e-08,0.4865662448775093,0.4865662448775093,0.36780547127067,0.36780547127067
0.71,1,-0.5133326496365376,-0.5133326496365376,,0.0,2.3314344092321653e-05,0.6575097068494609,0.6575097068494609,-0.19012222380509122,-0.19012222380509122
0.86,1,-0.49654154503242187,-0.49654154503242187,,0.0,4.700741034013821e-05,0.6040473441265679,0.6040473441265679,-0.1691288429009858,-0.1691288429009858
1.0,1,-0.5962861425464686,-0.5962861425464686,,0.0,3.963424303753598e-07,0.5635395830954968,0.5635395830954968,-0.1988414042020142,-0.1988414042020142
