label,path,N,lambda,k,mode,amp,sigma,center,mask_mode,M_exc,R_exc,graph_radius,localization_ratio,clip_fraction,delta_sum,O_matter,O_matter_p,O_matter_n,pearson_absG,pearson_absG_p,spearman_signedG,spearman_signedG_p,pearson_signedG,pearson_signedG_p,spearman_absR,spearman_absR_p
MI_N20_lam0.00,results_mi_N20_full/MI_N20_lam0.00.csv,20,0.0,5,negative,0.15,1.0,7,all,3.816542678988301,0.09613710773195797,0.1444698929198765,0.6654473523094251,0.10526315789473684,-3.8165426789883004,0.6857843023385044,5.581673973825437e-10,63,0.2996057822595944,0.017055576444153623,0.1296923454727157,0.3110248581255762,-0.16341883281394617,0.200634688384566,0.6984317927270308,1.9684763685643042e-10
MI_N20_lam0.14,results_mi_N20_full/MI_N20_lam0.14.csv,20,0.14,5,negative,0.15,1.0,7,all,4.29134223402298,0.08612753428049201,0.131522073509906,0.654852314763765,0.010526315789473684,-4.291342234022981,0.6044886615556029,1.552241465497521e-07,63,0.2920611704307233,0.020198865122804575,0.13372240236557795,0.2960988362166073,-0.15938804419193114,0.21211733454946338,0.4659574184199798,0.00011879907089112747
MI_N20_lam0.29,results_mi_N20_full/MI_N20_lam0.29.csv,20,0.29,5,negative,0.15,1.0,7,all,4.6109260823419795,0.08044056872082307,0.1359115969539585,0.5918594919319002,0.0,-4.6109260823419795,0.6223028009493966,8.603406330089608e-08,61,0.2408438322964478,0.06151691564924192,0.21895300301272402,0.09001117200587179,-0.13424589531733302,0.30231528926373,0.6451468104815382,1.995285379756376e-08
MI_N20_lam0.43,results_mi_N20_full/MI_N20_lam0.43.csv,20,0.43,5,negative,0.15,1.0,7,all,4.926678990451559,0.07982487144589986,0.15104932823492428,0.5284688940936545,0.0,-4.92667899045156,0.7255045054573075,3.746746269001994e-11,61,0.18027074025636736,0.16445257170337904,0.1476414238900718,0.25616716833684067,-0.10352527621086295,0.4272142798629251,0.6850497281437951,1.1335638994616882e-09
MI_N20_lam0.57,results_mi_N20_full/MI_N20_lam0.57.csv,20,0.57,5,negative,0.15,1.0,12,all,5.233340944822603,0.0832819728027668,0.17116266013013834,0.4865662448775093,0.0,-5.233340944822604,0.6958535256866091,4.816880297171669e-10,61,0.1400880138103812,0.2815660699875596,0.3669392265542157,0.0036281377755012674,-0.0829143229213318,0.5252459366304222,0.6166322957901953,1.2145071721272383e-07
MI_N20_lam0.71,results_mi_N20_full/MI_N20_lam0.71.csv,20,0.71,5,negative,0.15,1.0,12,all,3.833595582635776,0.5954826436201841,0.9056636539611147,0.6575097068494609,0.0,-3.8335955826357755,-0.4884339432970842,6.510359110749667e-05,61,-0.3763491546086096,0.002796025242042925,0.18138053339767704,0.16182660223583073,-0.19815811217647858,0.125801207567329,-0.5727814119892805,1.4093749349545576e-06
MI_N20_lam0.86,results_mi_N20_full/MI_N20_lam0.86.csv,20,0.86,5,negative,0.15,1.0,12,all,1.8685275805813508,0.9803062779037358,1.6228964292877168,0.6040473441265679,0.0,-1.8685275805813508,-0.5047483258299369,3.352086473602374e-05,61,-0.2269265968233742,0.07862671775515911,0.14033278489218678,0.280717796627338,-0.09377968897864533,0.47221690207440503,-0.33364196237860916,0.008596999117489509
MI_N20_lam1.00,results_mi_N20_full/MI_N20_lam1.00.csv,20,1.0,5,negative,0.15,1.0,7,all,1.1584316562849823,1.1338728284514519,2.012055341743948,0.5635395830954969,0.0,-1.158431656284983,-0.5541416563699316,3.6016366801864985e-06,61,-0.1784960298802913,0.16871662436445609,0.1556390415556339,0.23101543694835042,-0.06870853438052628,0.5987829160364712,-0.3725710751747075,0.0031071733588825044
