geometry,N_actual,n_edges,dim,ricci_target,k,epsilon,density,mean_edge_length,median_edge_length,mean_kappa,median_kappa,std_kappa,mean_kappa_over_l2,median_kappa_over_l2,std_kappa_over_l2,mean_kappa_over_epsilon,median_kappa_over_epsilon,positive_fraction
flat_torus2d,121,685,2,0.0,11,0.01652892561983472,0.0943526170798898,0.1308878144783396,0.128564869306645,-0.003475657484519223,2.220446049250313e-16,0.04598400487552089,-0.63261855329457,1.3433698597964385e-14,4.536199502500819,-0.21027727781341288,1.3433698597964385e-14,0.527007299270073
flat_torus2d,256,800,2,0.0,16,0.009765625000000002,0.07352941176470588,0.10985771691099505,0.125,-0.0010248520780397291,0.0,0.038169035182658684,-0.45620416934489877,0.0,6.330977185490434,-0.10494485279126824,0.0,0.45375
flat_torus2d,529,800,2,0.0,23,0.0075614366729678684,0.04441628000229134,0.08295648926384779,0.08695652173913049,-0.0013259142399668084,0.0,0.023458156329810853,-0.38502224512342353,0.0,8.397711651178527,-0.17535215823561032,0.0,0.45125
sphere,128,733,2,1.0,11,0.20654908566399807,0.09018208661417323,0.4527809113026223,0.43909097348160575,0.019616779976615577,0.023383957235454722,0.044024742003053216,0.10200805526508328,0.08742397459112011,0.35150774637831217,0.0949739376165867,0.11321259138127762,0.7557980900409277
sphere,256,800,2,1.0,16,0.13320134212632276,0.06464460784313726,0.36953520505398724,0.41074369686713025,0.0123576796391962,0.011324994215892836,0.031394440140568323,0.10083656525423697,0.08357261615397377,0.4619479092347477,0.09277443786922715,0.08502162241843382,0.665
sphere,512,800,2,1.0,23,0.1013041099599799,0.04587359344422701,0.30156189712929654,0.3220567383717211,0.010581352431920606,0.008969445917417718,0.03378053373617893,0.15934592548178958,0.09755974616612534,0.9018787375643584,0.10445136368209304,0.08853980278747911,0.6775
