geometry,N_input,N_actual,dim,ricci_target,k,epsilon,density,alpha_idleness,i,j,edge_length,edge_length2,edge_weight,kappa_OR,kappa_over_l2,kappa_over_epsilon
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,1,0.09090909090909091,0.008264462809917356,0.8824969025845955,3.3306690738754696e-16,4.030109579389318e-14,2.015054789694658e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,2,0.18181818181818182,0.03305785123966942,0.6065306597126336,0.0018757142728555998,0.05674035675388189,0.11348071350776372
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,9,0.18181818181818177,0.0330578512396694,0.6065306597126338,0.029850447840091276,0.9029760471627617,1.805952094325521
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,10,0.09090909090909083,0.00826446280991734,0.8824969025845957,-2.220446049250313e-16,-2.686739719592884e-14,-1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,11,0.09090909090909091,0.008264462809917356,0.8824969025845955,1.1102230246251565e-16,1.3433698597964394e-14,6.716849298982192e-15
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,12,0.128564869306645,0.016528925619834715,0.778800783071405,2.220446049250313e-16,1.3433698597964391e-14,1.3433698597964385e-14
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,21,0.12856486930664496,0.016528925619834697,0.7788007830714051,0.020986801796526566,1.2697015086898582,1.2697015086898564
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,22,0.18181818181818182,0.03305785123966942,0.6065306597126336,0.016715624138597618,0.505647630192578,1.0112952603851553
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,99,0.18181818181818177,0.0330578512396694,0.6065306597126338,0.029850447840091165,0.9029760471627583,1.8059520943255143
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,110,0.09090909090909083,0.00826446280991734,0.8824969025845957,0.05970089568018244,7.223808377302089,3.6119041886510352
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,111,0.12856486930664496,0.016528925619834697,0.7788007830714051,0.0,0.0,0.0
flat_torus2d,128,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.5,0,120,0.12856486930664487,0.016528925619834677,0.7788007830714054,0.020986801796526566,1.26970150868986,1.2697015086898564
