sigma,center,S_raw_min,S_raw_max,S_raw_sum,S_shift_sum,S_norm_sum,rho_Sraw_abs_deltaR,p_Sraw_abs_deltaR,rho_Sshift_abs_deltaR,p_Sshift_abs_deltaR,rho_Snorm_abs_deltaR,p_Snorm_abs_deltaR,rho_Phi_raw_abs_deltaR,p_Phi_raw_abs_deltaR,rho_Phi_shift_abs_deltaR,p_Phi_shift_abs_deltaR,rho_Phi_norm_abs_deltaR,p_Phi_norm_abs_deltaR,delta_rho_shift,delta_rho_norm,max_abs_phi_raw_minus_shift,scale_norm_to_raw,max_abs_phi_raw_minus_norm_rescaled,shift_stable_005,shift_stable_010
0.05,12,-2.7837623101553835e-09,1.9803655435853105,17.377477035524876,17.377477091200127,0.9999999999999998,0.1482876368633311,0.5326757813928673,0.1482876368633311,0.5326757813928673,0.1482876368633311,0.5326757813928673,0.11516755553345003,0.6287438159457548,0.11516755553345003,0.6287438159457548,0.11516755553345003,0.6287438159457548,0.0,0.0,2.220446049250313e-16,17.377477091200127,5.551115123125783e-16,True,True
0.08,12,0.10755098305924707,1.521073368935217,19.422358657126342,17.271338995941402,1.0,0.17607228460677493,0.4577549275737357,0.17607228460677493,0.4577549275737357,0.17607228460677493,0.4577549275737357,0.15650869742824436,0.5099343608629625,0.15650869742824436,0.5099343608629625,0.15650869742824436,0.5099343608629625,0.0,0.0,4.440892098500626e-16,17.271338995941402,3.3306690738754696e-16,True,True
0.1,12,0.17421030745850483,1.5771484971446545,20.193273020128114,16.70906687095801,1.0000000000000002,0.12198809014842424,0.6084129233269858,0.12198809014842424,0.6084129233269858,0.12198809014842424,0.6084129233269858,0.19879540616780247,0.4007798676618557,0.19879540616780247,0.4007798676618557,0.19879540616780247,0.4007798676618557,0.0,0.0,2.220446049250313e-16,16.70906687095801,2.7755575615628914e-16,True,True
0.15,12,0.43988038442141864,1.6011753262161674,21.433794712701,12.636187024272628,1.0000000000000002,0.7413533834586465,0.00018373904000045947,0.7413533834586465,0.00018373904000045947,0.7413533834586465,0.00018373904000045947,0.7383458646616541,0.0002014294307883675,0.7383458646616541,0.0002014294307883675,0.7383458646616541,0.0002014294307883675,0.0,0.0,4.163336342344337e-16,12.636187024272632,3.3306690738754696e-16,True,True
0.2,12,0.5144477383000116,1.6128233493052502,24.228147937944453,13.939193171944217,1.0,0.04136893861566039,0.8625190493686182,0.04136893861566039,0.8625190493686182,0.04136893861566039,0.8625190493686182,0.1286197909686896,0.5889064619076477,0.1286197909686896,0.5889064619076477,0.1286197909686896,0.5889064619076477,0.0,0.0,2.7755575615628914e-16,13.939193171944213,2.220446049250313e-16,True,True
0.3,12,0.5158643591053227,1.5871095338016723,25.42204599035301,15.104758808246558,1.0,0.2693755465351514,0.2507610319244079,0.2693755465351514,0.2507610319244079,0.2693755465351514,0.2507610319244079,0.21896168726739956,0.35366743547897456,0.21896168726739956,0.35366743547897456,0.21896168726739956,0.35366743547897456,0.0,0.0,2.220446049250313e-16,15.10475880824656,2.636779683484747e-16,True,True
