sigma,lambda,N,k,amp,center,S_flux_spearman_abs_deltaR,S_flux_p,Phi_spearman_abs_deltaR,Phi_p,absPhi_spearman_abs_deltaR,absPhi_p,a_norm_spearman_abs_deltaR,a_norm_p,r_ent_vs_Phi_spearman,r_ent_vs_Phi_p,r_ent_vs_a_norm_spearman,r_ent_vs_a_norm_p
0.01,0.57,20,5,0.15,12,0.5037650602409639,0.023536221824462574,0.4981190273918162,0.025404560730607574,-0.3762228303563567,0.1020701250952963,-0.18209184989247665,0.4422718577691422,-0.8159916463331248,1.1529456228597868e-05,-0.607845902906191,0.0044677520292363115
0.02,0.57,20,5,0.15,12,0.4728917003362946,0.035227879989392925,0.4794884501621417,0.03241302398739529,-0.6134742337239332,0.004018285870593886,-0.009785478574737584,0.9673398090260215,-0.7873338990497064,3.790960931938711e-05,-0.7285101019942686,0.0002698276724999339
0.05,0.57,20,5,0.15,12,0.1482876368633311,0.5326757813928673,0.11516755553345003,0.6287438159457548,-0.6496052315383489,0.0019361163415437723,-0.04892739287368793,0.8376948516559263,-0.9336392404440004,1.860079371014468e-09,0.41629148685386774,0.06788980907037248
0.08,0.57,20,5,0.15,12,0.17607228460677493,0.4577549275737357,0.15650869742824436,0.5099343608629625,-0.40782554810629057,0.0742689707635309,-0.33559076467787013,0.14803305353320115,-0.7873338990497064,3.790960931938711e-05,0.7692342691864947,7.359686801313334e-05
0.1,0.57,20,5,0.15,12,0.12198809014842424,0.6084129233269858,0.19879540616780247,0.4007798676618557,0.14156642560434418,0.551609400145291,-0.3147593930990206,0.176482407391589,-0.6847693298248404,0.0008653888905863697,0.9215728205351927,7.999756003269883e-09
0.15,0.57,20,5,0.15,12,0.7413533834586465,0.00018373904000045947,0.7383458646616541,0.0002014294307883675,-0.06917293233082707,0.771985426525941,-0.5819548872180451,0.007104437545100437,-0.3408763624238192,0.14135665475471376,0.45249074658029104,0.04515085285462331

