feature,loo_improvement_pct,loo_rmse_log,loo_pearson_C,full_improvement_pct
S3_phi_mid_mean,8.347452654589487,0.46951347555128675,0.4071690736136304,11.178072508853663
S2_phi_mid_mean,8.237052325040123,0.47007902930762024,0.4048490594378164,11.078990229587863
S3_phi_inner_mean,8.203904155411982,0.4702488392341422,0.4042104311328386,11.06136419920495
S2_phi_inner_mean,8.13399339863182,0.47060697485988284,0.4027159001572423,10.996444401981716
S3_phi_inner_minus_outer,8.06226166244879,0.4709744389155811,0.4012464111948901,10.94247454383839
S2_phi_inner_minus_outer,8.036348263334393,0.4711071868907759,0.40068143891169433,10.917375554085305
S2_phi_outer_mean,7.974263136683042,0.4714252337365909,0.39938080595873177,10.866653909538593
S3_phi_outer_mean,7.969854839621521,0.47144781635905547,0.3992889940960867,10.863076542979158
S3_sum,7.699272170114104,0.472833944876636,0.39354860675202863,10.63755292056791
S2_sum,7.699272170114104,0.472833944876636,0.3935486067520287,10.637552920567922
S2_phi_abs_mean,7.574713987124202,0.47347202583671605,0.39093398176298344,10.5428776710829
S3_phi_abs_mean,7.473283379070553,0.4739916299142227,0.3888884530520752,10.468810528693762
S3_phi_std,7.326328716206661,0.47474444253654585,0.38559428862869116,10.333691112219645
S3_phi_rms,7.326328716206651,0.4747444425365459,0.38559428862869116,10.333691112219645
S2_phi_rms,7.317324169385917,0.4747905706169541,0.38528117922956023,10.313352752881052
S2_phi_std,7.317324169385917,0.4747905706169541,0.38528117922956023,10.313352752881052
S2_std,6.901472233235174,0.4769208778862222,0.37590036441578545,9.934106869860466
S3_std,6.775024097130188,0.4775686406116366,0.3728518686121678,9.800134876512443
S3_force_outer_mean,5.692752780575892,0.48311285058770903,0.34905745679234756,8.760414660431113
S1_force_outer_mean,5.192790099448613,0.4856740365324635,0.3326291231486857,8.16911417619188
S2_force_outer_mean,4.970022514355458,0.48681522012360884,0.3312630367203271,8.097457625276173
S3_grad_abs_mean,4.484894132528619,0.48930041359871956,0.3234457307376289,8.111896343244032
S3_force_inner_mean,4.464090992938014,0.48940698297026963,0.32300914826459165,8.10061214481384
S3_force_inner_minus_outer,4.429971923225803,0.4895817665793142,0.3222951262639056,8.08229096180654
S3_grad_rms,4.269132143506678,0.490405709242885,0.3190095832614934,8.002432777963284
S1_grad_abs_mean,4.075489893984313,0.4913976908977339,0.29820913103233204,6.817002397768751
S1_force_inner_mean,4.0735475424782175,0.49140764108714796,0.29814454978887306,6.814591634906813
S1_force_inner_minus_outer,4.069984158573324,0.4914258954271567,0.2980256326006356,6.810144266925907
S1_grad_rms,4.0132781123051116,0.49171638656612987,0.2961559318028611,6.741158048536599
S2_grad_abs_mean,3.8462179478509766,0.4925721947319785,0.3079782262035266,7.593378050504958
S2_force_inner_mean,3.828612685798791,0.49266238216280855,0.3076207915261756,7.58528687785713
S2_force_inner_minus_outer,3.798957853145842,0.4928142965825279,0.30701645981396564,7.571440505895335
S2_grad_rms,3.6245776738286057,0.4937076033855558,0.30340676447778203,7.48492292189133
S1_std,-2.0098618633580245,0.5225714524165948,-0.08563876516280523,0.8480311580641962
S1_phi_rms,-2.0256475614551173,0.5226523186684583,-0.08742738308945758,0.8425707601444634
S1_phi_std,-2.0256475614551173,0.5226523186684583,-0.08742738308945758,0.8425707601444851
S1_phi_abs_mean,-2.041758357611557,0.5227348503177839,-0.08992175181546541,0.8322303844833056
S1_sum,-2.053648353852136,0.5227957598464429,-0.09086026004124792,0.8310806689662179
S1_phi_outer_mean,-2.1092036554718954,0.5230803560033886,-0.09751309454888613,0.8100436877893294
S1_phi_inner_minus_outer,-2.118036721170048,0.523125605628149,-0.09864319960094425,0.8062500364805781
S1_phi_inner_mean,-2.1325237353013655,0.52319981904122,-0.10051327682056323,0.7999687403011485
S1_phi_mid_mean,-2.1487230259704324,0.5232828040261854,-0.10262948695878528,0.7928580568906112
