feature,importance_mean,importance_std,feature_set,best_model
mi_ds_fit_r2,0.01731312609491064,0.002508999273199442,dsdw_input_no_topology,gradient_boosting
mi_ds_graph,0.013471620454379215,0.0022011387773658974,dsdw_input_no_topology,gradient_boosting
mi_mean_shortest_path,0.00879802270972689,0.0009114170970467378,dsdw_input_no_topology,gradient_boosting
input_lambda2,0.008432817264588114,0.000678219642095171,dsdw_input_no_topology,gradient_boosting
mi_dw_fit_r2,0.007737136482503693,0.000975620034953511,dsdw_input_no_topology,gradient_boosting
input_mean_degree_binary,0.0011302737111111997,0.00011236380010215042,dsdw_input_no_topology,gradient_boosting
mi_effective_diameter_90,0.0008934011749069159,8.855853536641036e-05,dsdw_input_no_topology,gradient_boosting
mi_lambda2,0.0007843313844830317,9.945330521791084e-05,dsdw_input_no_topology,gradient_boosting
mi_dw_graph,0.0007772716834797411,8.631599591246043e-05,dsdw_input_no_topology,gradient_boosting
hz_random,0.0007698152663991171,0.00012610764264013604,dsdw_input_no_topology,gradient_boosting
mean_MI,0.0006857976708968409,0.0001868672060045414,dsdw_input_no_topology,gradient_boosting
input_rho_graph,0.0004782733405767107,6.162274434304094e-05,dsdw_input_no_topology,gradient_boosting
mi_mean_degree_weighted,0.00031972891401051975,8.856656516584946e-05,dsdw_input_no_topology,gradient_boosting
max_MI,0.0002787146011257513,4.727239199325424e-05,dsdw_input_no_topology,gradient_boosting
K_gap_ratio,0.0002673161335107791,5.505364778524836e-05,dsdw_input_no_topology,gradient_boosting
mean_single_entropy,0.0002254161689068779,6.001037331765232e-05,dsdw_input_no_topology,gradient_boosting
hx,0.00019600196975664286,3.348102097594408e-05,dsdw_input_no_topology,gradient_boosting
log_t_dip,0.00017842996123245135,3.180342374386989e-05,dsdw_input_no_topology,gradient_boosting
mi_alpha_eff_graph,0.0001733229208826792,1.8261271300596958e-05,dsdw_input_no_topology,gradient_boosting
C_modular,0.0001721876627438945,2.350146197534184e-05,dsdw_input_no_topology,gradient_boosting
input_clustering_binary,0.00014137356785042982,2.210615323399013e-05,dsdw_input_no_topology,gradient_boosting
mi_laplacian_trace,0.00013253685241058447,3.167716552829894e-05,dsdw_input_no_topology,gradient_boosting
n_edges_input,0.000127741206829494,1.981396717349884e-05,dsdw_input_no_topology,gradient_boosting
slope_ramp,0.00011263759992717892,2.365297074327146e-05,dsdw_input_no_topology,gradient_boosting
log_t_ramp,3.9100529875857325e-05,1.1919828170955944e-05,dsdw_input_no_topology,gradient_boosting
eta_zz,8.623771440581981e-06,2.561515809009134e-06,dsdw_input_no_topology,gradient_boosting
mi_rho_graph,0.0,0.0,dsdw_input_no_topology,gradient_boosting
mi_clustering_binary,0.0,0.0,dsdw_input_no_topology,gradient_boosting
mi_mean_degree_binary,0.0,0.0,dsdw_input_no_topology,gradient_boosting
j_disorder,0.0,0.0,dsdw_input_no_topology,gradient_boosting
n,0.0,0.0,dsdw_input_no_topology,gradient_boosting
subsystem_size,0.0,0.0,dsdw_input_no_topology,gradient_boosting
mi_norm_lambda2,0.3284030862206961,0.04364918580534402,dsdw_with_topology,gradient_boosting
mi_ds_over_dw,0.1725525923423185,0.011493983736889998,dsdw_with_topology,gradient_boosting
delta3_proxy,0.14244819702295095,0.011016317533560235,dsdw_with_topology,gradient_boosting
mi_ds_fit_r2,0.13851806799074812,0.011583146565912843,dsdw_with_topology,gradient_boosting
mi_ds_graph,0.09102457820388052,0.016436443935000374,dsdw_with_topology,gradient_boosting
n_edges_input,0.07083499881307377,0.0050604598206784,dsdw_with_topology,gradient_boosting
mi_lambda2,0.019892919606591838,0.0018337055634157038,dsdw_with_topology,gradient_boosting
mi_dw_fit_r2,0.018333817053325714,0.002148582938861189,dsdw_with_topology,gradient_boosting
mi_mean_shortest_path,0.003969730390589717,0.00042277578594667126,dsdw_with_topology,gradient_boosting
mi_effective_diameter_90,0.0035547201745799507,0.0005008090478174486,dsdw_with_topology,gradient_boosting
max_MI,0.0030700762962495316,0.0005184210449427809,dsdw_with_topology,gradient_boosting
C_modular,0.0017351751374113007,0.0003871307761164648,dsdw_with_topology,gradient_boosting
mi_dw_graph,0.0017185449287405285,0.0001774762366410409,dsdw_with_topology,gradient_boosting
log_t_ramp,0.0009343111185935818,8.770132699181419e-05,dsdw_with_topology,gradient_boosting
log_t_dip,0.0008247537081369012,0.0001349041926261792,dsdw_with_topology,gradient_boosting
mi_alpha_eff_graph,0.0007610487275571565,6.54179845671866e-05,dsdw_with_topology,gradient_boosting
K_gap_ratio,0.0005707347990977645,0.0001384208040175919,dsdw_with_topology,gradient_boosting
mi_laplacian_trace,0.00027993316807106336,4.636050722542295e-05,dsdw_with_topology,gradient_boosting
mi_mean_degree_weighted,0.00025560606207410965,3.845051967546715e-05,dsdw_with_topology,gradient_boosting
topology,0.0002456206329556898,7.07483456355857e-05,dsdw_with_topology,gradient_boosting
mean_MI,0.00023513085916055572,4.139961653905438e-05,dsdw_with_topology,gradient_boosting
hz_random,0.00021912567239727268,3.483235512345411e-05,dsdw_with_topology,gradient_boosting
mean_single_entropy,0.0001629994849242089,3.6464797427966685e-05,dsdw_with_topology,gradient_boosting
slope_ramp,0.00016228416364791147,4.7146720798891344e-05,dsdw_with_topology,gradient_boosting
hx,5.406059414988137e-06,1.468856233342059e-06,dsdw_with_topology,gradient_boosting
eta_zz,1.7338440600145334e-06,7.596854535578507e-07,dsdw_with_topology,gradient_boosting
mi_rho_graph,0.0,0.0,dsdw_with_topology,gradient_boosting
mi_clustering_binary,0.0,0.0,dsdw_with_topology,gradient_boosting
mi_mean_degree_binary,0.0,0.0,dsdw_with_topology,gradient_boosting
j_disorder,0.0,0.0,dsdw_with_topology,gradient_boosting
n,0.0,0.0,dsdw_with_topology,gradient_boosting
subsystem_size,0.0,0.0,dsdw_with_topology,gradient_boosting
