model,galaxy,true_f_lambda_opt,pred_f_lambda,exact_factor_match,abs_factor_error,best_possible_error,best_possible_verdict,bridge_error_pred,bridge_verdict_pred,beta_grav_pred,beta_mod_bridge_pred,beta_mod_ML_pred
rf_regressor,CamB,0.5,1.5,False,1.0,0.2695487548098539,moderate_bridge,0.2863274211210032,moderate_bridge,0.7780630053026396,1.873936747152356,2.625765375623437
rf_regressor,D512-2,0.5,0.5,True,0.0,0.0265997680315731,strong_bridge,0.0265997680315731,strong_bridge,0.6042373686247164,1.5739136982462605,1.6169234879505472
rf_regressor,D564-8,0.5,0.5,True,0.0,0.0069178942165734,strong_bridge,0.0069178942165734,strong_bridge,0.5520221891565869,1.4837902984842688,1.473596116432833
rf_regressor,D631-7,0.5,0.5,True,0.0,0.0401301671543648,strong_bridge,0.0401301671543648,strong_bridge,0.5249462009026238,1.4370571427579286,1.497137521759197
rf_regressor,DDO064,0.5,0.5,True,0.0,0.1549283765475171,strong_bridge,0.1549283765475171,strong_bridge,0.7528862076650595,1.8304815944298929,2.16606680857604
rf_regressor,DDO154,1.0,0.5,False,0.5,0.2228406513929126,moderate_bridge,0.265712387926442,moderate_bridge,0.3728423374761846,1.174525874483895,1.599544722220147
rf_regressor,DDO161,0.5,0.5,True,0.0,0.0861308843612431,strong_bridge,0.0861308843612431,strong_bridge,0.5093348567560048,1.4101119627608645,1.5430130405219509
rf_regressor,DDO168,0.5,0.5,True,0.0,0.1196613689534188,strong_bridge,0.1196613689534188,strong_bridge,0.6521018767384863,1.6565278392506273,1.4794900361696266
rf_regressor,DDO170,1.5,1.0,False,0.5,0.1383421897866469,strong_bridge,0.205984500374293,moderate_bridge,0.6827739673140467,1.709467867584045,2.1529401735732807
rf_regressor,ESO079-G014,1.0,1.0,True,0.0,0.0360317949995929,strong_bridge,0.0360317949995929,strong_bridge,0.5962373333105795,1.5601056372940605,1.5058472576072564
rf_regressor,ESO116-G012,0.5,0.5,True,0.0,0.0582929365245487,strong_bridge,0.0582929365245487,strong_bridge,0.4930048822679516,1.3819264267944844,1.4674695352654206
rf_regressor,ESO444-G084,0.5,0.5,True,0.0,0.1382267810830451,strong_bridge,0.1382267810830451,strong_bridge,0.423042758322492,1.261171800864621,1.463461352917901
