model,n,exact_factor_accuracy,mean_abs_factor_error,median_abs_factor_error,mean_bridge_error,median_bridge_error,strong_fraction,moderate_or_strong,failed_fraction
rf_classifier,175.0,0.7828571428571428,0.24,0.0,0.12985669263006108,0.1059868775489814,0.72,0.9885714285714285,0.011428571428571429
gb_regressor,175.0,0.6342857142857142,0.27714285714285714,0.0,0.14617499012919974,0.1293712126469722,0.6457142857142857,0.9885714285714285,0.011428571428571429
gb_classifier,175.0,0.76,0.26,0.0,0.13598063496347815,0.1090688597278308,0.7028571428571428,0.9828571428571429,0.017142857142857144
rf_regressor,175.0,0.6285714285714286,0.26571428571428574,0.0,0.14481077400705877,0.1209238742746003,0.6685714285714286,0.9828571428571429,0.017142857142857144
fixed_f_1.5,175.0,0.09142857142857143,0.76,1.0,0.23834691312821255,0.251127658740912,0.2342857142857143,0.9714285714285714,0.02857142857142857
fixed_f_1.0,175.0,0.21714285714285714,0.5342857142857143,0.5,0.22370829846639823,0.236580325165223,0.3314285714285714,0.9428571428571428,0.05714285714285714
fixed_f_2.0,175.0,0.13142857142857142,1.0771428571428572,1.5,0.25017798056825324,0.252989073574162,0.18285714285714286,0.9314285714285714,0.06857142857142857
fixed_f_0.5,175.0,0.5085714285714286,0.5257142857142857,0.0,0.2005828266151142,0.2147022894124207,0.48,0.8342857142857143,0.1657142857142857
fixed_f_3.0,175.0,0.05142857142857143,1.9742857142857142,2.5,0.3368099525425857,0.2866257253886834,0.06857142857142857,0.5942857142857143,0.4057142857142857
