model,galaxy,true_f_lambda_opt,pred_f_lambda,exact_factor_match,abs_factor_error,best_possible_error,best_possible_verdict,bridge_error_pred,bridge_verdict_pred,beta_grav_pred,beta_mod_bridge_pred,beta_mod_ML_pred
fixed_f_0.5,NGC0247,0.5,0.5,True,0.0,0.0500606238544846,strong_bridge,0.0500606238544846,strong_bridge,0.5966622028106268,1.5608389620511418,1.4864274753220723
fixed_f_0.5,NGC0289,2.0,0.5,False,1.5,0.0770296422682353,strong_bridge,0.3230813610284999,moderate_bridge,0.3879904264168705,1.2006714759955186,1.7737308545969437
fixed_f_0.5,NGC0300,0.5,0.5,True,0.0,0.0488514185793131,strong_bridge,0.0488514185793131,strong_bridge,0.4825280703016614,1.3638434493406677,1.433891061797682
fixed_f_0.5,NGC0801,2.0,0.5,False,1.5,0.0839878800940183,strong_bridge,0.3669035800498957,failed_bridge,0.2292328526194258,0.926655903621129,1.4636884278924858
fixed_f_0.5,NGC0891,3.0,0.5,False,2.5,0.2390280384644019,moderate_bridge,0.2797993951036018,moderate_bridge,0.3228822316673114,1.0882947318577796,1.5110994415428634
fixed_f_0.5,NGC1003,1.0,0.5,False,0.5,0.1059868775489814,strong_bridge,0.4017821201169749,failed_bridge,0.276959218683283,1.0090316114473463,1.6867292760367705
fixed_f_0.5,NGC1090,1.5,0.5,False,1.0,0.099514679675443,strong_bridge,0.4260889747926986,failed_bridge,0.2698890333136026,0.996828471499278,1.7369042024226935
fixed_f_0.5,NGC1705,1.0,0.5,False,0.5,0.2337031184381571,moderate_bridge,0.3475100566009003,moderate_bridge,0.3656029586079865,1.1620307065573847,1.780917419974121
fixed_f_0.5,NGC2366,0.5,0.5,True,0.0,0.0206096034702696,strong_bridge,0.0206096034702696,strong_bridge,0.5384019677499152,1.4602817963363537,1.4910109405917842
fixed_f_0.5,NGC2403,1.0,0.5,False,0.5,0.0842131031311052,strong_bridge,0.3076365799550127,moderate_bridge,0.3853386002785455,1.1960944240807696,1.7275528854529196
fixed_f_0.5,NGC2683,1.5,0.5,False,1.0,0.2091532182836483,moderate_bridge,0.298660892452993,moderate_bridge,0.4136512649399391,1.2449620832863348,1.775121435393351
fixed_f_0.5,NGC2841,1.0,0.5,False,0.5,0.2434667842298832,moderate_bridge,0.2948092967348371,moderate_bridge,0.3735006672970322,1.1756621517546777,1.667154921797955
fixed_f_0.5,NGC2903,1.5,0.5,False,1.0,0.0503265221449583,strong_bridge,0.2953907303928806,moderate_bridge,0.3955323175828471,1.213688780147994,1.722499025345963
fixed_f_0.5,NGC2915,2.0,0.5,False,1.5,0.1332466164770046,strong_bridge,0.5025359971866623,failed_bridge,0.2071114926142776,0.8884744362522432,1.7860074924569438
fixed_f_0.5,NGC2955,1.5,0.5,False,1.0,0.1070594346336096,strong_bridge,0.3510473141222117,failed_bridge,0.2147666578262077,0.9016872514080344,1.3894499106485578
fixed_f_0.5,NGC2976,1.0,0.5,False,0.5,0.2615785265761,moderate_bridge,0.2859361966746739,moderate_bridge,0.7458357302051608,1.818312470334108,2.546428571041414
fixed_f_0.5,NGC2998,1.0,0.5,False,0.5,0.1052291062786754,strong_bridge,0.3611245567612922,failed_bridge,0.3300045404506524,1.100587836817826,1.722695477601266
fixed_f_0.5,NGC3109,1.0,0.5,False,0.5,0.1928336409645031,strong_bridge,0.2041808228232447,moderate_bridge,0.6931239696596134,1.7273319716324926,2.170508101803186
fixed_f_0.5,NGC3198,1.5,0.5,False,1.0,0.1111222311760338,strong_bridge,0.2577533554960238,moderate_bridge,0.4376032644206469,1.2863032343900365,1.7329862572159405
fixed_f_0.5,NGC3521,1.0,0.5,False,0.5,0.1293712126469722,strong_bridge,0.4240694562213707,failed_bridge,0.2754134863559363,1.0063636774503462,1.7473698665948212
fixed_f_0.5,NGC3726,0.5,0.5,True,0.0,0.2106405027504003,moderate_bridge,0.2106405027504003,moderate_bridge,0.3887196539918403,1.2019301227899164,1.5226650556278285
fixed_f_0.5,NGC3741,1.0,0.5,False,0.5,0.2260617321859485,moderate_bridge,0.4751847957223803,failed_bridge,0.1104301722555871,0.7216024773131434,1.3749648856046215
fixed_f_0.5,NGC3769,1.5,0.5,False,1.0,0.0401536599701975,strong_bridge,0.3041719433131009,moderate_bridge,0.4079572985280266,1.235134297259374,1.775056762068946
fixed_f_0.5,NGC3877,2.0,0.5,False,1.5,0.2635325715025675,moderate_bridge,0.2721872933534651,moderate_bridge,0.669807608506531,1.6870879322822725,2.3180248391865645
fixed_f_0.5,NGC3893,1.5,0.5,False,1.0,0.2128564217774712,moderate_bridge,0.393309411104476,failed_bridge,0.2946292692922001,1.0395301187983377,1.7134436199031782
fixed_f_0.5,NGC3917,0.5,0.5,True,0.0,0.2147022894124207,moderate_bridge,0.2147022894124207,moderate_bridge,0.6770246443576884,1.6995445361613704,2.164204114245703
fixed_f_0.5,NGC3949,0.5,0.5,True,0.0,0.011720739266903,strong_bridge,0.011720739266903,strong_bridge,0.5441053312833293,1.4701258017950265,1.487561117800347
fixed_f_0.5,NGC3953,0.5,0.5,True,0.0,0.0178903607343216,strong_bridge,0.0178903607343216,strong_bridge,0.6327086242528965,1.6230550854604997,1.6526210726065726
fixed_f_0.5,NGC3972,2.0,0.5,False,1.5,0.2712922170539061,moderate_bridge,0.2765929251313701,moderate_bridge,0.6726120938729645,1.691928474024737,2.338833186462808
fixed_f_0.5,NGC3992,0.5,0.5,True,0.0,0.0885746003902886,strong_bridge,0.0885746003902886,strong_bridge,0.4526079756941368,1.3122013660480802,1.43972437745315
fixed_f_0.5,NGC4010,0.5,0.5,True,0.0,0.2356759233265851,moderate_bridge,0.2356759233265851,moderate_bridge,0.6450593293349636,1.644372402432147,2.151407305640543
fixed_f_0.5,NGC4013,1.0,0.5,False,0.5,0.0057494150674973,strong_bridge,0.4181261592613324,failed_bridge,0.225468401293893,0.9201584606332592,1.5813710742953349
fixed_f_0.5,NGC4051,2.0,0.5,False,1.5,0.2422056294072057,moderate_bridge,0.2524745029779812,moderate_bridge,0.7078631627592165,1.7527718189224075,2.344765263399141
fixed_f_0.5,NGC4068,0.5,0.5,True,0.0,0.2491220177932661,moderate_bridge,0.2491220177932661,moderate_bridge,0.7114807889891623,1.759015841795294,2.3426120934133303
fixed_f_0.5,NGC4085,0.5,0.5,True,0.0,0.0362500739341339,strong_bridge,0.0362500739341339,strong_bridge,0.5890382143115498,1.5476799579017348,1.4935390566737932
fixed_f_0.5,NGC4088,2.0,0.5,False,1.5,0.2056412017052782,moderate_bridge,0.2471081622881893,moderate_bridge,0.6308675206322887,1.6198773406113305,2.1515405792344127
fixed_f_0.5,NGC4100,0.5,0.5,True,0.0,0.0175108651516683,strong_bridge,0.0175108651516683,strong_bridge,0.5712270909051362,1.5169379589022651,1.490832197331036
fixed_f_0.5,NGC4138,1.0,0.5,False,0.5,0.008596493635206,strong_bridge,0.3408374288275267,moderate_bridge,0.3595163986074672,1.1515253039964883,1.7469518967805375
fixed_f_0.5,NGC4157,0.5,0.5,True,0.0,0.065573361585843,strong_bridge,0.065573361585843,strong_bridge,0.5259330696111979,1.4387604781489276,1.539725451952751
fixed_f_0.5,NGC4183,0.5,0.5,True,0.0,0.0715023480513289,strong_bridge,0.0715023480513289,strong_bridge,0.4637105932962542,1.3313644840293346,1.433891061797682
fixed_f_0.5,NGC4214,1.0,0.5,False,0.5,0.2591012677653656,moderate_bridge,0.2756264942561235,moderate_bridge,0.4241370980231376,1.2630606311879355,1.7436593431048646
fixed_f_0.5,NGC4217,1.0,0.5,False,0.5,0.2742383783865946,moderate_bridge,0.3002514504134638,moderate_bridge,0.3700432583380815,1.1696946638915289,1.6715928380025535
