N_nodes,c_edge,meff2,R2_disp,plus_corr,cross_corr,mean_corr,plus_low25_energy,cross_low25_energy,mean_low25_energy,plus_k_weighted,cross_k_weighted,mean_k_weighted,plus_group_velocity,cross_group_velocity,plus_packet_v,cross_packet_v,plus_packet_R2,cross_packet_R2
121,1.0000196508436583,0.0023684399975246384,0.999999996248919,0.999839176879922,0.9997727754432423,0.9998059761615821,0.0038208866437439105,0.010483732679245841,0.007152309661494875,4.048296465066097,4.221347732680343,4.1348220988732205,0.9999474017886212,0.9999532033946863,0.09070472173084068,0.11465288523251206,0.532935735307415,0.15436466090859657
256,1.0000077361080693,0.0018566964619160665,0.9999999992922431,0.9995702268953361,0.9993369693139726,0.9994535981046544,0.03556617663655243,0.02496741733248605,0.03026679698451924,5.314131936747972,5.409481756057057,5.361806846402515,0.9999748644602832,0.9999760130119147,0.06257736701636753,0.22470746091245736,0.7249749188726045,0.05038161334606006
400,1.0000028059441846,0.001905906876916864,0.9999999995490311,0.9948830735255487,0.9949220040018354,0.9949025387636921,0.0832912387155623,0.09358742490902369,0.08843933181229299,6.117665545286242,6.1996395809054246,6.158652563095833,0.9999773445362294,0.9999780133810924,,,0.02728447377115606,0.06652695190192126
625,0.9999993907826548,0.0019522986375607803,0.9999999998229254,0.9762235701140657,0.9739623803338586,0.9750929752239621,0.20130726926823547,0.26754284765135267,0.23442505845979406,7.08800138133419,7.130847444196426,7.109424412765308,0.9999799615219428,0.9999801942972119,,,0.2210060212791244,0.019217093209132896
