lambda_key,ok,model,formula,m0_squared,slope,beta,lambda_star_free,m0_over_beta,n,k_params,sse,rmse,r2,aic,bic,delta_aic,delta_bic,lambda_star,m0_squared_constrained,gamma
lambda1_norm,True,free_linear,m2 = m0_squared - beta * lambda1,0.002034193470959843,-0.0028122175647483207,0.0028122175647483207,0.72334142865006,0.72334142865006,8,2,2.0626276062353875e-08,5.077681072885766e-05,0.8917437036887617,-154.20913262903574,-154.05024954567605,0.0,0.0,,,
lambda1_norm,True,relative_gap_lambda_star_1,m2 = beta * (1 - lambda1/lambda_star),,,0.001979848065553585,,1.0,8,1,3.55570836190292e-08,6.666809921078183e-05,0.8133798767849021,-151.8525438744558,-151.77310233277595,2.3565887545799455,2.277147212900104,1.0,0.001979848065553585,
lambda1_norm,True,relative_gap_lambda_star_2,m2 = beta * (1 - lambda1/lambda_star),,,0.0019101708085458172,,1.0,8,1,9.477572053737678e-08,0.00010884376448456796,0.5025729096910723,-144.0095529171408,-143.93011137546097,10.199579711894927,10.120138170215085,2.0,0.0019101708085458172,
lambda1_norm,True,direct_proportional,m2 = gamma * lambda1,,,,,,8,1,1.2143896903371971e-05,0.0012320661966475244,-62.736822758035814,-105.18500294830721,-105.10556140662737,49.02412968072852,48.94468813904868,,,0.016099165351287
lambda1_comb,True,free_linear,m2 = m0_squared - beta * lambda1,0.0019913857988358413,-0.0001634146506567816,0.0001634146506567816,12.186090970621306,12.186090970621306,8,2,5.497799642599108e-08,8.289903228173948e-05,0.7114498878179427,-146.3661947073848,-146.20731162402512,0.0,0.0,,,
lambda1_comb,True,relative_gap_lambda_star_2,m2 = beta * (1 - lambda1/lambda_star),,,0.002318457128830085,,1.0,8,1,7.782966305927647e-06,0.0009863421253505074,-39.848629391355814,-108.74411648691604,-108.6646749452362,37.622078220468765,37.542636678788924,2.0,0.002318457128830085,
lambda1_comb,True,direct_proportional,m2 = gamma * lambda1,,,,,,8,1,1.3797060142353253e-05,0.0013132526481199863,-71.41339282376101,-104.16397250670838,-104.08453096502853,42.20222220067643,42.12278065899659,,,0.0010753540353393046
lambda1_comb,True,relative_gap_lambda_star_1,m2 = beta * (1 - lambda1/lambda_star),,,0.00041604442665275486,,1.0,8,1,2.6458816094200064e-05,0.0018186126612819477,-137.86818088147928,-98.95490148148656,-98.87545993980672,47.41129322589825,47.33185168421841,1.0,0.00041604442665275486,
