n,hilbert_dim,subsystem_size,d_A,topology,seed,eta_zz,hx,hz,hz_random,j_disorder,j,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,candidate_L,g2_plateau,C_modular,t_dip,g2_dip,t_ramp,g2_ramp,slope_ramp,log_t_dip,log_t_ramp,delta3_proxy,family,spearman_lambda_kappa,fit_ok,r2,A_fit,beta,B_fit,source_csv,source_run,log_C_modular,log_slope_ramp,rmt_distance,rmt_score,regime
9,512,4,16,chain,0,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,6,8",8,-12.747098825739304,-0.0901544585973685,0.1811377024894774,0.0998204468469024,0.023514244486886,0.1764758420287067,0.5007044303701661,induced,0.065070265005023,1.0411242400803693,40.469208211143695,2.964980310936647e-05,41.64222873900294,0.0729016061596115,0.0621233427939177,3.700541393861804,3.72911476630586,0.0012598595318438,pos,1.0,1,0.9770992426483148,34.378670338598155,0.2375829304368372,-2.070884576693102,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.040301129370706415,-2.778633470270551,0.02929556962983393,0.9351491441119223,0.5_0.4_0.2
9,512,4,16,chain,2,0.5,0.4,0.0,0.2,0.2,1.0,"1,3,5,7",8,-12.117846706186777,-0.0166908633277139,0.1169251035127263,0.1072013527019323,0.0255273718084109,0.221711117513039,0.4752354023454814,induced,0.0625197062005191,1.000315299208307,64.39882697947215,7.676633535570369e-05,68.1524926686217,0.0633348118240086,0.0168523386809614,4.165095418339965,4.221747733682346,0.0032608974224427,pos,1.0,1,0.9637315518378936,67.91427456121714,0.3994299347252538,0.0560253674547372,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.0003152495119575774,-4.083265837692441,0.05476459765451863,0.7911169547377458,0.5_0.4_0.2
9,512,4,16,chain,3,0.5,0.4,0.0,0.2,0.2,1.0,"0,1,4,5",8,-11.39879649088348,-0.0304372749288179,0.1121511028154929,0.130742892697505,0.0315743521278428,0.4626280185665404,0.5109595187870516,induced,0.0485659891551679,0.7770558264826877,5.747800586510264,7.889232022374018e-06,11.026392961876834,0.0585640540449044,0.0110931401117737,1.74881727494122,2.400291759100514,0.0017473358907601,pos,1.0,1,0.9452462402255348,25.38146942245062,0.1823260730575018,1.503683727590798,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.25224308244042,-4.501428369657792,0.019040481212948435,0.9720739165043998,0.5_0.4_0.2
9,512,4,16,chain,4,0.5,0.4,0.0,0.2,0.2,1.0,"1,4,6,8",8,-11.970949395075412,-0.0243083374874923,0.2470349206510918,0.0959709453725167,0.0226586149420434,0.2029332557984799,0.4694511063035264,induced,0.0770504946016488,1.232807913626382,27.44868035190616,3.314352054568154e-05,47.03812316715543,0.0680053486577516,0.003469838615537,3.312318092188157,3.85095840413701,0.0027970307087011,pos,1.0,1,0.9770575091482684,31.798008944659745,0.1816648020890867,-2.4884608660729204,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.2092944242328722,-5.6636471945957005,0.06054889369647365,0.750947590273614,0.5_0.4_0.2
9,512,4,16,grid,0,0.5,0.4,0.0,0.2,0.2,1.0,"0,2,4,6",12,-16.056561208193227,0.0538066478323158,0.1377142408094708,0.0574686134027769,0.0141025695623144,0.0708645220291359,0.5657854164396037,induced,0.0473486641931778,0.7575786270908454,109.67741935483872,2.971105175700082e-05,114.25219941348976,0.0399374750897424,0.0087234279083032,4.697543506119116,4.738408280472964,0.0038423585295793,pos,1.0,1,0.961031624225954,369.42082895610434,0.8478033495013753,0.8275429627942312,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.27762794884553704,-4.741743009557883,0.035785416439603646,0.9047952854211848,0.5_0.4_0.2
9,512,4,16,grid,2,0.5,0.4,0.0,0.2,0.2,1.0,"3,4,5,6",12,-16.12357754606786,-0.0015005711537953,0.1250881957881533,0.0601479499570979,0.0146700099979312,0.0791416246734948,0.483690499652509,induced,0.0465064563218972,0.7441033011503563,16.070381231671554,0.0003256469193128,16.89149560117302,0.0611416412195272,0.0740651930584754,2.7769779026586066,2.826810276406479,0.0048745321127135,pos,1.0,1,0.9912450011012468,39.22717646366923,0.4216206230510222,-0.1339787380997839,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.29557540815500855,-2.6028095863427914,0.04630950034749104,0.8457389663698077,0.5_0.4_0.2
9,512,4,16,grid,3,0.5,0.4,0.0,0.2,0.2,1.0,"2,3,5,8",12,-15.782184391215807,0.0539659241020438,0.1259118989165448,0.0651121111126435,0.015943378000429,0.1232921273622133,0.4958684158162929,induced,0.0542829014412513,0.8685264230600208,30.146627565982406,8.511982309513567e-06,34.72140762463344,0.0687972627418877,0.0150365153903949,3.4060730617256727,3.5473564311545087,0.0051396031963539,pos,1.0,1,0.9706811643851426,25.49714165359261,0.1062394220299686,-6.057604829612865,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.14095726997560704,-4.197273676773019,0.03413158418370715,0.9130059388322609,0.5_0.4_0.2
9,512,4,16,er,0,0.5,0.4,0.0,0.2,0.2,1.0,"0,4,6,7",16,-19.11930923319194,-0.0044716392812183,0.1473056727306751,0.0440267472104788,0.0116892490148095,0.0366700701679327,0.4564152212835529,induced,0.0589135579628715,0.9426169274059444,102.05278592375367,0.0001065530443594,103.6950146627566,0.069512930624196,0.0422635263477219,4.625490188479059,4.641454039468073,0.0032938778232137,pos,1.0,1,0.9548042242997992,34.219200963047584,0.2731414053851221,-0.5224086351636705,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.05909530644672547,-3.163830826174169,0.07358477871644714,0.6550622738148284,0.5_0.4_0.2
9,512,4,16,er,2,0.5,0.4,0.0,0.2,0.2,1.0,"0,1,2,6",18,-22.008863641515568,-0.032467227896925,0.2543276246350432,0.0422386151510925,0.0112993269252827,0.0465516439939721,0.5608817524922666,induced,0.0615270213774586,0.9844323420393388,76.95014662756599,1.6539463155396677e-05,82.81524926686218,0.0765836525738448,0.0130546927853725,4.343157765774522,4.416612214323674,0.0043026349134155,pos,1.0,1,0.9719474189883416,33.13006082242133,0.2683576105271235,-0.7231435231849321,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.015690106434295015,-4.338607609442481,0.030881752492266545,0.9282014815568348,0.5_0.4_0.2
9,512,4,16,er,3,0.5,0.4,0.0,0.2,0.2,1.0,"0,5,7,8",20,-23.483559629132863,0.0552503906214805,0.1655933760663596,0.0413560929994742,0.0113669668438427,0.0547347950235777,0.5047680712875334,induced,0.0585461873286573,0.936738997258517,77.77126099706746,2.7186302792226056e-05,79.17888563049854,0.0693772562991451,0.0492674455599091,4.353771967016295,4.371709667702962,0.0050014238059748,pos,1.0,1,0.964904732648265,142.6969837305855,0.7847581663702055,0.3808180239914087,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.06535058703142625,-3.0104917495200674,0.0252319287124666,0.9514783948170416,0.5_0.4_0.2
9,512,4,16,er,4,0.5,0.4,0.0,0.2,0.2,1.0,"2,5,7,8",15,-18.832513122406496,-0.0706885650209662,0.176779251933983,0.0458884949840243,0.011863767189464,0.0740165472511726,0.5405793888244329,induced,0.0602368946135492,0.963790313816788,113.66568914956012,0.0001034680919859,120.0,0.0415514238300345,0.0065434041234604,4.733261588721194,4.787491742782055,0.003810929047811,pos,1.0,1,0.9885651536497548,49.97022416192335,0.3197918144974846,-0.904510043439844,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.03688152481936321,-5.029297740756048,0.010579388824432878,0.9912940968396695,0.5_0.4_0.2
9,512,4,16,chain,2,0.5,0.4,0.0,0.4,0.2,1.0,"1,3,5,7",8,-12.18459711508902,-0.0333817266554278,0.2338502070254526,0.1046542318016772,0.0248968198391589,0.2028845744816434,0.4540965354887851,induced,0.0565056723934137,0.9040907582946196,62.639296187683286,2.429852647893892e-07,66.62756598240469,0.0611927456303828,0.0153431201485185,4.137392815790631,4.199118395551586,0.00332378252159,pos,1.0,1,0.9585676655595368,69.20606083469187,0.4025705295547412,0.1005111024952878,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.10082552728573042,-4.177088104213615,0.07590346451121494,0.6375616064019445,0.5_0.4_0.4
9,512,4,16,chain,3,0.5,0.4,0.0,0.4,0.2,1.0,"0,1,4,5",8,-11.506914866425122,-0.0608745498576359,0.2243022056309859,0.1306666670310187,0.0315569499780264,0.4647502662428464,0.5608950462578685,induced,0.0664140776532227,1.0626252424515636,46.09970674486804,8.731216180942767e-05,47.03812316715543,0.0743667650111789,0.0791540419426095,3.830806588699703,3.85095840413701,0.0017120686655873,pos,1.0,1,0.9453116733342048,25.409232938493545,0.180672776465332,1.4006067368966095,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.06074249011822412,-2.536359427090892,0.03089504625786843,0.9281419301847686,0.5_0.4_0.4
9,512,4,16,chain,4,0.5,0.4,0.0,0.4,0.2,1.0,"1,4,6,8",8,-12.224937444649097,-0.0486166749749846,0.4940698413021836,0.0912961955708527,0.0215429498619753,0.2028762150498704,0.4586146829061239,induced,0.0651476584342026,1.042362534947242,7.390029325513197,7.061682993591942e-05,12.78592375366569,0.0878366253963363,0.0162653309354035,2.000131703222088,2.5483448590596414,0.0025228061161464,pos,1.0,1,0.9671185171628414,30.301713929578195,0.1500992246158072,-3.352569707021384,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.041489805034520405,-4.1187193727895695,0.07138531709387613,0.6715852371231912,0.5_0.4_0.4
9,512,4,16,grid,0,0.5,0.4,0.0,0.4,0.2,1.0,"0,2,4,6",12,-16.16579900014284,0.1076132956646316,0.2754284816189416,0.0569825863098439,0.0139827431272212,0.0690486560360245,0.5287596693724218,induced,0.0699037442561166,1.1184599080978657,67.09677419354838,4.306496220489471e-05,70.85043988269796,0.1011081386820972,0.0269243672956899,4.206135968210233,4.260571174765249,0.0035321688782058,pos,1.0,1,0.9664360832236248,371.8044107647956,0.8458446576170237,0.8248310544851933,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.11195265695861002,-3.6147235549831054,0.0012403306275782233,0.9998798181547831,0.5_0.4_0.4
9,512,4,16,grid,2,0.5,0.4,0.0,0.4,0.2,1.0,"3,4,5,6",12,-16.18011457061544,-0.0030011423075907,0.2501763915763066,0.0594980545181946,0.0145016373414432,0.0798068831328791,0.5056940314082107,induced,0.0481146333182303,0.769834133091685,53.95894428152493,6.447353282559601e-05,55.483870967741936,0.0414710749179412,0.0271531751390854,3.988223466313579,4.01609236532237,0.0047628992515072,pos,1.0,1,0.9914479709763416,39.96053725438616,0.425317810094493,-0.1194987597710687,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.26158019890805223,-3.606261291407469,0.02430596859178935,0.9548942324175013,0.5_0.4_0.4
9,512,4,16,grid,3,0.5,0.4,0.0,0.4,0.2,1.0,"2,3,5,8",12,-15.867379389424936,0.1079318482040876,0.2518237978330897,0.0647578095043027,0.0158523231592213,0.1199262246765995,0.5142973395748349,induced,0.0567505620889108,0.9080089934225742,10.322580645161292,2.0994364068989405e-05,16.3049853372434,0.0593366771055946,0.0099150234386569,2.334333791308723,2.7914709099611725,0.0051267160345024,pos,1.0,1,0.970932633734498,25.439230434619567,0.1079344088223871,-5.890075865790423,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.09650099577948233,-4.613704153053828,0.015702660425165105,0.9809207984917826,0.5_0.4_0.4
9,512,4,16,er,2,0.5,0.4,0.0,0.4,0.2,1.0,"0,1,2,6",18,-22.252328442082774,-0.06493445579385,0.5086552492700865,0.0416133842592002,0.0110926470573385,0.0474062114416706,0.5917642878566761,induced,0.0533205121955863,0.853128195129381,93.72434017595307,0.0001312951379086,94.7800586510264,0.0710890440459201,0.0672127566045336,4.540357922596705,4.551559035351525,0.0041295670015002,pos,1.0,1,0.9711185424504046,33.23104598591882,0.266469975035032,-0.7305625077656341,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.15884545540922534,-2.6998922190439414,0.06176428785667609,0.7422765626968459,0.5_0.4_0.4
9,512,4,16,er,3,0.5,0.4,0.0,0.4,0.2,1.0,"0,5,7,8",20,-23.562917489569447,0.1105007812429611,0.3311867521327192,0.0412055212647089,0.0113150275673824,0.0549999580251425,0.4830261553749539,induced,0.0606072606004015,0.9697161696064244,9.501466275659824,1.5869381019691865e-05,11.8475073313783,0.064948825559083,0.0276776725708995,2.251446131502964,2.472117493671764,0.0049520863131584,pos,1.0,1,0.9653628979193718,145.438446419963,0.7905106990475164,0.3969188841193259,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,-0.03075185895614412,-3.587129235189138,0.04697384462504611,0.8416541478350255,0.5_0.4_0.4
9,512,4,16,chain,3,0.5,0.4,0.0,0.6,0.2,1.0,"0,1,4,5",8,-11.683627080043529,-0.0913118247864539,0.3364533084464788,0.1303902505379561,0.0314953547364537,0.4667780023589045,0.5606181560692601,induced,0.0716002718510416,1.145604349616666,53.60703812316716,3.0891642509014355e-05,56.539589442815256,0.0849360007747352,0.028952642214089,3.981680367724643,4.034941090881038,0.0017357380390346,pos,1.0,1,0.943750622179164,25.2971778808258,0.1808014347893167,1.4326237733813836,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.13593231401929354,-3.542093810938218,0.030618156069260105,0.9293777902743905,0.5_0.4_0.6
9,512,4,16,grid,0,0.5,0.4,0.0,0.6,0.2,1.0,"0,2,4,6",12,-16.345520026687666,0.1614199434969474,0.4131427224284124,0.0561444332741139,0.0137755890331358,0.0660510522358702,0.5792982319714246,induced,0.0632027784515142,1.0112444552242283,58.768328445747805,1.946382906348917e-05,62.40469208211144,0.0595825236708641,0.0163798414564951,4.073603077915301,4.13364046617208,0.0032654849149995,pos,1.0,1,0.9719214059088896,364.8335308454752,0.8352281513356238,0.8022314059346652,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.011181706284534266,-4.111703879694709,0.04929823197142458,0.8270679588784486,0.5_0.4_0.6
9,512,4,16,grid,1,0.5,0.4,0.0,0.6,0.2,1.0,"2,3,4,7",12,-17.262983902176337,-0.131311361366809,0.646470135278536,0.0557141429516344,0.0135857806512894,0.0600278344103469,0.4669052154759874,induced,0.0749697211524199,1.1995155384387188,3.1671554252199416,4.222862803246183e-05,4.574780058651027,0.0941665965409023,0.0668675197047679,1.1528338428350644,1.5205586229602843,0.0049701750630664,pos,1.0,1,0.97276222870907,34.01584210740256,0.2959790829673692,-0.64042239805951,papers/paper14_modular_spectral_action/results/sff_features_v3_N9_fixed/paper14_v3_sff_features.csv,sff_features_v3_N9_fixed,0.18191775731018117,-2.7050419349041657,0.06309478452401263,0.7327051844384566,0.5_0.4_0.6
