run,family,N_side,N_nodes,extent,L,a,invL2,eta_edge,source_width,pulse_sigma,status,c_edge,meff2,R2_disp,plus_corr,cross_corr,mean_corr,plus_low25_energy,cross_low25_energy,mean_low25_energy,plus_k_weighted,cross_k_weighted,mean_k_weighted,plus_packet_v,cross_packet_v,plus_packet_R2,cross_packet_R2,plus_group_velocity,cross_group_velocity
fixed_N_density_N400_side20_extent0p7_a0p073684_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,0.7,1.4,0.07368421052631578,0.5102040816326532,1.0,0.12,0.25,ok,1.0000016666834417,0.0016891758878666817,0.9999999997438095,0.930977878692822,0.9457063410527491,0.9383421098727855,0.5758494320503302,0.5807542958359627,0.5783018639431465,6.740146774879969,6.6697061173872925,6.704926446133631,nan,2.028519458322603,0.5433773140605676,0.006372478987294428,0.9999830760864925,0.9999826813429944
fixed_N_density_N400_side20_extent1p0_a0p105263_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,1.0,2.0,0.10526315789473684,0.25,1.0,0.12,0.25,ok,1.000002805944187,0.0019059068768038604,0.9999999995490311,0.9948830735255483,0.9949220040018343,0.9949025387636913,0.0832912387155617,0.09358742490902457,0.08843933181229313,6.117665545286248,6.19963958090542,6.158652563095834,nan,nan,0.02728447377115606,0.06652695190192126,0.9999773445362332,0.9999780133810963
fixed_N_density_N400_side20_extent1p4_a0p147368_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,1.4,2.8,0.14736842105263157,0.1275510204081633,1.0,0.12,0.25,ok,1.0000134660397695,0.0018903112982697624,0.9999999980872328,0.9998512258037314,0.9998449281411845,0.999848076972458,0.007676601283447789,0.005209031066183259,0.006442816174815524,4.769207762287417,4.769989027402663,4.7695983948450404,nan,0.11939180407867231,0.04353856216215912,0.5643343298423602,0.9999719153790767,0.9999719289880811
fixed_N_density_N400_side20_extent2p0_a0p210526_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,2.0,4.0,0.21052631578947367,0.0625,1.0,0.12,0.25,ok,1.0000223453192372,0.001995885905732264,0.9999999878841704,0.9986870399559304,0.9993792084246605,0.9990331241902954,0.0009711576797268754,0.00016611050374439,0.0005686340917356327,3.088700914329764,3.270550845192002,3.179625879760883,0.3976390511352845,0.11916612178383867,0.17090291806404312,0.9155436074394436,0.9999177586906932,0.9999290642679968
