center,alpha,R2_free,R2_newton,n_pairs
414,1.835388769665779,0.8725735659314638,0.8572289341060719,189
204,1.631301191351323,0.9179152762337439,0.9045270148525317,235
354,1.086844271419918,0.7784753321261297,0.7782977981523412,194
599,0.7928148245187409,0.9324031338230947,0.9311604439831653,196
561,1.3565309781956814,0.8582891424718724,0.8547847080530726,229
382,1.2147448951290305,0.8577718618138179,0.8567031448857734,223
350,0.7987943429145131,0.8970133505263863,0.895823546256888,217
591,0.7841471518468035,0.8511019348264759,0.8501082400677166,219
569,1.349342256655027,0.7476352137856664,0.7445400684550304,244
232,0.7254965904533507,0.8791896910907852,0.877417346393683,203
177,0.8277870708247864,0.9010857868902863,0.9003020958179807,208
264,1.0760142195122369,0.8474323570585406,0.847287295385645,182
552,1.7175568000058017,0.906162250626747,0.8936479498520067,229
366,1.3494376259459346,0.8744460263849712,0.870510275957415,217
646,1.1649266993151604,0.7201373238675661,0.7196961411165012,196
535,2.0078087060880634,0.8255101150072577,0.8066054325986445,166
747,0.873787568571086,0.887080225046284,0.8866435059002217,207
218,0.5794168340212696,0.8480346019531879,0.8432694582152485,211
478,1.4814800515711632,0.9006221119211261,0.8944907499087841,242
432,1.0543357864076734,0.8572874864036257,0.857192535156706,200
50,1.7623715333473235,0.8611802749855825,0.8427288555498352,190
790,1.9032011168115537,0.8162604032904824,0.7961028798205291,219
35,1.3159925032158004,0.8726063521173839,0.869847574280742,192
499,0.7885326346653384,0.8674024364242796,0.8662924995845148,221
553,1.070336438299231,0.8728098125130053,0.8726807653388778,208
142,1.839562423615477,0.845220881112346,0.8265839747230365,219
461,1.3709161890811927,0.8526923961617087,0.8496521620361508,199
396,1.8091377670760735,0.8157878742602982,0.8017961043073732,195
791,1.0631113329255428,0.9035390129627904,0.9034511660076245,191
155,1.2317099804021858,0.8721060524636459,0.8707263111746613,208
307,1.5609050177637342,0.8949336975216298,0.8867681922040855,202
524,1.2933813444718543,0.8981556941964123,0.8955451725125817,199
735,1.3587326208113506,0.8517660190352321,0.8492683483896899,166
190,1.0027219007931414,0.8353825032105475,0.8353822892891674,220
491,1.9911514995396187,0.7597907029225217,0.7351803997570145,184
468,1.6108734909401792,0.7492980179701723,0.7399915763503788,221
403,1.4452037800001052,0.8329219417268301,0.8283099754045048,209
796,0.6302752761776362,0.9071772970369862,0.9032670413027666,212
571,1.5842728128867913,0.8570586339157666,0.8481095252820783,224
496,1.1670473821216014,0.8498757280026846,0.849143294643299,204
512,1.066596584113299,0.8977210702813957,0.8976156540554858,221
17,1.1554225479875517,0.8864130499487908,0.8859206808027402,206
585,1.25251657099845,0.8309491934321046,0.8297348566629865,208
596,1.0795373420584844,0.8443151583719684,0.8441800382510825,238
486,1.0455769660813206,0.9038133327456492,0.9037452787789058,185
620,1.1209454922080142,0.8975537272854003,0.8971941241206178,194
228,1.1807987123330195,0.8741608891835375,0.8731940369764791,214
222,1.2409847575936288,0.8021012527654328,0.8007819981310145,215
81,0.6935013901413983,0.9315015420794375,0.9291211298459255,177
198,0.816744371459203,0.8773091619320286,0.876553384439033,181
15,1.3858588870631192,0.8417143367071798,0.8378106456757048,189
639,1.2448529341988506,0.8720148664697085,0.8705974840214569,220
448,1.5711569164850188,0.8307660477274096,0.8237293277940825,200
551,0.6651612438252219,0.8977374655986033,0.8937520526559024,172
494,1.4008703335639041,0.8416927458040646,0.8379410231799882,184
654,1.8602653038981114,0.8959025800028602,0.8753522538760972,199
299,1.3898975685150157,0.9057080135317037,0.9007975426556243,184
281,1.0114279948563278,0.8468178112625029,0.8468150945400728,189
443,1.4314925794924798,0.8050912681046629,0.8014457605954592,215
292,1.0057890560037648,0.9187378076895287,0.918736931039221,186
726,0.7365072194913209,0.8274462443807918,0.8255451134524623,179
603,0.9480888377998807,0.8981302896437435,0.8980489725556432,238
522,2.8108970473123858,0.7595253258454553,0.7081566695135694,183
565,0.9113200217189651,0.8854943107063794,0.8853052144655935,172
324,0.8480562005369529,0.8882839210396295,0.8876310518279308,185
109,1.5359696198411945,0.8711758184744349,0.8642507996837753,225
255,1.2796071100677537,0.8810172360646534,0.8788149556199916,177
348,1.5546398770266798,0.8882070015341368,0.8806578113143347,188
404,0.9249195154448916,0.8709845921383292,0.870800824588551,191
205,1.0819196010411416,0.846839246330518,0.8466748927901381,191
792,1.4322573231717888,0.8302549886326349,0.8257844329695165,210
49,1.082241128731782,0.9030670862776364,0.9028891377683584,208
685,0.5656797026417965,0.8714304473792784,0.8660537984594303,204
254,0.6741369759119622,0.7887616125664936,0.7865345039364987,221
364,1.209919118382418,0.7556568912132327,0.754693812022685,189
493,1.3828803321468537,0.7930613217507523,0.7895161581585995,210
332,1.3778673288594658,0.8630823335672666,0.8587946276889409,234
435,0.42859231558377453,0.9039838281411642,0.896371892873062,228
165,0.787014533851718,0.8108143447129924,0.8094712955676595,168
321,1.1880537593332179,0.8629747592332232,0.8620334922090541,201
77,2.132505136992715,0.8183860969524595,0.7865980832892583,207
681,1.0099723555351698,0.8909065696499068,0.8909038296217437,182
736,0.6069130604111594,0.8845006352876977,0.8804363334234396,202
740,0.7580206931997289,0.8648114201471999,0.8633365251602456,193
723,0.874690028065132,0.8742754004299385,0.8739057016271101,208
349,1.6526848781051136,0.915550037849665,0.9068654348582539,189
34,0.9567118557400685,0.9026783476396903,0.9026302130145583,197
98,1.3291059993343308,0.7493027248107301,0.7469746742154743,188
320,0.47263561172872354,0.9038885277022358,0.8979068668652966,190
426,1.0319650324328942,0.9107491103197868,0.9107229210696721,187
640,1.273378174060824,0.785775728378393,0.7844609757381978,208
617,0.9765033113673109,0.9140932354167725,0.9140798366938246,215
306,1.036617771569235,0.8433494443486648,0.8433201738542999,189
663,0.9839642007923235,0.7552521290403853,0.7552453839808138,172
303,1.638016999812133,0.7192210174495688,0.7128458662996342,221
430,1.9449301672232562,0.7917631251588888,0.7698267353766063,200
678,1.1670058206740046,0.8965132295565893,0.8956405545043634,253
338,1.5206072033651192,0.8780316601422823,0.8721622349953441,229
597,1.7972282581645986,0.8355437575174188,0.8205545621496383,194
89,1.4262899638961495,0.8587869004230156,0.8562421970041572,204
584,1.0104557349252192,0.8047728982283407,0.8047703633435752,213
545,1.4619895532594518,0.8694996202731405,0.8651830297993142,169
38,0.7785403889104779,0.8983625063315087,0.8969156918493736,196
114,1.5650268519596227,0.8708060607862937,0.8616738478639765,205
371,1.7636960754029793,0.8647217704389258,0.8494172898844841,231
211,1.2207098233547384,0.9091636599056059,0.9078400574210009,215
676,1.1766037851024098,0.8257886541999074,0.8249992139388851,212
