N,A_size,state_kind,Jxy,Jz,eta_micro,energy_baseline,energy_perturbed,S_A_baseline,S_A_perturbed,fit_rel_err_baseline,fit_r2_baseline,fit_rel_err_perturbed,fit_r2_perturbed,xxz_regime_baseline,xxz_regime_perturbed,mean_abs_xx_baseline,mean_abs_yy_baseline,mean_abs_zz_baseline,mean_abs_cross_baseline,eta_eff_baseline,amplification_baseline,delta_near,delta_far,locality_score,compact_locality,xi_upper_bound
8,3,ground,1.0,1.0,1.0,-14.604373635748706,-14.615605637684531,1.0236573246849159,1.0167881617954293,8.40220951765401e-16,1.0,0.003038735006939031,0.9999907660895576,heisenberg_like,heisenberg_like,0.5021242085676262,0.5021242085676262,0.5021242085676251,2.840417178465879e-16,0.9999999999999978,0.9999999999999978,0.004247327259984801,0.004340131978284705,-9.280471829990408e-05,False,nan
8,4,ground,1.0,1.0,1.0,-14.604373635748706,-14.615605637684531,1.0511658766146603,1.0468796336618065,0.0025623900968893627,0.9999934341569914,0.004076516503339823,0.999983382013198,heisenberg_like,heisenberg_like,0.5238699364609701,0.5238699364609392,0.5238699364609616,3.0413557474931154e-15,1.000000000000013,1.000000000000013,0.007061306573795808,0.0023753921347599155,0.004685914439035892,False,nan
8,5,ground,1.0,1.0,1.0,-14.604373635748706,-14.615605637684531,1.0236573253474928,1.0193648935671547,0.11481005231747769,0.986818651886858,0.1156806357007123,0.9866179905238791,heisenberg_like,heisenberg_like,1.261733159727752,1.2617331597277543,1.2617331597277515,1.2727377022662503e-15,0.9999999999999986,0.9999999999999986,0.013210203230025992,0.0055482329292935225,0.007661970300732469,False,nan
8,6,ground,1.0,1.0,1.0,-14.604373635748706,-14.615605637684531,0.927922574850347,0.9249188518825844,0.18122857412169238,0.9671562039218182,0.1812083969605402,0.9671635168709913,heisenberg_like,heisenberg_like,0.4871053716058651,0.4871053716058655,0.4871053716058657,4.0373172744932983e-16,1.0000000000000009,1.0000000000000009,0.0035001262011833054,0.001899286704048671,0.0016008394971346344,False,nan
8,3,thermal,1.0,1.0,1.0,-14.508827026007822,-14.520728311821703,1.0409158687440268,1.0343380311322612,5.654826276186998e-16,1.0,0.002948615540217077,0.9999913056663959,heisenberg_like,heisenberg_like,0.4803847651463828,0.48038476514638306,0.4803847651463855,2.538249806234389e-16,1.0000000000000053,1.0000000000000053,0.004468597933388691,0.004378605408389377,8.999252499931453e-05,False,nan
8,4,thermal,1.0,1.0,1.0,-14.508827026007822,-14.520728311821703,1.0861532346803824,1.0819997344180625,0.009342232291693705,0.999912722695808,0.009642501546349557,0.9999070221639287,heisenberg_like,heisenberg_like,0.4670926303349132,0.4670926303349143,0.4670926303349394,7.401486830834377e-16,1.0000000000000548,1.0000000000000548,0.007110484534074805,0.0009194876897339122,0.006190996844340892,False,nan
8,5,thermal,1.0,1.0,1.0,-14.508827026007822,-14.520728311821703,1.0851076770293706,1.0806645070145884,0.029252865922082878,0.9991442698353447,0.02927974208698836,0.9991426967033195,heisenberg_like,heisenberg_like,0.4942020310540299,0.49420203105406413,0.49420203105364785,5.6571920180788675e-14,0.9999999999991923,0.9999999999991923,0.007430088011195288,0.0003603643354801844,0.007069723675715104,False,nan
8,6,thermal,1.0,1.0,1.0,-14.508827026007822,-14.520728311821703,1.0304920124581534,1.0270067524084263,0.05652992258141566,0.9968043678529391,0.05639932222327344,0.9968191164527553,heisenberg_like,heisenberg_like,0.5182705233860612,0.5182705233232381,0.5182705230582128,5.649640966021854e-11,0.9999999994280268,0.9999999994280268,0.007234440614897218,0.00021386896802100697,0.007020571646876211,False,nan
8,3,random,1.0,1.0,1.0,0.12126331670411086,0.09465564257477344,1.9709853050387496,1.958790173465644,0.1356000755776647,0.9816126195033316,0.1433999700265685,0.9794364485963792,generic_anisotropic,generic_anisotropic,0.0632486100452187,0.041413254764722754,0.02714096715367088,0.04387170147308487,0.5186410007686555,0.5186410007686555,0.05548911145384113,0.08200093878109577,-0.026511827327254635,False,nan
8,4,random,1.0,1.0,1.0,0.12126331670411086,0.09465564257477344,2.2648214604950376,2.285656039252711,0.40437821015315595,0.8364782631533301,0.38582747596354144,0.8511371587916028,generic_anisotropic,generic_anisotropic,0.04799759376286409,0.07240503220976667,0.10535806326708923,0.09317646382460601,1.7500957710181275,1.7500957710181275,0.11306322744032309,0.15309154574699846,-0.04002831830667537,False,nan
