state_kind,N,A_size,n_cases,amplification_baseline_mean,amplification_baseline_std,fit_r2_baseline_mean,fit_r2_baseline_std,locality_score_mean,locality_score_std
ground,8,3,5,1.1019823696697075,0.11392840479457239,1.0,0.0,-0.003271387175744761,0.0037584554494898897
ground,8,4,5,1.0536175812274995,0.0578615747358214,0.9999926783263646,1.5189280696541352e-06,0.00498617036561228,0.0004952877457853085
ground,8,5,5,0.8992844628540914,0.08888640628283007,0.9867255109453348,9.197025832112563e-05,0.00797972598674292,0.00045429398476309093
ground,8,6,5,1.0015476523247047,0.020938953538631698,0.9675770946003481,0.0006457586175571482,0.00121519102686902,0.00046255729111076163
ground,10,3,5,1.1260662420638234,0.1437907093877993,1.0,0.0,-0.0045790937052277,0.0053543397238698855
ground,10,4,5,1.0824738106256515,0.08911897891515369,0.9999817447881274,1.8589274430898644e-05,0.00543935755039956,0.0009909167423641375
ground,10,5,5,1.0492162557918632,0.05255602848057147,0.9999850777778876,3.3296333612842745e-06,0.00737903176687536,0.0013394870267105228
ground,10,6,5,0.9025766925042202,0.08520958391028476,0.9838779433718603,0.00013775297616611617,0.00859970863762928,0.0021056820695480407
ground,12,3,5,1.1422613434433229,0.16469105934415013,1.0,0.0,-0.006100093413917799,0.007284085003053647
ground,12,4,5,1.0997367701397107,0.10818734799297873,0.9999691815349202,3.8168931559496105e-05,0.0060349809669552595,0.0017501594391340929
ground,12,5,5,1.072035824866051,0.07640863855982354,0.9999729442139891,2.237403228695737e-05,0.00816438497084336,0.0022618434570648716
ground,12,6,5,1.045500786283032,0.047394291202246634,0.9999758906908364,7.284556327475197e-06,0.0062183791184415,0.0007349286295953839
random,8,3,5,0.7702068678740421,0.5074539320008995,0.9762006442593844,0.00507204497243366,-0.01203411397842194,0.019738223788250915
random,8,4,5,1.0412300288368468,0.4434016235048703,0.8430170084240576,0.009234891219933955,0.014496306138888021,0.03252677060373574
random,8,5,5,0.7456184827931067,0.37461050570014387,0.8104094024663491,0.0020671608184823047,-0.02505331431541642,0.04562250472548057
random,8,6,5,0.6815486693618719,0.3036866027668995,0.9458079306176504,8.030416636046961e-05,-0.00847492343364246,0.014603083712825867
random,10,3,5,0.8907639418354634,0.12501011226785266,0.9934190997305168,0.0018360992856361915,-0.00285255989649016,0.01563581005164466
random,10,4,5,0.5574908160194113,0.19625176739566255,0.9746007558009927,0.003163415974361636,-0.0077890424253515,0.013416049461550655
random,10,5,5,0.7921262534831806,0.14667500634795608,0.8493902565436648,0.028040097787959357,0.002472921635492,0.009923611249134455
random,10,6,5,0.7612725311560415,0.22278382620241954,0.8073468128385437,0.001043820359916431,0.007264013382961719,0.0334876158137909
random,12,3,5,1.0448049489384543,0.7441525463280512,0.9981361377795281,0.0004219930591720696,-0.00033949537810168,0.003537962529581313
random,12,4,5,0.8703870393644717,0.6582310379390912,0.9935254919602473,0.0005859903270560567,0.0019113293451629002,0.0025865213844056905
random,12,5,5,0.8328962293995964,0.427946753398068,0.9799429389725434,0.0006989638881442808,0.00138688169254024,0.002314422339659986
random,12,6,5,0.6747694805494395,0.191331905543757,0.8736841205012027,0.011434548458998182,-0.00495923875688388,0.006872912621252478
thermal,8,3,5,1.1551509263260016,0.16160458024529567,1.0,0.0,-0.002224183303870137,0.0024670870514345283
thermal,8,4,5,1.0986909213134217,0.10904223050483423,0.9998940256875379,5.0305300929228084e-05,0.005748666821914761,0.0005055700310579384
thermal,8,5,5,1.0519478347798712,0.060686083805873633,0.9984021645697201,0.001191550527528299,0.006951323308107239,8.779904805977894e-05
thermal,8,6,5,1.0055639225533741,0.02485549136414097,0.9962530950440742,0.0006444114804519317,0.0065199671235768395,0.0008337389585883775
thermal,10,3,5,1.1841533785409404,0.19484706093893178,1.0,0.0,-0.00225030908206652,0.002743803328982993
thermal,10,4,5,1.1300724712830843,0.135235302465901,0.9999180724880926,0.00010528544851961432,0.005643649265309821,0.0002273348953745766
thermal,10,5,5,1.0817066087406642,0.08004510720600219,0.9997149201462301,0.00012105109590781666,0.00657205703924338,0.0001539168571874735
thermal,10,6,5,1.0633051409428458,0.06587132441874992,0.9989677884670959,0.00043433423094959574,0.00537552430656776,0.000304473438957239
thermal,12,3,5,1.1968607075424191,0.21109118103653132,1.0,0.0,-0.0021710593663562,0.0029107333615508053
thermal,12,4,5,1.1482290250771239,0.14467949819489717,0.9999078290186452,0.0001345725565923476,0.0055689938864533,0.00022531026525078116
thermal,12,5,5,1.0918797868981691,0.09329532947149936,0.9998421519843216,0.00012115744589115316,0.0066387732081313,0.00015518064887567464
thermal,12,6,5,1.0728297206901647,0.07503370912036887,0.999597107675491,0.00018501666026768951,0.00533846545238206,0.00030786953492050465
