state_kind,n_cases,amplification_baseline_mean,amplification_baseline_std,fit_r2_baseline_mean,fit_r2_baseline_std,locality_score_mean,locality_score_std
ground,60,1.0480249826494732,0.11497002998203673,0.9948381721874724,0.00994904086510044,0.0035055296746231896,0.005830422852600329
random,60,0.8052596074676605,0.39498831825639047,0.92045671665789,0.07472798268061547,-0.0028309363324385954,0.021555985953858436
thermal,60,1.1066992037240067,0.12595993985309117,0.9993747629234341,0.0011258488639146937,0.003975989054949467,0.0038524977873900675
