galaxy,rotmod,n_points_rotmod,sigma_source,Rd_fit,lambda_corr,n_rings,n_theta,ml_mode,beta_grav,beta_mod_bridge,beta_mod_ML,bridge_consistency,verdict,N_graph,n_edges_input,mi_rho_graph,mi_mean_degree_weighted,mi_std_degree_weighted,mi_mean_degree_binary,mi_std_degree_binary,mi_lambda2,mi_norm_lambda2,mi_clustering_binary,mi_effective_diameter_90,mi_mean_shortest_path,mi_laplacian_trace,mi_ds_graph,mi_ds_fit_r2,mi_dw_graph,mi_dw_fit_r2,mi_ds_over_dw,mi_alpha_eff_graph,delta3_proxy,mean_MI,max_MI,lambda_corr_factor,result_dir
CamB,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/CamB_rotmod.dat,9,SBdisk+SBbul,0.6017076720336605,0.3008538360168302,12,12,trained_gradient_boosting,0.684537873735334,1.7125123700671865,2.3444581432966096,0.2695487548098539,moderate_bridge,144,10296.0,1.0,11.520561588319904,12.21532102175584,143.0,0.0,0.3713097446886459,0.4264997398920413,1.0,39.521285816078645,18.82009896741636,1658.9608687180662,2.3222775349127325,0.8846149616193869,2.5418201878213083,0.983932406976376,0.9136277798246798,0.369075747470668,0.0364182141795966,0.0805633677504888,2.02979305044186,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
D512-2,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/D512-2_rotmod.dat,4,SBdisk+SBbul,1.113395048427806,0.5566975242139031,12,12,trained_gradient_boosting,0.6042373686247164,1.5739136982462605,1.6169234879505472,0.0265997680315731,strong_bridge,144,10296.0,1.0,5.864595781302242,4.518483877738196,143.0,0.0,0.4691468517636904,0.2029068087156613,1.0,31.834742554990367,17.675973925411483,844.5017925075229,2.144859290166924,0.8995595384773051,2.475850505075547,0.989845530627565,0.8663121160869429,0.2084747372494328,0.0292441022868572,0.0410111593098058,1.4228349958602646,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
D564-8,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/D564-8_rotmod.dat,6,SBdisk+SBbul,0.6134810215837662,0.3067405107918831,12,12,trained_gradient_boosting,0.5520221891565869,1.4837902984842688,1.473596116432833,0.0069178942165734,strong_bridge,144,10266.0,0.997086247086247,3.689599989812924,4.510406145607628,142.58333333333334,1.3819269959814169,0.0006302487463975,0.2255162287925733,0.9972385476920144,4687.721583803317,812.5058622154132,531.302398533061,2.068148602451544,0.9035402303205756,1.7790792282876475,0.9957752113477646,1.1624825750127632,0.1040443783131737,0.0175633628767292,0.0258013985301603,1.559147463178114,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
D631-7,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/D631-7_rotmod.dat,16,SBdisk+SBbul,0.907574541424315,0.4537872707121575,12,12,trained_gradient_boosting,0.5249462009026238,1.4370571427579286,1.497137521759197,0.0401301671543648,strong_bridge,144,9432.0,0.916083916083916,3.5840825474385576,7.592378173181095,131.0,14.236104336041748,3.148061199161268e-05,0.3388152828869434,0.9412933464512828,59999.65519135434,11157.788187856508,516.1078868311523,2.01885435224608,0.903489236307596,2.2753427105783954,0.9958162306278204,0.887274845613426,0.0498924018052475,0.0076991360481193,0.0250635143177521,3.5199900224035345,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
DDO064,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/DDO064_rotmod.dat,14,SBdisk+SBbul,1.0011375905583526,0.5005687952791763,12,12,trained_gradient_boosting,0.7528862076650595,1.8304815944298929,2.16606680857604,0.1549283765475171,strong_bridge,144,10296.0,1.0,14.603871077154713,17.389806243826097,143.0,0.0,0.001921571162854,0.5153098032602057,1.0,3773.0945143837,644.1660782019243,2102.9574351102783,2.3685967486086668,0.8813558015845505,1.6712482038601837,0.98732740651349,1.417262105734968,0.5057724153301191,0.0415603651880718,0.1021249725675154,2.4331984971369645,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
DDO154,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/DDO154_rotmod.dat,12,SBdisk+SBbul,0.440391488825231,0.2201957444126155,12,12,trained_gradient_boosting,0.3728423374761846,1.174525874483895,1.599544722220147,0.265712387926442,moderate_bridge,144,5766.0,0.5600233100233101,1.059694225020928,2.734903329747064,80.08333333333333,29.629541377183383,2.842297131923094e-07,0.1930214958356259,0.8055355172556978,3865597.2084162254,1418110.293405375,152.59596840301364,1.637426775744407,0.9321484786108494,2.35521653823162,0.9961734280801808,0.6952340683603746,-0.2543153250476306,0.0026793663910738,0.0074104491260204,2.596350193408844,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
DDO161,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/DDO161_rotmod.dat,31,SBdisk+SBbul,1.4036053154543735,0.7018026577271869,12,12,trained_gradient_boosting,0.5093348567560048,1.4101119627608645,1.5430130405219509,0.0861308843612431,strong_bridge,144,8610.0,0.8362470862470862,3.5704027490932475,8.65658250138329,119.58333333333331,21.23855901159231,7.184533709931846e-06,0.3007432627331975,0.9031591196526664,240974.7864965447,49069.62976910813,514.1379958694276,1.952108602922066,0.9084468275114508,2.3743134324704465,0.9922403160847318,0.8221781405207816,0.0186697135120095,0.0063874851086034,0.0249678513922604,4.341589251672761,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
DDO168,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/DDO168_rotmod.dat,10,SBdisk+SBbul,1.024840073681334,0.5124200368406671,12,12,trained_gradient_boosting,0.6521018767384863,1.6565278392506273,1.4794900361696266,0.1196613689534188,strong_bridge,144,10278.0,0.9982517482517482,7.07744039392016,8.930531830952427,142.75,0.82915619758885,0.0011303980236663,0.3414189328725638,0.9982977833798586,3204.262325174467,554.3386419451517,1019.1514167245032,2.221017625847644,0.8917510593009695,1.716777588229303,0.9929940817840378,1.2937130826238348,0.3042037534769726,0.0243038056897444,0.0494925901672738,2.222319668158801,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
DDO170,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/DDO170_rotmod.dat,8,SBdisk+SBbul,1.6909964625764278,0.8454982312882139,12,12,trained_gradient_boosting,0.3972760209339667,1.2166984121320268,1.4292371455831727,0.1487078152901096,strong_bridge,144,9852.0,0.9568764568764568,1.86534761492746,2.758685916273796,136.83333333333334,9.607578027554892,0.000216571929458,0.1670953982965807,0.9670739498552486,8553.944301527588,1497.2671669866331,268.61005654955426,1.7998233969505235,0.923191339684347,1.9003591540772224,0.998852512019649,0.9470964438953556,-0.2054479581320665,0.0081666933587074,0.0130443889155766,1.5021682243275452,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
ESO079-G014,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/ESO079-G014_rotmod.dat,15,SBdisk+SBbul,1.9735133665167848,0.9867566832583926,12,12,trained_gradient_boosting,0.3110093824942468,1.0678021941850702,1.4240442023600766,0.2501621842809405,moderate_bridge,144,9918.0,0.9632867132867132,4.154795547295795,9.21698069365058,137.75,7.372527834241568,0.0111623598693095,0.098122410958986,0.969461442796152,143.50588012188587,68.50550054875912,598.2905588105946,1.5540680083661185,0.9440508014162732,2.2252785784887785,0.998863866961764,0.6983700932498574,-0.3779812350115064,0.0050953795178201,0.0290545143167538,3.4536988558905737,0.5,papers/paper14_modular_spectral_action/results/sparc_bridge_full_lambda0.5_v1
