geometry,N_actual,k,epsilon,density,sigma,region_radius,region_size,mu,n_edges,near_n,mid_n,far_n,perturbation_strength,S0,S1,delta_S,delta_K_expectation,abs_delta_K,first_law_error,first_law_relative_error,mean_delta_kappa,mean_abs_delta_kappa,near_mean_delta_kappa,mid_mean_delta_kappa,far_mean_delta_kappa,near_abs_mean_delta_kappa,mid_abs_mean_delta_kappa,far_abs_mean_delta_kappa,localization_ratio_near_far,source_strength_region_mean,source_strength_region_sum
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,700,132,450,118,-0.2,3.7983692061071346,3.799922339036613,0.0015531329294784513,0.0017288851263038084,0.0017288851263038084,-0.00017575219682535717,0.10165637621112433,-5.160011936853686e-05,0.0017180279518818043,-0.0031086305215138753,0.0007160033957140577,0.00044082726449601507,0.0035799656868464717,0.0014944988185064793,0.000487623960386551,7.3416525389944916,0.7153333539877491,32.19000092944871
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,700,132,450,118,-0.1,3.7983692061071346,3.799174279482346,0.000805073375211407,0.0008463225833001105,0.0008463225833001105,-4.124920808870353e-05,0.048739344669095686,-2.2730143001998827e-05,0.0008191153448358488,-0.0014785164308454852,0.00034074930599876555,0.0002196261107691557,0.0016681109064203038,0.0007211602623987387,0.00024294901405238716,6.86609457102225,0.7153333539877491,32.19000092944871
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,700,132,450,118,-0.05,3.7983692061071346,3.798778015741634,0.0004088096344996295,0.0004188114792458203,0.0004188114792458203,-1.0001844746190792e-05,0.023881496190605214,-1.0699283436303205e-05,0.0004005479733064543,-0.0007218212928042913,0.00016634681896564635,0.00010961731957807934,0.0008068574910898961,0.0003545993637527187,0.00012125998984685017,6.653946549962167,0.7153333539877491,32.19000092944871
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,700,132,450,118,0.05,3.7983692061071346,3.7979493352024774,-0.0004198709046572269,-0.0004104446403667511,0.0004104446403667511,-9.426264290475776e-06,0.022450386978281254,-2.0703805556017618e-05,0.0003862371309807709,0.0006588901387815035,-0.00019465129422141958,-0.00011756847295535577,0.0007355674550696723,0.0003519512287349344,0.00012621215836120675,5.828023738921814,0.7153333539877491,32.19000092944871
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,700,132,450,118,0.1,3.7983692061071346,3.7975197344183935,-0.0008494716887410547,-0.0008128353843090562,0.0008128353843090562,-3.663630443199854e-05,0.04312834072939471,-4.093989740142618e-05,0.0007573677744208517,0.0012912140754413755,-0.0003808949851165614,-0.0002347071426848072,0.0014300061290007902,0.0006925846725216893,0.000251979071455353,5.675098811744634,0.7153333539877491,32.19000092944871
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,700,132,450,118,0.2,3.7983692061071346,3.7966360063318056,-0.0017331997753289308,-0.0015946172985902326,0.0015946172985902326,-0.00013858247673869816,0.07995758983548082,-8.025779565254679e-05,0.001458418324905964,0.002482434503257648,-0.0007303835375004063,-0.0004677052500983855,0.0027084081290010553,0.0013424997389561322,0.0005021870497947122,5.39322575145699,0.7153333539877491,32.19000092944871
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,700,120,359,221,-0.2,3.9018000936443773,3.903628685803233,0.0018285921588558907,0.002035388559025939,0.002035388559025939,-0.00020679640017004855,0.1016004532662862,-2.213643382312875e-05,0.0012621415910734673,-0.003014846819008745,0.0007806958918473419,0.00029871624177223296,0.0031724138765383586,0.0012166940365881914,0.00029871624177223296,10.620158641917037,0.698822934125162,34.9411467062581
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,700,120,359,221,-0.1,3.9018000936443773,3.9027487488240666,0.0009486551796893394,0.0009972438066336486,0.0009972438066336486,-4.85886269443092e-05,0.04872291672417366,-9.67409685687188e-06,0.0006013834561241782,-0.0014337765034957326,0.00036867574194576324,0.0001489896889644733,0.0014903644212462606,0.000582724143387813,0.0001489896889644733,10.003138013138877,0.698822934125162,34.9411467062581
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,700,120,359,221,-0.05,3.9018000936443773,3.902282023412701,0.00048192976832384105,0.000493717789508298,0.000493717789508298,-1.1788021184456956e-05,0.023876030872205047,-4.50298073166322e-06,0.00029385275139997717,-0.0006996765686164493,0.00017930274599737084,7.43864973246766e-05,0.0007235353781009183,0.00028532942813125426,7.43864973246766e-05,9.726703153435029,0.698822934125162,34.9411467062581
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,700,120,359,221,0.05,3.9018000936443773,3.901304678246131,-0.0004954153982463794,-0.00048429323207878914,0.00048429323207878914,-1.1122166167590233e-05,0.02245018262847569,4.120192829353434e-06,0.0002811661613587316,0.0006675780520282605,-0.00016947749921055548,-7.413035767535947e-05,0.0006843921441457484,0.00027383411311244533,7.413035767535947e-05,9.232278996182918,0.698822934125162,34.9411467062581
