geometry,n_tests,N_actual,k,epsilon,region_size,n_edges,mean_first_law_relative_error,median_first_law_relative_error,max_first_law_relative_error,first_law_slope,first_law_r2,first_law_pearson,mean_localization_ratio,median_localization_ratio,absK_to_near_abs_slope,absK_to_near_abs_r2,absK_to_near_abs_pearson,K_to_near_signed_slope,K_to_near_signed_r2,K_to_near_signed_pearson
flat_torus2d,6,256,16,0.009765625000000002,45,700,0.053302255768997,0.0459338426992452,0.10165637621112433,0.9894809731564347,0.996589633081355,0.998293360231027,6.293006993683725,6.240985144441991,1.9321909565193542,0.9672286463885402,0.9834778321795261,-1.6806963967740516,0.9983362486746789,-0.9991677780406446
sphere,6,256,16,0.13320134212632276,50,700,0.053293967391376575,0.04592773255070334,0.1016004532662862,0.9897180478054185,0.9965920885884546,0.9982945900827342,9.533529186495956,9.479491074808973,1.4794204826652695,0.9822520452609137,0.9910862955670983,-1.406099148434779,0.9988572733402521,-0.9994284733487696
