run,return_code,eta_edge,source_width,pulse_sigma,run_dir,log_path,N_nodes,N_edges,c_edge,meff2,R2_disp,plus_corr,cross_corr,plus_low25_energy,cross_low25_energy,plus_k_weighted,cross_k_weighted,plus_dominant_mode,cross_dominant_mode,plus_dominant_frac,cross_dominant_frac,plus_packet_v,cross_packet_v,plus_packet_r2,cross_packet_r2,mean_corr,mean_low25_energy,mean_k_weighted,score
eta1_sw0p12_ps0p35,0,1.0,0.12,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p12_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p12_ps0p35.log,121,978,1.0000196508436583,0.002368439997525057,0.999999996248919,0.9957393495074843,0.9934010748493055,0.006327660179700289,0.017720980728951525,3.9891796405635085,4.137626696667634,132,134,0.5853382333378364,0.3918771764457599,0.09070472173084068,0.25724409626253275,0.532935735307415,0.055488056665371155,0.9945702121783949,0.012024320454325907,4.063403168615571,0.992766564110246
eta1_sw0p12_ps0p5,0,1.0,0.12,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p12_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p12_ps0p5.log,121,978,1.000019650843658,0.0023684399975253813,0.999999996248919,0.9749087257683169,0.9610419562740936,0.016644701151089687,0.04512925826941065,3.897800291537826,3.998147300305202,132,134,0.5782947491575628,0.42505885395988335,0.09061916020735489,0.2297017554565285,0.534286664291125,0.06976478599064662,0.9679753410212053,0.03088697971025017,3.9479737959215138,0.9633422940646678
eta1_sw0p16_ps0p25,0,1.0,0.16,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p16_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p16_ps0p25.log,121,978,1.000019650843658,0.002368439997525813,0.999999996248919,0.9995872751002104,0.9996410589957047,0.01214465603407235,0.022758439164120105,4.12112164543815,4.274553631988704,132,134,0.5764254500455672,0.2850213317516799,0.2423878350261761,0.07503883071848408,0.1405487699903556,0.27206071860934344,0.9996141670479575,0.01745154759909623,4.197837638713427,0.9969964349080931
eta1_sw0p16_ps0p35,0,1.0,0.16,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p16_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p16_ps0p35.log,121,978,1.000019650843658,0.0023684399975344938,0.999999996248919,0.9944896462251126,0.9920223180453329,0.020997590909394327,0.03955092390552338,4.035470412824353,4.16450585126661,132,134,0.6137839481621645,0.3233655309132362,0.23411790076858185,0.07479863375191396,0.15405953875633116,0.2766632020839008,0.9932559821352227,0.030274257407458854,4.099988132045482,0.9887148435241039
eta1_sw0p16_ps0p5,0,1.0,0.16,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p16_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p16_ps0p5.log,121,978,1.000019650843658,0.0023684399975271416,0.999999996248919,0.9615063286071397,0.9463427073964875,0.05791744097707013,0.10208580577263279,3.8651028668167124,3.9468870456774967,132,134,0.6147200753221618,0.3495359298977068,0.07620283866899118,0.10839987556900361,0.5756027423382676,0.20491450733388628,0.9539245180018137,0.08000162337485146,3.9059949562471044,0.9419242744955859
eta1_sw0p22_ps0p25,0,1.0,0.22,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p22_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p22_ps0p25.log,121,978,1.000019650843658,0.002368439997528067,0.999999996248919,0.9983027601466277,0.9989855626826128,0.048514522154602356,0.07402174671374578,4.055004659629242,4.234099371762597,132,134,0.37957743489945134,0.1553637488559766,,0.41991131983407876,0.2303371804595994,0.01430620035121788,0.9986441614146202,0.061268134434174074,4.14455201569592,0.989453941249494
eta1_sw0p22_ps0p35,0,1.0,0.22,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p22_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p22_ps0p35.log,121,978,1.000019650843658,0.0023684399975254186,0.999999996248919,0.991604483213241,0.9890165511157991,0.08273583873206741,0.12678385043307078,3.8850671474488454,4.046114193558792,132,134,0.3884663630249988,0.1715512847333214,,0.422992860830903,0.22901630499467096,0.014146223976390204,0.9903105171645201,0.1047598445825691,3.965590670503819,0.9745965404771347
eta1_sw0p22_ps0p5,0,1.0,0.22,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p22_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p22_ps0p5.log,121,978,1.0000196508436583,0.0023684399975230147,0.999999996248919,0.9313165158242749,0.913533189775103,0.2031464497808339,0.29063640903962007,3.513553161532855,3.6340372165302846,132,134,0.3234840521001326,0.1578277667254173,,0.12339052483778681,0.274897980777142,0.1346569751369987,0.922424852799689,0.246891429410227,3.5737951890315696,0.885391138388155
eta1p25_sw0p12_ps0p25,0,1.25,0.12,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p12_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p12_ps0p25.log,121,978,1.1180515653964058,0.0023685002998812326,0.9999999975992055,0.9994043538252515,0.9990334379461944,0.004367943363393673,0.012058310528796554,4.031504667588055,4.19822951551811,132,133,0.5736979601264379,0.36490842070325236,0.06597965564242778,0.06252512348411729,0.5416037063314099,0.4281195143807398,0.9992188958857229,0.008213126946095113,4.114867091553083,0.9979869268438086
eta1p25_sw0p12_ps0p35,0,1.25,0.12,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p12_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p12_ps0p35.log,121,978,1.1180515653964054,0.0023685002998965116,0.9999999975992055,0.9917226244670072,0.987239513067329,0.008097331272125273,0.02270471838178951,3.964031157656934,4.1002689377537225,132,133,0.5880429331324614,0.4053232625310257,0.06598469110420313,0.08552749110083825,0.5423650613209969,0.28849324119979036,0.9894810687671681,0.01540102482695739,4.032150047705328,0.9871709150431245
eta1p25_sw0p12_ps0p5,0,1.25,0.12,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p12_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p12_ps0p5.log,121,978,1.1180515653964056,0.0023685002998930795,0.9999999975992055,0.9627447982687094,0.943437611987514,0.025553785606679143,0.06575036125144931,3.8595968733660158,3.9413321095741964,132,133,0.5618890069532871,0.42168337623626684,0.06322467331176408,0.082665398942382,0.5543047023558499,0.3078506044847775,0.9530912051281117,0.04565207342906423,3.900464491470106,0.9462433941137521
eta1p25_sw0p16_ps0p25,0,1.25,0.16,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p16_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p16_ps0p25.log,121,978,1.1180515653964056,0.0023685002998927404,0.9999999975992055,0.9991650161880871,0.9988606731580278,0.014054897504770961,0.0263868540331417,4.098098975566379,4.245570520002352,132,133,0.588740174930677,0.29657713645839123,0.11108793621204842,0.04815089148687758,0.22320186108994045,0.511667538706591,0.9990128446730575,0.02022087576895633,4.171834747784366,0.9959797133077141
eta1p25_sw0p16_ps0p35,0,1.25,0.16,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p16_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p16_ps0p35.log,121,978,1.1180515653964054,0.002368500299891568,0.9999999975992055,0.9888206765985286,0.9839625283208607,0.02732996949206252,0.05112963715318907,3.9942573192694186,4.1106322094483,132,133,0.6226171007869412,0.33623687097682403,0.1095953108807673,0.047481872015946724,0.2287904412526024,0.5240492981523841,0.9863916024596946,0.039229803322625795,4.052444764358859,0.9805071319613007
eta1p25_sw0p16_ps0p5,0,1.25,0.16,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p16_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p16_ps0p5.log,121,978,1.1180515653964063,0.0023685002998795673,0.9999999975992055,0.9382530943871061,0.9183465045071251,0.08893546197033839,0.14644489750696227,3.7737657420645028,3.844965342797672,132,133,0.5862571097159054,0.33806331462750866,0.06739398297126618,0.0577090780629004,0.4426725688298381,0.4096666426554104,0.9282997994471156,0.11769017973865033,3.8093655424310873,0.910646272486318
eta1p25_sw0p22_ps0p25,0,1.25,0.22,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p22_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p22_ps0p25.log,121,978,1.118051565396406,0.0023685002998851483,0.9999999975992055,0.9982694972142124,0.9983158209030927,0.05609539234656872,0.08562599338072391,4.01111900013614,4.187493456869752,132,133,0.3850602581802286,0.16111128888567275,2.216916429585523,0.09137575645089549,0.0007052323118692527,0.18607651517146762,0.9982926590586525,0.07086069286364631,4.099306228502946,0.9876635551291055
eta1p25_sw0p22_ps0p35,0,1.25,0.22,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p22_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p22_ps0p35.log,121,978,1.1180515653964054,0.002368500299895502,0.9999999975992055,0.9820020476536718,0.9764858778273835,0.10575770193080528,0.16096221986956186,3.797430628582719,3.9462320523525642,132,133,0.38109769213554595,0.17356485431074262,2.1614935188458824,0.05710683008839985,0.0007419829851430526,0.44568978031666995,0.9792439627405276,0.13335996090018357,3.871831340467642,0.9592399686055001
eta1p25_sw0p22_ps0p5,0,1.25,0.22,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1p25_sw0p22_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1p25_sw0p22_ps0p5.log,121,978,1.1180515653964054,0.0023685002998946572,0.9999999975992055,0.8878980938531106,0.8655482896399508,0.28412476947595683,0.38138393441451507,3.3224574212237634,3.4453232755793457,132,11,0.271330674973629,0.18464775640031864,,0.05477682511013516,0.011884610188052425,0.4674737740536591,0.8767231917465307,0.33275435194523595,3.383890348401555,0.8268100389547453
