G_proxy,T_proxy,n,pearson_r,pearson_p,spearman_r,spearman_p,score_mean_r,abs_pearson,abs_spearman
G_kappa_plus_halfR,T_minus_lap_only,900,0.07978622473824977,0.01666221757887122,0.577472864619194,3.5999782525455655e-81,0.3286295446787219,0.07978622473824977,0.577472864619194
G_minus_kappa_minus_halfR,T_lap_only,900,0.07978622473824977,0.01666221757887122,0.577472864619194,3.5999782525455655e-81,0.3286295446787219,0.07978622473824977,0.577472864619194
kappa,T_minus_lap_only,900,0.07264554362197245,0.029315528084893402,0.5707419277841238,6.447822206977439e-79,0.32169373570304816,0.07264554362197245,0.5707419277841238
minus_kappa,T_lap_only,900,0.07264554362197245,0.029315528084893402,0.5707419277841238,6.447822206977439e-79,0.32169373570304816,0.07264554362197245,0.5707419277841238
minus_R_edge,T_lap_only,900,0.093137728448229,0.005168677142229437,0.4961818426361085,4.140040553673033e-57,0.29465978554216876,0.093137728448229,0.4961818426361085
R_edge,T_minus_lap_only,900,0.093137728448229,0.005168677142229437,0.4961818426361085,4.140040553673033e-57,0.29465978554216876,0.093137728448229,0.4961818426361085
G_minus_kappa_plus_halfR,T_abs_lap_only,900,0.1242191522854481,0.00018706454026702247,0.4525376316006721,1.2132203012433512e-46,0.2883783919430601,0.1242191522854481,0.4525376316006721
G_minus_kappa_minus_halfR,T_grad2_plus_lap,900,0.10479517689579347,0.0016430286294959527,0.30468721900498325,8.67012294208168e-21,0.20474119795038837,0.10479517689579347,0.30468721900498325
minus_kappa,T_grad2_plus_lap,900,0.11200844997493282,0.0007621659366422088,0.24825773406303436,4.1571935510057555e-14,0.1801330920189836,0.11200844997493282,0.24825773406303436
R_edge,T_abs_lap_only,900,0.03280697686617796,0.3255552171475088,0.3244768963790088,1.6457791271488162e-23,0.17864193662259337,0.03280697686617796,0.3244768963790088
G_minus_kappa_minus_halfR,T_abs_grad_plus_abslap,900,0.11411452534759318,0.0006038308751189943,0.19432496360649998,4.158421371475617e-09,0.1542197444770466,0.11411452534759318,0.19432496360649998
G_minus_kappa_minus_halfR,T_grad2_only,900,0.10479517689579347,0.0016430286294959527,0.2025332968452803,8.721601553691029e-10,0.15366423687053687,0.10479517689579347,0.2025332968452803
minus_R_edge,T_grad2_plus_lap,900,0.023729817340497738,0.4770809740245452,0.26831349045025515,2.6376753369420125e-16,0.14602165389537644,0.023729817340497738,0.26831349045025515
G_minus_kappa_minus_halfR,T_grad2_plus_abslap,900,0.10479517689579348,0.0016430286294959527,0.1822994699694512,3.637629997419417e-08,0.14354732343262233,0.10479517689579348,0.1822994699694512
minus_kappa,T_grad2_plus_abslap,900,0.11200844997493285,0.0007621659366422088,0.15507902056345613,2.9508684327463095e-06,0.1335437352691945,0.11200844997493285,0.15507902056345613
minus_kappa,T_abs_grad_plus_abslap,900,0.12218051206135526,0.00023869438202958038,0.1220460825025121,0.00024253000882987568,0.12211329728193368,0.12218051206135526,0.1220460825025121
minus_kappa,T_grad2_only,900,0.11200844997493281,0.0007621659366422088,0.1083822879927709,0.0011277620883661343,0.11019536898385185,0.11200844997493281,0.1083822879927709
minus_kappa,T_abs_lap_only,900,0.10773874091054414,0.0012075241027269938,0.10722764246521835,0.0012745421209859724,0.10748319168788124,0.10773874091054414,0.10722764246521835
minus_R_edge,T_grad2_only,900,0.02372981734049773,0.4770809740245452,0.18976513682829618,9.622560921436675e-09,0.10674747708439696,0.02372981734049773,0.18976513682829618
G_minus_kappa_minus_halfR,T_grad2_minus_lap,900,0.10479517689579347,0.0016430286294959527,0.09835738370208538,0.0031390215299883476,0.10157628029893942,0.10479517689579347,0.09835738370208538
minus_R_edge,T_abs_grad_plus_abslap,900,0.024584742466572784,0.46134824324770884,0.17280630862899662,1.8255721304805712e-07,0.0986955255477847,0.024584742466572784,0.17280630862899662
minus_kappa,T_grad2_minus_lap,900,0.11200844997493281,0.0007621659366422088,0.06655217755784894,0.045933510887278185,0.08928031376639087,0.11200844997493281,0.06655217755784894
minus_R_edge,T_grad2_plus_abslap,900,0.023729817340497738,0.4770809740245452,0.14893944003545292,7.222543518155561e-06,0.08633462868797533,0.023729817340497738,0.14893944003545292
G_kappa_plus_halfR,T_abs_lap_only,900,-0.09234331403526568,0.005564891352538928,0.2623316628175494,1.2490300958893272e-15,0.08499417439114185,0.09234331403526568,0.2623316628175494
minus_R_edge,T_grad2_minus_lap,900,0.02372981734049773,0.4770809740245452,0.08194170370886836,0.01393359341265217,0.05283576052468304,0.02372981734049773,0.08194170370886836
G_kappa_minus_halfR,T_grad2_only,900,-0.11846770336295936,0.0003685440331647531,0.1617918795857146,1.0652177942989183e-06,0.02166208811137761,0.11846770336295936,0.1617918795857146
G_kappa_minus_halfR,T_minus_lap_only,900,0.06248594723435792,0.060957377006090226,-0.027392699263504666,0.4117642400893111,0.017546623985426626,0.06248594723435792,0.027392699263504666
G_minus_kappa_plus_halfR,T_lap_only,900,0.06248594723435792,0.060957377006090226,-0.027392699263504666,0.4117642400893111,0.017546623985426626,0.06248594723435792,0.027392699263504666
G_minus_kappa_plus_halfR,T_grad2_plus_abslap,900,0.1184677033629594,0.0003685440331647531,-0.08408745412401344,0.011616389230460879,0.01719012461947298,0.1184677033629594,0.08408745412401344
G_minus_kappa_plus_halfR,T_grad2_plus_lap,900,0.11846770336295936,0.0003685440331647531,-0.10746538508463511,0.0012429526845837635,0.005501159139162125,0.11846770336295936,0.10746538508463511
G_minus_kappa_plus_halfR,T_grad2_minus_lap,900,0.11846770336295936,0.0003685440331647531,-0.10840866447648076,0.0011245991270854418,0.0050295194432393026,0.11846770336295936,0.10840866447648076
G_kappa_minus_halfR,T_abs_grad_plus_abslap,900,-0.12946630772116507,9.820079442269549e-05,0.13284783710048126,6.39804945887781e-05,0.001690764689658092,0.12946630772116507,0.13284783710048126
G_minus_kappa_plus_halfR,T_abs_grad_plus_abslap,900,0.12946630772116507,9.820079442269549e-05,-0.13284783710048126,6.39804945887781e-05,-0.001690764689658092,0.12946630772116507,0.13284783710048126
G_kappa_minus_halfR,T_grad2_minus_lap,900,-0.11846770336295936,0.0003685440331647531,0.10840866447648076,0.0011245991270854418,-0.0050295194432393026,0.11846770336295936,0.10840866447648076
G_kappa_minus_halfR,T_grad2_plus_lap,900,-0.11846770336295936,0.0003685440331647531,0.10746538508463511,0.0012429526845837635,-0.005501159139162125,0.11846770336295936,0.10746538508463511
G_kappa_minus_halfR,T_grad2_plus_abslap,900,-0.1184677033629594,0.0003685440331647531,0.08408745412401344,0.011616389230460879,-0.01719012461947298,0.1184677033629594,0.08408745412401344
G_kappa_minus_halfR,T_lap_only,900,-0.06248594723435792,0.060957377006090226,0.027392699263504666,0.4117642400893111,-0.017546623985426626,0.06248594723435792,0.027392699263504666
G_minus_kappa_plus_halfR,T_minus_lap_only,900,-0.06248594723435792,0.060957377006090226,0.027392699263504666,0.4117642400893111,-0.017546623985426626,0.06248594723435792,0.027392699263504666
G_minus_kappa_plus_halfR,T_grad2_only,900,0.11846770336295936,0.0003685440331647531,-0.1617918795857146,1.0652177942989183e-06,-0.02166208811137761,0.11846770336295936,0.1617918795857146
R_edge,T_grad2_minus_lap,900,-0.02372981734049773,0.4770809740245452,-0.08194170370886836,0.01393359341265217,-0.05283576052468304,0.02372981734049773,0.08194170370886836
G_minus_kappa_minus_halfR,T_abs_lap_only,900,0.09234331403526568,0.005564891352538928,-0.2623316628175494,1.2490300958893272e-15,-0.08499417439114185,0.09234331403526568,0.2623316628175494
R_edge,T_grad2_plus_abslap,900,-0.023729817340497738,0.4770809740245452,-0.14893944003545292,7.222543518155561e-06,-0.08633462868797533,0.023729817340497738,0.14893944003545292
kappa,T_grad2_minus_lap,900,-0.11200844997493281,0.0007621659366422088,-0.06655217755784894,0.045933510887278185,-0.08928031376639087,0.11200844997493281,0.06655217755784894
R_edge,T_abs_grad_plus_abslap,900,-0.024584742466572784,0.46134824324770884,-0.17280630862899662,1.8255721304805712e-07,-0.0986955255477847,0.024584742466572784,0.17280630862899662
G_kappa_plus_halfR,T_grad2_minus_lap,900,-0.10479517689579347,0.0016430286294959527,-0.09835738370208538,0.0031390215299883476,-0.10157628029893942,0.10479517689579347,0.09835738370208538
R_edge,T_grad2_only,900,-0.02372981734049773,0.4770809740245452,-0.18976513682829618,9.622560921436675e-09,-0.10674747708439696,0.02372981734049773,0.18976513682829618
kappa,T_abs_lap_only,900,-0.10773874091054414,0.0012075241027269938,-0.10722764246521835,0.0012745421209859724,-0.10748319168788124,0.10773874091054414,0.10722764246521835
kappa,T_grad2_only,900,-0.11200844997493281,0.0007621659366422088,-0.1083822879927709,0.0011277620883661343,-0.11019536898385185,0.11200844997493281,0.1083822879927709
kappa,T_abs_grad_plus_abslap,900,-0.12218051206135526,0.00023869438202958038,-0.1220460825025121,0.00024253000882987568,-0.12211329728193368,0.12218051206135526,0.1220460825025121
kappa,T_grad2_plus_abslap,900,-0.11200844997493285,0.0007621659366422088,-0.15507902056345613,2.9508684327463095e-06,-0.1335437352691945,0.11200844997493285,0.15507902056345613
G_kappa_plus_halfR,T_grad2_plus_abslap,900,-0.10479517689579348,0.0016430286294959527,-0.1822994699694512,3.637629997419417e-08,-0.14354732343262233,0.10479517689579348,0.1822994699694512
R_edge,T_grad2_plus_lap,900,-0.023729817340497738,0.4770809740245452,-0.26831349045025515,2.6376753369420125e-16,-0.14602165389537644,0.023729817340497738,0.26831349045025515
G_kappa_plus_halfR,T_grad2_only,900,-0.10479517689579347,0.0016430286294959527,-0.2025332968452803,8.721601553691029e-10,-0.15366423687053687,0.10479517689579347,0.2025332968452803
G_kappa_plus_halfR,T_abs_grad_plus_abslap,900,-0.11411452534759318,0.0006038308751189943,-0.19432496360649998,4.158421371475617e-09,-0.1542197444770466,0.11411452534759318,0.19432496360649998
minus_R_edge,T_abs_lap_only,900,-0.03280697686617796,0.3255552171475088,-0.3244768963790088,1.6457791271488162e-23,-0.17864193662259337,0.03280697686617796,0.3244768963790088
kappa,T_grad2_plus_lap,900,-0.11200844997493282,0.0007621659366422088,-0.24825773406303436,4.1571935510057555e-14,-0.1801330920189836,0.11200844997493282,0.24825773406303436
G_kappa_plus_halfR,T_grad2_plus_lap,900,-0.10479517689579347,0.0016430286294959527,-0.30468721900498325,8.67012294208168e-21,-0.20474119795038837,0.10479517689579347,0.30468721900498325
G_kappa_minus_halfR,T_abs_lap_only,900,-0.1242191522854481,0.00018706454026702247,-0.4525376316006721,1.2132203012433512e-46,-0.2883783919430601,0.1242191522854481,0.4525376316006721
minus_R_edge,T_minus_lap_only,900,-0.093137728448229,0.005168677142229437,-0.4961818426361085,4.140040553673033e-57,-0.29465978554216876,0.093137728448229,0.4961818426361085
R_edge,T_lap_only,900,-0.093137728448229,0.005168677142229437,-0.4961818426361085,4.140040553673033e-57,-0.29465978554216876,0.093137728448229,0.4961818426361085
kappa,T_lap_only,900,-0.07264554362197245,0.029315528084893402,-0.5707419277841238,6.447822206977439e-79,-0.32169373570304816,0.07264554362197245,0.5707419277841238
minus_kappa,T_minus_lap_only,900,-0.07264554362197245,0.029315528084893402,-0.5707419277841238,6.447822206977439e-79,-0.32169373570304816,0.07264554362197245,0.5707419277841238
G_kappa_plus_halfR,T_lap_only,900,-0.07978622473824977,0.01666221757887122,-0.577472864619194,3.5999782525455655e-81,-0.3286295446787219,0.07978622473824977,0.577472864619194
G_minus_kappa_minus_halfR,T_minus_lap_only,900,-0.07978622473824977,0.01666221757887122,-0.577472864619194,3.5999782525455655e-81,-0.3286295446787219,0.07978622473824977,0.577472864619194
