G_proxy,T_proxy,n_files,pearson_mean,pearson_median,pearson_frac_pos,spearman_mean,spearman_median,spearman_frac_pos,score
minus_R_edge,T_lap_only,24,0.7508254138959142,0.8916040646471585,0.9166666666666666,0.7857911200102995,0.8255383093667782,1.0,0.8134397269800376
R_edge,T_minus_lap_only,24,0.7508254138959142,0.8916040646471585,0.9166666666666666,0.7857911200102995,0.8255383093667782,1.0,0.8134397269800376
G_kappa_plus_halfR,T_minus_lap_only,24,0.54754638269714,0.5150089950481926,0.9166666666666666,0.7675527735481656,0.8440131489720168,1.0,0.6685303250663788
G_minus_kappa_minus_halfR,T_lap_only,24,0.54754638269714,0.5150089950481926,0.9166666666666666,0.7675527735481656,0.8440131489720168,1.0,0.6685303250663788
G_minus_kappa_plus_halfR,T_abs_lap_only,24,0.5361655990892604,0.7257509248228711,0.875,0.5620375990439715,0.7252391841413715,0.875,0.6372983267743686
minus_kappa,T_lap_only,24,0.5084069041717902,0.4536685325898948,0.9166666666666666,0.5295503448029071,0.5275661808337792,1.0,0.5047979905995928
kappa,T_minus_lap_only,24,0.5084069041717902,0.4536685325898948,0.9166666666666666,0.5295503448029071,0.5275661808337792,1.0,0.5047979905995928
G_minus_kappa_minus_halfR,T_grad2_plus_lap,24,0.4683988871515077,0.575701720987271,0.5833333333333334,0.3998393647241794,0.3938627004319898,0.9166666666666666,0.45945066832373693
G_minus_kappa_minus_halfR,T_grad2_only,24,0.46955841099657286,0.575701720987271,0.5833333333333334,0.31563488330387607,0.33666308960249325,0.8333333333333334,0.4243895262225533
G_minus_kappa_minus_halfR,T_grad2_plus_abslap,24,0.46926837641707336,0.575701720987271,0.5833333333333334,0.3255105556432238,0.322989172666466,0.9166666666666666,0.42336745642850854
minus_kappa,T_grad2_plus_lap,24,0.46354718623485086,0.5822930992867206,0.5833333333333334,0.2975123300435833,0.32455772760494683,0.9583333333333334,0.4169775857925254
G_minus_kappa_minus_halfR,T_abs_grad_plus_abslap,24,0.4582513243634403,0.5757016836256389,0.5833333333333334,0.31895401550045194,0.306070140139613,0.875,0.41474429090728604
minus_R_edge,T_grad2_plus_lap,24,0.4246336860846227,0.3995428401628755,0.9166666666666666,0.40969473814827057,0.4038063499098261,0.9583333333333334,0.4094194035763987
minus_kappa,T_grad2_plus_abslap,24,0.4644826304542016,0.5822930992867206,0.5833333333333334,0.24538910300475356,0.28977457931709094,0.9166666666666666,0.39548485301569164
G_minus_kappa_minus_halfR,T_grad2_minus_lap,24,0.471109010599753,0.5757017209872709,0.5833333333333334,0.24160118052854843,0.2867071217148223,0.8333333333333334,0.39377975845759866
minus_kappa,T_abs_lap_only,24,0.509375553563289,0.650132643109342,0.875,0.2537980404264968,0.13944866332257233,0.8333333333333334,0.388188725105425
minus_kappa,T_abs_grad_plus_abslap,24,0.4501347699385642,0.5822930410852503,0.5833333333333334,0.21475790342606005,0.29125977536068215,0.7916666666666666,0.3846113724526392
minus_R_edge,T_abs_grad_plus_abslap,24,0.45447262346988243,0.48038449848458203,0.9166666666666666,0.3248226048593989,0.2661815990839247,0.875,0.381465331474447
minus_kappa,T_grad2_only,24,0.46460921360666463,0.5822930992867206,0.5833333333333334,0.1901303183148364,0.2777604923682946,0.7916666666666666,0.37869828089412905
minus_kappa,T_grad2_minus_lap,24,0.46599278066055505,0.5822930992867206,0.5833333333333334,0.15272221925343535,0.24395431599571976,0.7916666666666666,0.3612406037991077
minus_R_edge,T_grad2_plus_abslap,24,0.42454358866905784,0.39800918695848486,0.9166666666666666,0.3323368001187441,0.2863381451031375,0.875,0.3603069302123561
minus_R_edge,T_grad2_only,24,0.42592401063596036,0.3979610197730954,0.9166666666666666,0.32136653507014584,0.29125776559524386,0.8333333333333334,0.3591273327686113
minus_R_edge,T_grad2_minus_lap,24,0.4279432733679312,0.3966448554428406,0.9166666666666666,0.24104218492860222,0.26480262168171537,0.7916666666666666,0.3326082338552724
G_minus_kappa_minus_halfR,T_abs_lap_only,24,0.4832983996685775,0.60214734825227,0.875,-0.005261214418682586,0.029756041154103664,0.5,0.2774851436640671
G_minus_kappa_plus_halfR,T_grad2_plus_abslap,24,0.4555908358757672,0.5813583906134925,0.5833333333333334,-0.11893492992957015,0.050950737361143375,0.5,0.24224125848020825
G_minus_kappa_plus_halfR,T_grad2_plus_lap,24,0.45459633711552655,0.5813583906134925,0.5833333333333334,-0.12510515902936678,0.027558628162050843,0.5,0.23460204921542577
