topology,seed,n,hilbert_dim,subsystem_size,d_A,A_sites,n_edges_input,ground_energy,mean_hz_random,std_hz_random,mean_single_entropy,mean_MI,max_MI,K_gap_ratio,g2_plateau,C_modular,candidate_L,family,spearman_lambda_kappa,beta_pred_from_alpha,abs_beta_minus_pred,fit_ok,r2,A_fit,beta,B_fit
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,induced,pos,1.0,,,1,0.9769710816279596,30.932394397410686,0.26179719950722036,-1.6408753953179251
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,induced,neg,1.0,,,1,0.0,0.1539860863255166,1.3769939120670392e-17,10.128437643726029
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,schur,pos,1.0,,,1,0.9872956183536605,34.97608718294501,0.5747403793012994,0.39176360492726364
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,schur,neg,1.0,,,1,0.0,0.1390502349864653,2.3705599842251236e-19,10.14337349506508
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,input_induced,pos,0.8224783208299743,,,1,0.5866561966575432,9.084542610045641,0.24178025037440623,7.152768358524229
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,input_induced,neg,0.8224783208299743,,,1,-2.220446049250313e-16,0.08602179110820492,2.2558118013632127e-21,10.196401938943342
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,mi_normalized,pos,1.0,,,1,0.9614481640808916,11.428688421780306,0.4389685932948459,0.5159005299839099
chain,0,9,512,4,16,"3,4,6,8",8,-15.217185388379763,-0.18030891719473713,0.36227540497895483,0.12782622681257727,0.030111835056634992,0.21571100587358089,0.45429075499786603,0.06414323859470066,1.0262918175152105,mi_normalized,neg,1.0,,,1,-1.9984014443252818e-15,0.0814025425653093,2.5766106385195335e-14,10.201021187764272
chain,1,9,512,4,16,"0,3,6,8",8,-14.551975110670535,-0.09183690226581642,0.16056845911190804,0.132715263163076,0.03139805728700102,0.26606442383420464,0.4677682847422246,0.07090129584609427,1.1344207335375083,induced,pos,1.0,,,1,0.97293993258742,27.25885635375709,0.1731394338510993,-2.4950588854859403
chain,1,9,512,4,16,"0,3,6,8",8,-14.551975110670535,-0.09183690226581642,0.16056845911190804,0.132715263163076,0.03139805728700102,0.26606442383420464,0.4677682847422246,0.07090129584609427,1.1344207335375083,induced,neg,1.0,,,1,0.0,0.12400748469843133,1.5285263340317477e-20,7.115373665710996
