defect_strength,mode,metric,n,mean,std,median,q25,q75,min,max,positive_frac,negative_frac,nonzero_frac,t_stat,t_pvalue,sign_pvalue
0.4,frozen_baseline,delta_near_edge_mean,20,0.05596025925742656,0.039935735483947084,0.05643365513090913,0.029328471336123638,0.07892404149487772,-0.03966339385938014,0.12762764459449352,0.95,0.05,1.0,6.266615211752712,5.1216344675233215e-06,4.00543212890625e-05
0.4,frozen_baseline,delta_far_edge_mean,20,-0.014613423851539553,0.05114185532047539,-0.01091708170887478,-0.05364763179553805,0.018599683243216612,-0.10457563641959637,0.09045094179801166,0.4,0.6,1.0,-1.2778812544556504,0.2166840267291733,0.5034446716308594
0.4,frozen_baseline,delta_near_minus_far,20,0.07057368310896611,0.0761188279806038,0.06880011006936743,0.020154070067605397,0.11503018605472701,-0.07785508144788153,0.20133604926749316,0.8,0.2,1.0,4.146347416026654,0.0005485254808255941,0.01181793212890625
0.4,frozen_baseline,common_edge_delta_mean,20,0.03958973807164177,0.028705519668453715,0.03946409833705955,0.02641577002789279,0.053258282991878014,-0.029091834673731033,0.09459307039702067,0.95,0.05,1.0,6.1678274117356215,6.299314210044909e-06,4.00543212890625e-05
0.4,frozen_baseline,common_edge_delta_mean_near,20,0.05596025925742656,0.0399357354839471,0.0564336551309091,0.02932847133612365,0.0789240414948777,-0.039663393859380114,0.12762764459449358,0.95,0.05,1.0,6.266615211752711,5.1216344675233385e-06,4.00543212890625e-05
0.4,frozen_baseline,common_edge_delta_mean_far,20,-0.014613423851539553,0.05114185532047539,-0.010917081708874789,-0.05364763179553807,0.01859968324321664,-0.10457563641959636,0.09045094179801165,0.4,0.6,1.0,-1.2778812544556504,0.2166840267291733,0.5034446716308594
0.4,frozen_baseline,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0.4,frozen_baseline,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0.4,frozen_baseline,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0.4,frozen_baseline,n_common_edges,20,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0.4,frozen_baseline,support_jaccard,20,0.687995772636978,0.06019948404755571,0.6843971631205674,0.6326530612244898,0.7113783533765032,0.6,0.8181818181818182,1.0,0.0,1.0,51.11024920524171,8.220195154987705e-22,1.9073486328125e-06
0.6,frozen_baseline,delta_edge_mean,20,0.07575910021117535,0.029627853622270606,0.06878612596276379,0.05195286627686071,0.09382945444901974,0.033212665917237094,0.12508753060749955,1.0,0.0,1.0,11.435354052044502,5.821675058874263e-10,1.9073486328125e-06
0.6,frozen_baseline,delta_node_mean,20,0.07514554699746738,0.033519972948435096,0.06400423335743612,0.04996982844900716,0.09341045830988104,0.03284994953004719,0.145305493853512,1.0,0.0,1.0,10.025697308958415,5.049798683783275e-09,1.9073486328125e-06
0.6,frozen_baseline,delta_near_edge_mean,20,0.09795350594514236,0.033960980080411186,0.0917539924973017,0.07650315116480541,0.11959381426544627,0.039438660078565446,0.17395863293707492,1.0,0.0,1.0,12.898962127073936,7.576848062290653e-11,1.9073486328125e-06
0.6,frozen_baseline,delta_far_edge_mean,20,0.005225770849740092,0.07173912753358315,0.0033576936206265173,-0.025688225670312426,0.03298538434763735,-0.1554372440317463,0.18635309167512773,0.5,0.5,1.0,0.3257686357946162,0.7481598911180986,1.0
