N_input,flat_N_actual,sphere_N_actual,flat_mean_kappa,sphere_mean_kappa,delta_mean_kappa,B_epsilon_flat_baseline,sphere_mean_kappa_over_epsilon,delta_kappa_over_epsilon,A_epsilon,B_l2_flat_baseline,sphere_mean_kappa_over_l2,delta_kappa_over_l2,A_l2
128,121,128,-0.003475657484519223,0.019616779976615577,0.0230924374611348,-0.21027727781341288,0.0949739376165867,0.30525121542999956,3.2759902318204555,-0.63261855329457,0.10200805526508328,0.7346266085596532,1.3612357466341323
256,256,256,-0.003006391329758346,0.012341754652096238,0.015348145981854584,-0.30785447216725453,0.09265488211366382,0.4005093542809184,2.4968205843666693,-0.7050386893935904,0.08916366046924697,0.7942023498628373,1.2591249574780343
512,529,512,-0.002278119055597618,0.00918342081851335,0.011461539874110967,-0.30128124510278476,0.09065200634151223,0.39193325144429697,2.551454862058632,-0.7937192647874316,0.1338952722358613,0.9276145370232929,1.0780339894294795
