geometry,N_input,n_edges,N_actual,dim,ricci_target,k,epsilon,density,mean_edge_length,median_edge_length,mean_kappa,median_kappa,std_kappa,mean_kappa_over_l2,median_kappa_over_l2,std_kappa_over_l2,mean_kappa_over_epsilon,median_kappa_over_epsilon,std_kappa_over_epsilon,positive_fraction
flat_torus2d,128,685,121,2,0.0,11,0.01652892561983472,0.0943526170798898,0.1308878144783396,0.128564869306645,-0.003475657484519223,2.220446049250313e-16,0.04598400487552089,-0.63261855329457,1.3433698597964385e-14,4.536199502500819,-0.21027727781341288,1.3433698597964385e-14,2.7820322949690133,0.527007299270073
flat_torus2d,256,900,256,2,0.0,16,0.009765625000000002,0.07352941176470588,0.10837209876765096,0.125,-0.003006391329758346,0.0,0.04105171996503871,-0.7050386893935904,0.0,7.137746911585597,-0.30785447216725453,0.0,4.203696124419966,0.44
flat_torus2d,512,900,529,2,0.0,23,0.0075614366729678684,0.04441628000229134,0.0839065941050325,0.08695652173913049,-0.002278119055597618,-2.220446049250313e-16,0.02258031260694672,-0.7937192647874316,-1.9087509350868015e-14,8.115665465673525,-0.30128124510278476,-2.936539900133537e-14,2.986246342268701,0.4255555555555556
sphere,128,733,128,2,1.0,11,0.20654908566399807,0.09018208661417323,0.4527809113026223,0.43909097348160575,0.019616779976615577,0.023383957235454722,0.044024742003053216,0.10200805526508328,0.08742397459112011,0.35150774637831217,0.0949739376165867,0.11321259138127762,0.21314421151527194,0.7557980900409277
sphere,256,900,256,2,1.0,16,0.13320134212632276,0.06464460784313726,0.37102370048546174,0.4199187853541806,0.012341754652096238,0.011424850170262346,0.032736239726309735,0.08916366046924697,0.08312373906546117,0.5010182965994056,0.09265488211366382,0.08577128419192263,0.24576508917803566,0.6566666666666666
sphere,512,900,512,2,1.0,23,0.1013041099599799,0.04587359344422701,0.3026965522086072,0.3235287355671258,0.00918342081851335,0.008635772941695541,0.03453446896919807,0.1338952722358613,0.08335480393795879,0.9805451042376079,0.09065200634151223,0.08524602748207447,0.3408989919840457,0.6366666666666667
