geometry,N_input,n_edges,N_actual,ricci_target,mean_Rhat_epsilon,median_Rhat_epsilon,std_Rhat_epsilon,mean_Rhat_l2,median_Rhat_l2,std_Rhat_l2,error_mean_Rhat_epsilon,abs_error_mean_Rhat_epsilon,error_mean_Rhat_l2,abs_error_mean_Rhat_l2
flat_torus2d,128,685,121,0.0,-9.594920154424711e-17,0.6888663080905808,9.113910622927524,5.575426576219764e-17,0.8611429887285568,6.174836916668085,-9.594920154424711e-17,9.594920154424711e-17,5.575426576219764e-17,5.575426576219764e-17
flat_torus2d,256,900,256,0.0,5.427757009278543e-17,0.768657383096537,10.49587501387416,-9.128500424695732e-18,0.8877318098030735,8.987315276539178,5.427757009278543e-17,5.427757009278543e-17,-9.128500424695732e-18,9.128500424695732e-18
flat_torus2d,512,900,529,0.0,-1.1052887000712669e-16,0.7687054976645037,7.619272749286286,3.157967714489334e-17,0.8556563455058077,8.748963218835078,-1.1052887000712669e-16,1.1052887000712669e-16,3.157967714489334e-17,3.157967714489334e-17
sphere,128,733,128,1.0,1.0000000000000002,1.059749651574683,0.6982583548931042,1.0,0.9801476280548054,0.47848490958896295,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0
sphere,256,900,256,1.0,1.0,0.9828128910144929,0.6136313335784291,1.0,0.9923949842192875,0.6308446414014434,0.0,0.0,0.0,0.0
sphere,512,900,512,1.0,1.0,0.9862068889549013,0.8697883905685799,1.0,0.945515657333178,1.0570609505368134,0.0,0.0,0.0,0.0
