ring_id,R_mean,n_cells,sigma_target_mean,sigma_coupling_mean,rho_ent_mean,rho_ent_sum
0,1.25,4,0.6592406302004438,0.6592406302004438,1.3779274483831288,5.511709793532515
1,3.75,4,0.2865047968601901,0.2865047968601901,0.6986912803468452,2.794765121387381
2,6.25,4,0.12451447144412296,0.12451447144412296,0.1954100712986527,0.7816402851946108
3,8.75,4,0.05411376622282161,0.05411376622282161,0.035673938340917165,0.14269575336366866
