geometry,n_tests,N_actual,k,epsilon,region_size,mu,mean_abs_delta_S,mean_abs_delta_K,mean_abs_first_law_error,median_abs_first_law_error,mean_relative_error,median_relative_error,max_relative_error,fit_intercept_deltaS_vs_deltaK,fit_slope_deltaS_vs_deltaK,fit_r2_deltaS_vs_deltaK,pearson_deltaS_deltaK
flat_torus2d,6,256,16,0.009765625000000002,45,13.983008995843466,0.00096159305131945,0.0009686527520192965,6.8608049186904e-05,3.8942756260351035e-05,0.053302255768997,0.0459338426992452,0.10165637621112433,-6.829927741493516e-05,0.9894809731564347,0.996589633081355,0.998293360231027
sphere,6,256,16,0.13320134212632276,50,12.74058701262047,0.0011342130121006673,0.0011423802268045995,8.089046806233935e-05,4.592041040864513e-05,0.05329396739137657,0.04592773255070334,0.1016004532662862,-8.055044570344886e-05,0.9897180478054185,0.9965920885884546,0.9982945900827342
