geometry,laplacian,n_cases,target_dim,best_N,final_ds_plateau,final_ds_abs_error,mean_abs_error,final_k,final_epsilon,final_lambda2,final_density
circle,unnormalized_rescaled,5,1,1024,1.0021089184122474,0.0021089184122473625,0.009136965708151123,32,0.005435429265744534,7.871268543424767,0.03128054740957967
grid2d,unnormalized_rescaled,5,2,1024,1.993757845976944,0.006242154023055946,0.053184468281822106,32,0.005202913631633717,64.93109435297919,0.03377207050342131
interval,unnormalized_rescaled,5,1,1024,0.9445147309571063,0.05548526904289375,0.11374522772528195,32,0.0001380754857247145,77.50871328469555,0.03154020039100684
sphere,unnormalized_rescaled,5,2,1024,1.8963984141647678,0.10360158583523216,0.05382818523210027,32,0.06468505772763569,12.120932312830817,0.031933498289345066
