tag,n,phi_feature,logM_LOO_improvement,Phi_LOO_improvement,Phi_minus_logM_LOO,frac_Phi_better_logM_global,mean_delta_global,best_window,huber_Cobs_zero,linear_Cobs_zero
measured_n_only,61,rawL_zS_amp_sqrtMstar_phi_mid_mean,12.53679973155827,10.398406137014222,-2.1383935945440484,0.4426229508196721,-0.018850554692639444,"{'width': 0.1, 'center': 11.595000076293957, 'logM_low': 11.545000076293956, 'logM_high': 11.645000076293957, 'n': 11, 'frac_Phi_better_logM': 0.8181818181818182, 'mean_delta_logM_minus_Phi': 0.09812936725154052, 'median_delta_logM_minus_Phi': 0.07393199603084644, 'p_mean_delta_one_sided': 0.0026657780739753416, 'p_frac_one_sided': 0.008997000999666778, 'mean_abs_err_logM': 0.5472741666437485, 'mean_abs_err_Phi': 0.449144799392208, 'names': 'J0008-0004;J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1142+1001;J1143-0144;J1218+0830;J1416+5136;J1636+4707;J2321-0939'}",11.600580606834484,11.621238774568447
matched_forced_n4,61,norm_rawS_amp_sqrtMstar_phi_inner_minus_outer,12.53679973155827,9.121230605847904,-3.415569125710366,0.4918032786885246,-0.0025016012708291447,"{'width': 0.3, 'center': 11.145000076293949, 'logM_low': 10.995000076293948, 'logM_high': 11.295000076293949, 'n': 6, 'frac_Phi_better_logM': 0.6666666666666666, 'mean_delta_logM_minus_Phi': 0.05385807677162619, 'median_delta_logM_minus_Phi': 0.10856251910995476, 'p_mean_delta_one_sided': 0.07330889703432189, 'p_frac_one_sided': 0.3092302565811396, 'mean_abs_err_logM': 0.385970616812408, 'mean_abs_err_Phi': 0.33211254004078183, 'names': 'J0955+0101;J0959+0410;J1029+0420;J1420+6019;J1443+0304;J1538+5817'}",11.600580606834484,11.621238774568447
measured_plus_fallback,70,rawL_zS_amp_sqrtMstar_phi_mid_mean,12.917284192172339,10.489524181491925,-2.427760010680414,0.42857142857142855,-0.020436709245199396,"{'width': 0.1, 'center': 11.595000076293957, 'logM_low': 11.545000076293956, 'logM_high': 11.645000076293957, 'n': 12, 'frac_Phi_better_logM': 0.75, 'mean_delta_logM_minus_Phi': 0.07125306455510262, 'median_delta_logM_minus_Phi': 0.0637881760988793, 'p_mean_delta_one_sided': 0.002999000333222259, 'p_frac_one_sided': 0.016661112962345886, 'mean_abs_err_logM': 0.49769121690477097, 'mean_abs_err_Phi': 0.4264381523496683, 'names': 'J0008-0004;J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1142+1001;J1143-0144;J1218+0830;J1313+4615;J1416+5136;J1636+4707;J2321-0939'}",11.56802328200196,11.591556245582911
