lambda_bup,weight_width,x_center_cap,x_center_used,r_cut_factor,r_cut_kpc,alpha_bary_max_arcsec,alpha_bup_max_arcsec,delta_alpha_max_arcsec,enhancement_max_raw,enhancement_mean_robust,enhancement_median_robust,R_alpha_bup_max_kpc,R_delta_alpha_max_kpc,R_ratio_max_kpc,thetaE_bary_arcsec,thetaE_bup_arcsec,delta_thetaE_arcsec,score
3.0,0.8,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.3016610851540064,0.12235919741962567,1.7792415261143595,1.358233755109323,1.330639750603972,6.74,11.04,12.05,0.07570895818061268,0.08120413943517464,0.005495181254561957,6.961537414486164
3.0,0.8,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.30369215891151374,0.1121621092839045,1.6793303986474577,1.3132379937388943,1.2999773232091152,6.43,9.04,11.04,0.07570895818061268,0.08123457533102378,0.005525617150411097,6.68986860635198
3.0,0.6,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.2916822791427266,0.1165478630408108,1.7387464798964654,1.301780959655079,1.2653234211708935,6.74,11.04,12.05,0.07570895818061268,0.08054184430240072,0.0048328861217880326,6.663777330904431
3.0,0.5,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.2835628649448885,0.11211201700497389,1.708201856910717,1.2642303776299286,1.2183579705424,6.74,11.04,12.05,0.07570895818061268,0.08003470053185735,0.004325742351244666,6.450458076656182
3.0,0.6,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.2961350355771092,0.10396470350219109,1.6099647150339536,1.2551032578737722,1.1961167108340391,6.74,9.04,10.04,0.07570895818061268,0.08068925419728401,0.004980296016671326,6.3030638009436935
3.0,0.8,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.2851275270063487,0.09768151456590454,1.6090081676744463,1.2723930788204696,1.2573897688382496,6.43,10.04,12.05,0.07570895818061268,0.08018323449958553,0.004474276318972847,6.250096947542415
3.0,0.4,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.27325179386089626,0.10602788645418151,1.6670636088716475,1.2202555604756287,1.1759811335431958,9.04,11.04,12.05,0.07570895818061268,0.07938952129822249,0.0036805631176098086,6.195223098164356
3.0,0.5,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.2903945250500551,0.09807225954756613,1.5681730696741283,1.2205693276317877,1.1681527888977432,6.74,9.04,10.04,0.07570895818061268,0.08023735077848819,0.004528392597875505,6.08592362233695
3.0,0.8,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.288535406087774,0.09200607613843145,1.542739373536353,1.2457477798311496,1.2317917785573607,6.43,9.04,11.04,0.07570895818061268,0.08028545161471375,0.004576493434101062,6.078836352393726
3.0,0.6,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.2767361048184218,0.09350401187715848,1.5818055890308114,1.234367780513621,1.2051900830980378,6.74,10.04,12.05,0.07570895818061268,0.07965456481961283,0.003945606639000149,6.035653263013723
3.0,0.8,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.29164639110723584,0.08868282608716171,1.490821484692843,1.2277610401957058,1.1809423158183128,6.43,7.06,9.04,0.07570895818061268,0.08032816511642539,0.004619206935812706,5.927118339827881
3.0,0.5,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.2699902938456364,0.09009186722569093,1.5606668440347193,1.2078933823038065,1.1813495365342035,6.74,10.04,12.05,0.07570895818061268,0.0792426897330606,0.003533731552447919,5.888561651568147
3.0,0.4,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.28235110236991473,0.09047452915410917,1.5160232473829975,1.1829246637621158,1.1271982875830588,6.74,9.04,9.04,0.07570895818061268,0.07963152757519061,0.003922569394577927,5.814696069397295
3.0,0.6,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.2826358445017471,0.08605361183896074,1.498520959629493,1.206190779330709,1.1562854405185132,6.43,9.04,10.04,0.07570895818061268,0.0798791942824986,0.00417023610188591,5.803135440703507
2.0,0.8,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.26915572543871463,0.08157279827975045,1.519494350742906,1.2388225034062152,1.2204265004026478,6.43,11.04,12.05,0.07570895818061268,0.07928566752946133,0.0035767093488486418,5.7871813185525545
3.0,0.5,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.2779065213410577,0.08183617163354176,1.4671524893084071,1.1812636060635944,1.1313118804740971,6.43,8.04,10.04,0.07570895818061268,0.07952201914953033,0.0038130609689176476,5.649616719129054
3.0,0.4,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.2603446786453158,0.08551090109033668,1.5314413909903108,1.1756343225946808,1.120676964491505,6.74,11.04,12.05,0.07570895818061268,0.07871592005806746,0.003006961877454778,5.636968739873097
2.0,0.8,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.27095979933314407,0.07477473952260302,1.4528869324316382,1.2088253291592628,1.1999848821394101,6.43,9.04,11.04,0.07570895818061268,0.07930509764889132,0.0035961394682786363,5.623656052486321
2.0,0.6,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.2622897239653566,0.0776985753605405,1.4924976532643102,1.2011873064367191,1.1768822807805954,6.43,11.04,12.05,0.07570895818061268,0.07886355230003333,0.0031545941194206506,5.58877167046017
3.0,0.8,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.27946150461412184,0.07556438721255321,1.407044763664412,1.1853830574758462,1.1479994903692474,6.43,7.06,9.04,0.07570895818061268,0.07960614775385139,0.003897189573238702,5.543440684634056
3.0,0.6,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.2813848492136068,0.07671066452890796,1.3986843394270705,1.1694616367746598,1.128092139392001,6.1,7.06,8.04,0.07570895818061268,0.07978130151233465,0.0040723433317219615,5.515491807373947
3.0,0.4,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.271051253783454,0.07636013647761333,1.4325156258714853,1.1527149036838582,1.1051495573716061,6.43,8.04,9.04,0.07570895818061268,0.0790303116847957,0.003321353504183014,5.4543777508248485
2.0,0.5,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.25678207120221047,0.07474134466998261,1.4721345712738112,1.1761535850866192,1.1455719803615998,6.43,11.04,12.05,0.07570895818061268,0.07853873668892782,0.002829778508315131,5.446625235474289
3.0,0.8,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.2652445175528325,0.06878211026298275,1.4132631111365979,1.1802014831840553,1.173093556441894,6.43,9.04,11.04,0.07570895818061268,0.07896298984997185,0.0032540316693591698,5.417953910651387
2.0,0.6,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.26588004605270454,0.06930980233479406,1.406643143355969,1.1700688385825149,1.1307444738893595,6.43,9.04,10.04,0.07570895818061268,0.07895765609281669,0.0032486979122040016,5.3658667115462215
3.0,0.8,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.2690343913799206,0.06773054014000965,1.3838525154483476,1.1698514489648066,1.1317279020251054,6.43,8.04,10.04,0.07570895818061268,0.07911651711121939,0.0034075589306067078,5.34306828642029
2.0,0.8,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.258583378063034,0.065121009710603,1.4060054451162973,1.1815953858803132,1.1715931792254994,6.43,10.04,12.05,0.07570895818061268,0.07863404574751769,0.002925087566905002,5.323748931182982
2.0,0.4,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.24914059684398832,0.07068525763612102,1.4447090725810983,1.1468370403170862,1.1173207556954643,6.43,11.04,12.05,0.07570895818061268,0.07812343910703319,0.0024144809264205064,5.2765426926823835
3.0,0.5,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.275061480202544,0.06930396315599477,1.3477239232466824,1.1396284693381107,1.1017191935145327,6.1,6.74,7.06,0.07570895818061268,0.07936269862357864,0.003653740442965958,5.274419759656597
3.0,0.6,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.25879148571718774,0.06610023469442028,1.3999113888240236,1.1585703604115416,1.132013390772156,6.43,10.04,11.04,0.07570895818061268,0.0785787885565882,0.0028698303759755184,5.257427305513794
3.0,0.6,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.27188261768306654,0.06635044578787128,1.3390161841315416,1.1428571912877254,1.1111757687626431,6.1,6.74,8.04,0.07570895818061268,0.07921664753901636,0.003507689358403676,5.230533176018657
2.0,0.5,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.2619339977771972,0.06538150636504411,1.378782046449419,1.1470462184211918,1.1121018592651621,6.43,9.04,10.04,0.07570895818061268,0.07866864804937185,0.0029596898687591633,5.221167896987155
2.0,0.8,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.2608552974506509,0.06133738409228767,1.3618262490242357,1.1638318532207665,1.1545278523715738,6.43,9.04,11.04,0.07570895818061268,0.07869962657675438,0.0029906683961416908,5.216437606874501
3.0,0.6,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.26502849726797545,0.06442376580864373,1.3605729590581384,1.1477817539270712,1.1096464065919585,6.43,8.04,9.04,0.07570895818061268,0.07885708306305166,0.0031481248824389713,5.209414744043515
2.0,0.6,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.25290336052950263,0.062336007918105646,1.3878703926872076,1.1562451870090806,1.136793388732025,6.43,10.04,12.05,0.07570895818061268,0.07829430575336428,0.002585347572751598,5.180850007126328
3.0,0.5,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.25350298555083955,0.06402909061259004,1.3889421455872553,1.1426297416459057,1.1018147667174156,6.43,10.04,11.04,0.07570895818061268,0.07827396703685532,0.00256500885624264,5.152400454692512
3.0,0.5,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.2616820838913381,0.06183523179387271,1.3448498593032896,1.1326468320273138,1.1011569733943896,6.43,8.04,9.04,0.07570895818061268,0.07860623168980922,0.002897273509196538,5.117630529884799
2.0,0.8,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.26323078336918543,0.05912188405810781,1.327214323128562,1.151840693463804,1.1206282105455418,6.1,7.06,9.04,0.07570895818061268,0.0787273740592961,0.003018415878683414,5.11574074522458
2.0,0.5,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.24829396249995783,0.060061244817127324,1.3737778960231464,1.1385955882025378,1.1208996910228024,6.43,10.04,12.05,0.07570895818061268,0.07802858065933903,0.0023196224787263436,5.082833224314328
3.0,0.8,2.0,2.0,3.0,9.511708781818047,0.20834474031126876,0.2641105668939425,0.05837552025058365,1.3038940027759904,1.13483318407674,1.1082494873336963,6.1,6.74,8.04,0.07570895818061268,0.07868151870146345,0.0029725605208507644,5.049384725234223
3.0,0.5,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.26677115858300526,0.06035845553681349,1.3016195398686763,1.1198015628659854,1.089107188049693,6.1,6.74,7.06,0.07570895818061268,0.07889014521645162,0.003181187035838931,5.0408810218282465
2.0,0.4,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.2563588415201321,0.06031635276940611,1.3440154982553316,1.1219497758414108,1.084798858388706,6.43,9.04,9.04,0.07570895818061268,0.078279442383272,0.0025704842026593178,5.0404229107078775
2.0,0.6,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.2569222563932996,0.05736907455930712,1.3323473064196625,1.137460519553806,1.1041902936790091,6.43,9.04,10.04,0.07570895818061268,0.07843880086069899,0.002729842680086303,5.032687061608126
3.0,0.4,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.24606888524724654,0.06084254567479988,1.372836450294918,1.1222557244941953,1.0820487935435568,6.43,10.04,11.04,0.07570895818061268,0.07788403322918142,0.002175075048568731,5.0262058794210605
3.0,0.4,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.26756524190448944,0.0608134960972907,1.2991085595628653,1.110378896879664,1.0741996642601446,6.1,6.43,6.74,0.07570895818061268,0.07883520727651398,0.0031262490959012984,5.0100309531699505
3.0,0.4,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.25665994979960377,0.058204788471227314,1.323358761623485,1.11405900242099,1.081306205945136,6.43,8.04,9.04,0.07570895818061268,0.07824849031462924,0.002539532134016559,4.98620652989409
2.0,0.5,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.2537693742861734,0.054557447755694544,1.3114349928722715,1.1208424040423965,1.0875412536493982,6.43,8.04,10.04,0.07570895818061268,0.07820886091162135,0.0024999027310086686,4.93286341951547
2.0,0.4,4.0,4.0,4.0,12.682278375757395,0.20834474031126876,0.241851255170424,0.0570072673935578,1.354294260660207,1.1170895483964536,1.0804513096610031,6.43,11.04,12.05,0.07570895818061268,0.07768733687469527,0.001978378694082586,4.904437946793703
2.0,0.8,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.2555282588953181,0.05037625814170213,1.2713631757762742,1.1235887049838975,1.0986663269128314,6.1,7.06,9.04,0.07570895818061268,0.07826354730604032,0.0025545891254276365,4.860043232537665
3.0,0.6,2.0,2.0,3.0,9.511708781818047,0.20834474031126876,0.25894568251260486,0.05236101757583064,1.2622504464537259,1.108827877652698,1.0775550188205996,6.1,6.74,7.06,0.07570895818061268,0.07846822620642807,0.0027592680258153868,4.845323127902804
2.0,0.6,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.25681472285549495,0.051140443019271925,1.2657895596180466,1.11297442451644,1.0853947595946671,6.1,7.06,8.04,0.07570895818061268,0.07837588505537837,0.0026669268747656905,4.841388490582672
3.0,0.4,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.2605825251954108,0.05354247886044278,1.2623960931628495,1.096259834442839,1.0656302898682923,6.1,6.43,6.74,0.07570895818061268,0.07846021669925454,0.002751258518641858,4.825928156281193
2.0,0.4,3.0,3.0,4.0,12.682278375757395,0.20834474031126876,0.24919919591443754,0.05090675765174221,1.28834375058099,1.1018099357892386,1.070099704914404,6.43,8.04,9.04,0.07570895818061268,0.07789115780116163,0.0021821996205489413,4.802754616642815
2.0,0.8,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.24556190332247824,0.045854740175321845,1.275508740757732,1.1201343221227036,1.1153957042945961,6.1,9.04,11.04,0.07570895818061268,0.07784759829725672,0.002138640116644039,4.775997376864591
2.0,0.8,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.24834317859249724,0.04515369342667311,1.255901676965565,1.113234299309871,1.0878186013500704,6.1,8.04,10.04,0.07570895818061268,0.07794706638318316,0.002238108202570477,4.728540498528472
3.0,0.5,2.0,2.0,3.0,9.511708781818047,0.20834474031126876,0.2553236243723015,0.04832664024369021,1.238695358841957,1.0935299250168329,1.0718022003379029,6.1,6.43,7.06,0.07570895818061268,0.07825129128745399,0.0025423331068413074,4.7212788485047374
2.0,0.5,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.25259914351478635,0.04620264210399652,1.231815948831122,1.093085646225407,1.0678127956763552,6.1,6.74,7.06,0.07570895818061268,0.07810602841331224,0.002397070232699555,4.6791179435017165
2.0,0.6,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.24110743056645603,0.044066823129613464,1.266607592549349,1.1057135736076942,1.0880089271814373,6.1,10.04,11.04,0.07570895818061268,0.07759822382193626,0.0018892656413235787,4.662138213345985
2.0,0.6,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.2504799018351348,0.044233630525247536,1.2260107894210277,1.0952381275251504,1.0741171791750952,6.1,6.74,8.04,0.07570895818061268,0.07801174536313685,0.002302787182524163,4.649875642774086
2.0,0.6,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.24552694009476247,0.042949177205762495,1.2403819727054255,1.0985211692847139,1.0730976043946392,6.1,8.04,9.04,0.07570895818061268,0.07777890119388718,0.0020699430132744973,4.639462091158034
1.0,0.8,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.2377902414506789,0.040786399139875196,1.2597471753714529,1.1194112517031078,1.110213250201324,6.1,11.04,12.05,0.07570895818061268,0.07745594691518795,0.0017469887345752666,4.613268979076143
2.0,0.5,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.23753756431982861,0.042686060408393345,1.259294763724837,1.0950864944306038,1.0678765111449438,6.1,10.04,11.04,0.07570895818061268,0.07739980687696231,0.0016908486963496255,4.592144299806038
2.0,0.5,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.24316734008970764,0.04122348786258184,1.229899906202193,1.0884312213515424,1.0674379822629265,6.1,8.04,9.04,0.07570895818061268,0.07761604311774009,0.0019070849371274068,4.57829449591563
3.0,0.4,2.0,2.0,3.0,9.511708781818047,0.20834474031126876,0.25079882329269265,0.04339142991877282,1.2113501724218496,1.0769545315732074,1.0536635395365903,6.1,6.43,6.74,0.07570895818061268,0.07794272148273579,0.002233763302123104,4.569742345294235
1.0,0.8,3.0,3.0,5.0,15.852847969696743,0.20834474031126876,0.23888294679970445,0.0373873697613015,1.2264434662158195,1.1044126645796315,1.0999924410697053,6.1,9.04,11.04,0.07570895818061268,0.07746526026302662,0.001756302082413938,4.557891700101999
3.0,0.8,3.0,3.0,2.0,6.341139187878698,0.20834474031126876,0.24495466515754546,0.03922272902806556,1.2072769976395068,1.08901175745279,1.0695497669987168,6.1,7.06,8.04,0.07570895818061268,0.07769785764891912,0.0019888994683064376,4.535873747002998
2.0,0.8,2.0,2.0,3.0,9.511708781818047,0.20834474031126876,0.2452985346423854,0.03891701350038912,1.2025960018506603,1.0898887893844933,1.072166324889131,6.1,6.74,8.04,0.07570895818061268,0.0776653025662901,0.0019563443856774193,4.529161557725406
2.0,0.5,2.0,2.0,4.0,12.682278375757395,0.20834474031126876,0.24707226243509392,0.04023897035787566,1.2010796932457843,1.0798677085773238,1.0594047920331287,6.1,6.74,7.06,0.07570895818061268,0.0778003067903419,0.0020913486097292183,4.523472021525055
1.0,0.6,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.23430798857495097,0.03884928768027027,1.2462488266321552,1.1005936532183596,1.0884411403902976,6.1,11.04,12.05,0.07570895818061268,0.07725396848188316,0.0015450103012704802,4.514109550936999
2.0,0.4,4.0,4.0,3.0,9.511708781818047,0.20834474031126876,0.23265878270732698,0.040561697116533235,1.2485576335299453,1.0815038163294635,1.0546991956957044,6.1,10.04,11.04,0.07570895818061268,0.07714521460188054,0.0014362564212678508,4.508041400941907
2.0,0.4,2.0,2.0,5.0,15.852847969696743,0.20834474031126876,0.24760165131608328,0.04054233073152719,1.1994057063752435,1.0735859312531097,1.049466442840096,6.1,6.43,6.74,0.07570895818061268,0.07776465824531527,0.002055700064702584,4.50093574802553
3.0,0.8,4.0,4.0,2.0,6.341139187878698,0.20834474031126876,0.2413272101385428,0.03730447707454845,1.2083217504823398,1.0884895790783986,1.06757265026032,6.1,8.04,9.04,0.07570895818061268,0.07754370758406937,0.0018347494034566814,4.499803985937715
2.0,0.4,3.0,3.0,3.0,9.511708781818047,0.20834474031126876,0.23963525300086108,0.03880319231415155,1.2155725077489903,1.0760393349473265,1.0542041372967572,6.1,8.04,9.04,0.07570895818061268,0.07738318302549392,0.0016742248448812364,4.490706666711192
3.0,0.6,3.0,3.0,2.0,6.341139187878698,0.20834474031126876,0.24266846796092528,0.03754995664397745,1.199998047917917,1.0807284114825286,1.0605845295006027,6.1,7.06,8.04,0.07570895818061268,0.0775808628875839,0.0018719047069712114,4.476301396075923
1.0,0.5,4.0,4.0,5.0,15.852847969696743,0.20834474031126876,0.23156308229736533,0.03737067233499128,1.2360672856369057,1.0880767925433095,1.0727859901808,6.1,11.04,12.05,0.07570895818061268,0.07709781695381308,0.0013888587732003993,4.443067614831469
