run,family,N_side,N_nodes,extent,L,a,invL2,eta_edge,source_width,pulse_sigma,status,c_edge,meff2,R2_disp,plus_corr,cross_corr,mean_corr,plus_low25_energy,cross_low25_energy,mean_low25_energy,plus_k_weighted,cross_k_weighted,mean_k_weighted,plus_packet_v,cross_packet_v,plus_packet_R2,cross_packet_R2,plus_group_velocity,cross_group_velocity
fixed_density_N121_side11_extent0p5263157895_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,11,121,0.5263157895,1.052631579,0.1052631579,0.9024999999097499,1.0,0.12,0.25,ok,1.0000084218725176,0.0015482437138481951,0.9999999991485276,0.9970971099291834,0.9958561108266667,0.996476610377925,0.10103924830544561,0.08433391422142048,0.09268658126343304,6.0898852966232635,6.102378310400253,6.096131803511758,0.06757405940090175,nan,0.1879187467720117,0.20978941557787123,0.9999875494023305,0.9999876347739686
fixed_density_N256_side16_extent0p78947368425_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,16,256,0.78947368425,1.5789473685,0.1052631579,0.401111111071,1.0,0.12,0.25,ok,1.0000053414275172,0.0017617479380778616,0.9999999994059859,0.9968056215899591,0.9967981213823246,0.9968018714861419,0.03604190177564932,0.034680377866569946,0.03536113982110963,6.668020846153804,6.708392883050756,6.6882068646022805,0.39144524244905776,0.09592751578262626,0.0870509955025478,0.46922228062141347,0.9999855305071191,0.9999857682323497
fixed_density_N400_side20_extent1p00000000005_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,20,400,1.00000000005,2.0000000001,0.1052631579,0.249999999975,1.0,0.12,0.25,ok,1.000002805944184,0.001905906877181056,0.9999999995490311,0.994883073526219,0.9949220040029121,0.9949025387645656,0.08329123869099211,0.09358742488623856,0.08843933178861534,6.117665545340631,6.199639580924622,6.158652563132627,nan,nan,0.02728447377115606,0.06652695190192126,0.9999773445362256,0.9999780133810884
fixed_density_N625_side25_extent1p2631578948_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,25,625,1.2631578948,2.5263157896,0.1052631579,0.15668402776210938,1.0,0.12,0.25,ok,0.9999998673476856,0.002042654755089923,0.9999999997395355,0.9951739990840079,0.9939056061654781,0.994539802624743,0.10417002363130834,0.1374061589265697,0.12078809127893902,6.21078453717436,5.946600068342361,6.078692302758361,nan,0.23059311654984585,0.15274398416798485,0.3249574778190749,0.9999733911962047,0.9999709865786234
