N_input,N_actual,m_grid,k,epsilon,scale_c,n_modes,fit_modes,mean_rel_error,median_rel_error,max_rel_error,mean_abs_error,median_abs_error,degree_mean,degree_std,lambda1_raw,lambda1_scaled,lambda1_target
64,64,8,8,0.03125,0.9897209918581714,20,12,0.09510296979595462,0.13404038154146056,0.14669967172974832,13.036038234314038,5.791470902969031,6.645190742624002,0.0,45.74005086255022,45.269888507326414,39.47841760435743
144,144,12,12,0.017361111111111105,0.5764295684901278,20,12,0.07572759326683225,0.04368577865195586,0.1366682254395128,7.643176602760553,8.623227064966798,9.575552868598322,1.014840744832349e-15,77.84795460622247,44.87386288150388,39.47841760435743
256,256,16,16,0.009765625000000002,0.28025738362513625,20,12,0.06035072489849584,0.05741889404835822,0.18504093685911877,7.22546067596392,5.9259384658831,13.669634821658597,0.7731779173667556,142.76331398370934,40.01047285472821,39.47841760435743
576,576,24,24,0.0078125,0.25838815904251666,20,12,0.033404806190578146,0.04552030883859408,0.05035610940639263,4.520904783320373,1.9879795160754732,19.190587335447326,3.671018087332943e-15,160.48102697155477,41.4663971204325,39.47841760435743
1024,1024,32,32,0.004882812500000001,0.1568961677809424,20,12,0.026627405674277693,0.02626383460601285,0.05219572431581799,3.045116864108242,2.2648017104653064,25.80649654690907,0.6647190040975178,261.07247027200543,40.96127009878166,39.47841760435743
