N_input,N_actual,m_grid,k,epsilon,mode_index,graph_lambda_raw,scale_c,graph_lambda_scaled,target_lambda,abs_error,rel_error
64,64,8,8,0.03125,1,45.74005086255022,0.9897209918581714,45.269888507326414,39.47841760435743,5.791470902968982,0.146699671729744
64,64,8,8,0.03125,2,45.740050862550234,0.9897209918581714,45.26988850732643,39.47841760435743,5.791470902968996,0.14669967172974435
64,64,8,8,0.03125,3,45.740050862550305,0.9897209918581714,45.2698885073265,39.47841760435743,5.791470902969067,0.14669967172974616
64,64,8,8,0.03125,4,45.74005086255039,0.9897209918581714,45.269888507326584,39.47841760435743,5.791470902969152,0.14669967172974832
64,64,8,8,0.03125,5,82.92835199060538,0.9897209918581714,82.07593078530552,78.95683520871486,3.1190955765906523,0.03950380696421812
64,64,8,8,0.03125,6,82.92835199060553,0.9897209918581714,82.07593078530567,78.95683520871486,3.1190955765908086,0.039503806964220095
64,64,8,8,0.03125,7,82.9283519906056,0.9897209918581714,82.07593078530574,78.95683520871486,3.1190955765908797,0.039503806964221
64,64,8,8,0.03125,8,82.92835199060573,0.9897209918581714,82.07593078530587,78.95683520871486,3.1190955765910076,0.039503806964222614
64,64,8,8,0.03125,9,156.16630199855382,0.9897209918581714,154.5610673088314,157.91367041742973,3.3526031085983163,0.02123060720288516
64,64,8,8,0.03125,10,156.16630199855385,0.9897209918581714,154.56106730883144,157.91367041742973,3.352603108598288,0.021230607202884978
64,64,8,8,0.03125,11,156.16630199855388,0.9897209918581714,154.56106730883147,157.91367041742973,3.3526031085982595,0.021230607202884798
64,64,8,8,0.03125,12,156.16630199855396,0.9897209918581714,154.56106730883155,157.91367041742973,3.3526031085981742,0.021230607202884257
64,64,8,8,0.03125,13,172.7088529355716,0.9897209918581714,170.93357723008097,197.39208802178717,26.458510791706203,0.134040381541462
64,64,8,8,0.03125,14,172.70885293557166,0.9897209918581714,170.93357723008103,197.39208802178717,26.458510791706146,0.1340403815414617
64,64,8,8,0.03125,15,172.70885293557168,0.9897209918581714,170.93357723008106,197.39208802178717,26.458510791706118,0.13404038154146156
64,64,8,8,0.03125,16,172.70885293557174,0.9897209918581714,170.9335772300811,197.39208802178717,26.45851079170606,0.13404038154146128
64,64,8,8,0.03125,17,172.70885293557183,0.9897209918581714,170.9335772300812,197.39208802178717,26.458510791705976,0.13404038154146083
64,64,8,8,0.03125,18,172.70885293557185,0.9897209918581714,170.93357723008123,197.39208802178717,26.458510791705947,0.1340403815414607
64,64,8,8,0.03125,19,172.7088529355719,0.9897209918581714,170.93357723008128,197.39208802178717,26.45851079170589,0.13404038154146042
64,64,8,8,0.03125,20,172.70885293557197,0.9897209918581714,170.93357723008134,197.39208802178717,26.458510791705834,0.1340403815414601
144,144,12,12,0.017361111111111105,1,77.84795460622247,0.5764295684901278,44.87386288150388,39.47841760435743,5.39544527714645,0.1366682254394849
144,144,12,12,0.017361111111111105,2,77.84795460622263,0.5764295684901278,44.87386288150397,39.47841760435743,5.3954452771465355,0.13666822543948703
144,144,12,12,0.017361111111111105,3,77.84795460622318,0.5764295684901278,44.87386288150429,39.47841760435743,5.395445277146855,0.13666822543949514
144,144,12,12,0.017361111111111105,4,77.84795460622439,0.5764295684901278,44.873862881504984,39.47841760435743,5.395445277147552,0.1366682254395128
144,144,12,12,0.017361111111111105,5,152.31005314776868,0.5764295684901278,87.79601821267674,78.95683520871486,8.839183003961878,0.11194956054908155
144,144,12,12,0.017361111111111105,6,152.31005314776894,0.5764295684901278,87.79601821267688,78.95683520871486,8.83918300396202,0.11194956054908334
144,144,12,12,0.017361111111111105,7,152.31005314776917,0.5764295684901278,87.79601821267701,78.95683520871486,8.839183003962148,0.11194956054908496
144,144,12,12,0.017361111111111105,8,152.3100531477694,0.5764295684901278,87.79601821267715,78.95683520871486,8.83918300396229,0.11194956054908677
144,144,12,12,0.017361111111111105,9,262.26772198841303,0.5764295684901278,151.17886981466972,157.91367041742973,6.734800602760004,0.04264862304167334
144,144,12,12,0.017361111111111105,10,262.26772198841314,0.5764295684901278,151.1788698146698,157.91367041742973,6.734800602759918,0.0426486230416728
144,144,12,12,0.017361111111111105,11,262.2677219884133,0.5764295684901278,151.1788698146699,157.91367041742973,6.734800602759833,0.04264862304167226
144,144,12,12,0.017361111111111105,12,262.26772198841354,0.5764295684901278,151.17886981467004,157.91367041742973,6.734800602759691,0.042648623041671364
144,144,12,12,0.017361111111111105,13,327.4794897341437,0.5764295684901278,188.7688609568197,197.39208802178717,8.623227064967466,0.043685778651957295
144,144,12,12,0.017361111111111105,14,327.4794897341439,0.5764295684901278,188.76886095681982,197.39208802178717,8.623227064967352,0.04368577865195672
