run,family,N_side,N_nodes,extent,L,a,invL2,eta_edge,source_width,pulse_sigma,status,c_edge,meff2,R2_disp,plus_corr,cross_corr,mean_corr,plus_low25_energy,cross_low25_energy,mean_low25_energy,plus_k_weighted,cross_k_weighted,mean_k_weighted,plus_packet_v,cross_packet_v,plus_packet_R2,cross_packet_R2,plus_group_velocity,cross_group_velocity,source_csv,ell,cutoff,lambda1_comb,lambda1_norm,lambda1_rw,degree_min,degree_mean,degree_max,lambda1_comb_phys,lambda1_norm_phys
fixed_N_density_N400_side20_extent0p7_a0p073684_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,0.7,1.4,0.0736842105263157,0.5102040816326532,1.0,0.12,0.25,ok,1.0000016666834417,0.0016891758878666,0.9999999997438096,0.930977878692822,0.9457063410527492,0.9383421098727855,0.5758494320503302,0.5807542958359627,0.5783018639431465,6.740146774879969,6.6697061173872925,6.704926446133631,,2.028519458322603,0.5433773140605676,0.0063724789872944,0.9999830760864924,0.9999826813429944,papers/paper22_bup_gravitational_waves/results/mass_gap_v13_fixedN_density/results/mass_gap_v13_summary.csv,0.22,0.45,2.4752799125099045,0.10447941004331973,0.10447941004331973,10.553762990629442,26.64755694397968,33.50850171304883,455.90614715106005,19.24340154369312
fixed_N_density_N400_side20_extent1p0_a0p105263_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,1.0,2.0,0.1052631578947368,0.25,1.0,0.12,0.25,ok,1.000002805944187,0.0019059068768038,0.9999999995490312,0.9948830735255484,0.9949220040018344,0.9949025387636912,0.0832912387155617,0.0935874249090245,0.0884393318122931,6.117665545286248,6.19963958090542,6.158652563095834,,,0.027284473771156,0.0665269519019212,0.9999773445362332,0.9999780133810964,papers/paper22_bup_gravitational_waves/results/mass_gap_v13_fixedN_density/results/mass_gap_v13_summary.csv,0.22,0.45,0.6571890214032142,0.05185052925986099,0.05185052925986099,5.437686500306938,13.775626419887407,16.193446582317854,59.31130918164014,4.679510265702459
fixed_N_density_N400_side20_extent1p4_a0p147368_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,1.4,2.8,0.1473684210526315,0.1275510204081633,1.0,0.12,0.25,ok,1.0000134660397697,0.0018903112982697,0.9999999980872328,0.9998512258037314,0.9998449281411844,0.999848076972458,0.0076766012834477,0.0052090310661832,0.0064428161748155,4.769207762287417,4.769989027402663,4.76959839484504,,0.1193918040786723,0.0435385621621591,0.5643343298423602,0.9999719153790768,0.9999719289880812,papers/paper22_bup_gravitational_waves/results/mass_gap_v13_fixedN_density/results/mass_gap_v13_summary.csv,0.22,0.45,0.1630186217881282,0.02554885694914466,0.02554885694914466,2.8008730540470808,6.760036282423675,7.572495136215275,7.5063421512135635,1.1764205814593407
fixed_N_density_N400_side20_extent2p0_a0p210526_eta1p0_sw0p12_ps0p25,fixed_N_density,20,400,2.0,4.0,0.2105263157894736,0.0625,1.0,0.12,0.25,ok,1.0000223453192372,0.0019958859057322,0.9999999878841704,0.9986870399559304,0.9993792084246604,0.9990331241902954,0.0009711576797268,0.0001661105037443,0.0005686340917356,3.088700914329764,3.270550845192002,3.179625879760883,0.3976390511352845,0.1191661217838386,0.1709029180640431,0.9155436074394436,0.9999177586906932,0.9999290642679968,papers/paper22_bup_gravitational_waves/results/mass_gap_v13_fixedN_density/results/mass_gap_v13_summary.csv,0.22,0.45,0.03595500387371848,0.012786881978571439,0.012786881978571439,1.3215320038668448,2.923243283408259,3.159828914752768,0.8112347749007739,0.28850402464151836
fixed_density_N121_side11_extent0p5263157895_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,11,121,0.5263157895,1.052631579,0.1052631579,0.90249999990975,1.0,0.12,0.25,ok,1.0000084218725176,0.0015482437138481,0.9999999991485276,0.9970971099291834,0.9958561108266668,0.996476610377925,0.1010392483054456,0.0843339142214204,0.092686581263433,6.089885296623264,6.102378310400253,6.096131803511758,0.0675740594009017,,0.1879187467720117,0.2097894155778712,0.9999875494023304,0.9999876347739686,papers/paper22_bup_gravitational_waves/results/mass_gap_v14_fixed_density/results/mass_gap_v14_summary.csv,0.22,0.45,1.8798717452463523,0.18321708476790802,0.18321708476790802,5.437686500001933,11.92635288805609,16.193446581355428,169.65842499151745,16.535341898650163
fixed_density_N256_side16_extent0p78947368425_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,16,256,0.78947368425,1.5789473685,0.1052631579,0.401111111071,1.0,0.12,0.25,ok,1.0000053414275172,0.0017617479380778,0.999999999405986,0.9968056215899592,0.9967981213823246,0.996801871486142,0.0360419017756493,0.0346803778665699,0.0353611398211096,6.668020846153804,6.708392883050756,6.6882068646022805,0.3914452424490577,0.0959275157826262,0.0870509955025478,0.4692222806214134,0.9999855305071192,0.9999857682323496,papers/paper22_bup_gravitational_waves/results/mass_gap_v14_fixed_density/results/mass_gap_v14_summary.csv,0.22,0.45,0.9899973838327087,0.0833047491565031,0.0833047491565031,5.437686500001935,13.198258355626209,16.193446581355428,89.34726388196724,7.518253610622579
fixed_density_N400_side20_extent1p00000000005_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,20,400,1.00000000005,2.0000000001,0.1052631579,0.249999999975,1.0,0.12,0.25,ok,1.000002805944184,0.001905906877181,0.9999999995490312,0.994883073526219,0.994922004002912,0.9949025387645656,0.0832912386909921,0.0935874248862385,0.0884393317886153,6.117665545340631,6.199639580924622,6.158652563132627,,,0.027284473771156,0.0665269519019212,0.9999773445362256,0.9999780133810884,papers/paper22_bup_gravitational_waves/results/mass_gap_v14_fixed_density/results/mass_gap_v14_summary.csv,0.22,0.45,0.6571890213528451,0.05185052925882836,0.05185052925882836,5.437686500001934,13.775626419093806,16.19344658135543,59.31130917116313,4.6795102651413085
fixed_density_N625_side25_extent1p2631578948_a0p105263_eta1p0_sw0p12_ps0p25,fixed_density,25,625,1.2631578948,2.5263157896,0.1052631579,0.1566840277621093,1.0,0.12,0.25,ok,0.9999998673476856,0.0020426547550899,0.9999999997395356,0.995173999084008,0.993905606165478,0.994539802624743,0.1041700236313083,0.1374061589265697,0.120788091278939,6.21078453717436,5.946600068342361,6.078692302758361,,0.2305931165498458,0.1527439841679848,0.3249574778190749,0.9999733911962048,0.9999709865786234,papers/paper22_bup_gravitational_waves/results/mass_gap_v14_fixed_density/results/mass_gap_v14_summary.csv,0.22,0.45,0.43125656102030163,0.03233744234467717,0.03233744234467717,5.437686500001934,14.245321919272055,16.19344658135543,38.92090462819013,2.918454171315269
