name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,ds_mean,dw_mean,alpha_eff_mean,ds_fit_r2,dw_fit_r2,ds_n_fit,dw_n_fit,sersic_n_used_dim,sersic_n_source_dim,q_used_dim,xi_used_dim,amp_mode_dim,amp_used_dim
J0008-0004,37.469,12.530029500170716,-1.0953858011639404,9.723,4.0,11.640000343322754,4.365161773191001,1.7892131127149076,0.999996658127392,0.0017882201169334,12.523939173861114,-1.095871977746086,J0008-0004,4.15,4.15,measured,0.0091153906227673,1.095871977746086,1.688172500963183,4.773212771721781,1.4805654843284852,0.8884730657111632,0.7471621538890443,39,25,4.15,sersic_n_final,1.0,3.40305,shape,1.0
J0029-0055,12.661,11.693642341411865,-0.0794810980469624,7.858,4.0,11.579999923706056,3.801893295314423,1.789213112714907,0.9999966581273918,0.001788220116933,11.688564260099072,-0.079915452381365,J0029-0055,3.1500000000000004,3.1500000000000004,measured,0.0083253380787237,0.079915452381365,1.688596310598841,4.759018290356994,1.4686588958660654,0.8884325113667036,0.7471279902231243,39,25,3.1500000000000004,sersic_n_final,1.0,2.7502999999999997,shape,1.0
J0037-0942,16.012,13.897830735859442,-0.1416056753410242,5.823,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273918,0.0017882201169332,13.907776363968216,-0.1408903067826461,J0037-0942,5.133333333333334,5.133333333333334,measured,0.0090854748207059,0.1408903067826461,1.6879567036508476,4.784680474488862,1.4902476331113697,0.8884935049111845,0.7469848598673816,39,25,5.133333333333334,sersic_n_final,1.0,2.03805,shape,1.0
J0044+0113,3.721,10.302586251892478,1.0184025067692537,4.154,4.0,11.470000267028809,2.951211041237279,1.7892131127149071,0.9999966581273918,0.0017882201169329,10.31001658234329,1.0191234570376306,J0044+0113,3.75,3.75,measured,0.0089574523705581,-1.0191234570376306,1.6883060113655683,4.767823518569889,1.4760317837415737,0.8884603344580722,0.7471941150378951,39,25,3.75,sersic_n_final,1.0,1.4539,shape,1.0
J0157-0056,30.258,14.058904628550357,-0.7665046359059735,11.385,4.0,11.739999771118164,5.495405842387226,1.7892131127149071,0.9999966581273916,0.0017882201169332,14.05190646156213,-0.7670025345336837,J0157-0056,3.0,3.0,measured,0.0080455196108306,0.7670025345336837,1.6886938704693657,4.756723439446992,1.4667474263221632,0.8884231301745784,0.747074268828308,39,25,3.0,sersic_n_final,1.0,3.9847499999999996,shape,1.0
J0216-0813,26.386,19.63126136425356,-0.2957103032710333,11.452,4.0,12.029999732971191,10.715186464071412,1.7892131127149071,0.9999966581273916,0.0017882201169331,19.62380774334562,-0.2960900565700064,J0216-0813,5.8,5.8,measured,0.0088751325492219,0.2960900565700064,1.687863520004441,4.791156672794799,1.4957312193081655,0.8885022525330306,0.7468398482230054,39,25,5.8,sersic_n_final,1.0,4.0081999999999995,shape,1.0
J0252+0039,18.674,10.18469663106502,-0.6062459186817049,5.899,4.0,11.460000038146973,2.8840317564502844,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.180890605901787,-0.6066196889210067,J0252+0039,3.35,3.35,measured,0.0085885603812838,0.6066196889210067,1.6884840082946173,4.762034011041728,1.4711780467120024,0.8884432931372854,0.7471719649221217,39,25,3.35,sersic_n_final,1.0,2.06465,shape,1.0
J0330-0020,26.972,11.69357844405934,-0.8357594506774846,4.504,4.0,11.579999923706056,3.801893295314423,1.7892131127149071,0.999996658127392,0.0017882201169328,11.702021527490963,-0.8350376838659108,J0330-0020,2.85,2.85,measured,0.0077416824833234,0.8350376838659108,1.688805299100871,4.754419231568249,1.4648342020814056,0.8884124014000485,0.7469976027166564,39,25,2.85,sersic_n_final,1.0,1.5763999999999998,shape,1.0
J0728+3835,14.216,13.272352005935884,-0.0686850158674614,6.011,4.0,11.6899995803833,4.897783461428336,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.281699722793045,-0.0679809638200539,J0728+3835,3.1500000000000004,3.1500000000000004,measured,0.0083253380787269,0.0679809638200539,1.6885963105988413,4.759018290356994,1.4686588958660654,0.8884325113667036,0.7471279902231245,39,25,3.1500000000000004,sersic_n_final,1.0,2.10385,shape,1.0
J0737+3216,21.785,18.1112446823946,-0.1846886610245066,8.415,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.123959516387348,-0.1839868664688668,J0737+3216,4.566666666666666,4.566666666666666,measured,0.0091639613174173,0.1839868664688668,1.688065796983845,4.7783738014892485,1.4849178548061888,0.8884831980811491,0.7470975307061554,39,25,4.566666666666666,sersic_n_final,1.0,2.9452499999999997,shape,1.0
J0822+2652,16.934,13.27234315362485,-0.2436410272092062,6.926,4.0,11.6899995803833,4.897783461428336,1.7892131127149076,0.999996658127392,0.0017882201169334,13.26801455856834,-0.2439672168666202,J0822+2652,3.85,3.85,measured,0.009010033581788,0.2439672168666202,1.6882691204028875,4.769210322132239,1.4771971821657424,0.8884638573474813,0.747190000885399,39,25,3.85,sersic_n_final,1.0,2.4240999999999997,shape,1.0
J0841+3824,6.218,12.675044145686796,0.7121867207289594,8.844,4.0,11.649999618530272,4.466831997992276,1.7892131127149071,0.999996658127392,0.001788220116933,12.669370534721166,0.7117389999090513,J0841+3824,4.05,4.05,measured,0.0091004436738303,-0.7117389999090513,1.6882025763851611,4.771905275460239,1.4794644070577698,0.8884702024188355,0.7471736531927975,39,25,4.05,sersic_n_final,1.0,3.0953999999999997,shape,1.0
J0912+0029,12.89,18.11130150197408,0.3400843188431066,11.286,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.10393876936026,0.3396777092135639,J0912+0029,4.966666666666666,4.966666666666666,measured,0.0091229702730837,-0.3396777092135639,1.6879853433453356,4.782906905983801,1.4887476745898267,0.8884908051607168,0.7470197416748001,39,25,4.966666666666666,sersic_n_final,1.0,3.9500999999999995,shape,1.0
J0935-0003,20.926,18.11126926009622,-0.144458049373878,10.561,4.0,11.960000038146973,9.120109194638909,1.789213112714907,0.999996658127392,0.0017882201169329,18.10440432934307,-0.1448371631748912,J0935-0003,3.35,3.35,measured,0.0085885603812804,0.1448371631748912,1.6884840082946173,4.7620340110417265,1.4711780467120015,0.8884432931372854,0.7471719649221218,39,25,3.35,sersic_n_final,1.0,3.69635,shape,1.0
J0936+0913,10.933,13.120446372218384,0.1823860667575783,6.687,4.0,11.68000030517578,4.786304286528679,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.116307414594004,0.18207055839154,J0936+0913,4.300000000000001,4.300000000000001,measured,0.0091387687815895,-0.18207055839154,1.688130876343851,4.775123805220026,1.4821759970389845,0.8884770234503515,0.7471415994026502,39,25,4.300000000000001,sersic_n_final,1.0,2.34045,shape,1.0
