tau,d_s
0.01,0.199047052203589
0.01123654800138751,0.21121634858352678
0.012626001098748564,0.237023085819267
0.014187266741165962,0.2659377760464494
0.01594159037455999,0.2983222711723741
0.01791284454622004,0.3345770046494252
0.020127853758499396,0.3751440300010316
0.022616759492228647,0.4205099309398719
0.025413430367026365,0.4712084333890587
0.028555923019901074,0.5278224790127624
0.032086999973704504,0.5909854233474192
0.03605471154250502,0.6613808899770461
0.04051304969235382,0.7397406327639118
0.045522682755073096,0.8268395138596034
0.051151780992931425,0.9234863733590402
0.05747694424835353,1.0305091174345407
0.06458424430196978,1.148731748535262
0.07257039612324216,1.278940260562642
0.08154407395185162,1.4218332806975127
0.09162739011886736,1.5779520317864453
0.10295755673125127,1.7475826459738926
0.1156887528316282,1.9306222545168907
0.12999422244132455,2.1263990932894217
0.1460686320364989,2.3334372008785635
0.1641307195375129,2.549160386667751
0.18442627085855348,2.7695421211718525
0.20723146452190294,2.988734508825665
0.23285662984981953,3.198759292292756
0.2616504698748821,3.389423367471217
0.29400480643347093,3.548721448052845
0.33035991201283377,3.6640585645488883
0.3712105009066361,3.7245453280890253
0.4171124612056518,3.724224747521312
0.46869041923141924,3.665334566520251
0.5266462393484278,3.5599509528866307
0.5917685748188821,3.4284086568914525
0.6649435996665045,3.294328083457902
0.7471670675868078,3.178209928167746
0.8395578619995112,3.092595016279855
0.9433732216299774,3.0406991835078614
1.0600258488068823,3.018212902476538
1.1911031332830067,3.016457415401298
1.3383887531737564,3.0251039102552717
1.5038869469554101,3.0336097753652407
1.689849786812457,3.031486015550362
1.8988078244652633,3.0080151905471677
2.133604526501411,2.952111628947975
2.3974349678010762,2.852861011553645
2.6938893095901726,2.7010296333712835
3.0270016537634614,2.4914815885174946
3.401304938279253,2.2259273793928376
3.8218926206331187,1.9148639508379612
4.294487988789272,1.5773676759717543
4.825522042741279,1.2380382186432601
5.422221006501586,0.9217889868929496
6.092704661368674,0.6484458189908943
6.846096838574658,0.4292363881772806
7.692649574879138,0.26615150573724244
8.643882620598271,0.15375356333851048
9.712740198471169,0.08221538926405128
10.913767146512727,0.04037745199098578
12.26330684177563,0.018048910437214682
13.779723598335568,0.007267712216068623
15.48365256585499,0.0026056507278029374
17.39828052930364,0.0008209876940987966
19.549661430912597,0.00022403492775827858
21.967070907932353,5.208823991306334e-05
24.683404670686485,1.0129842195638079e-05
27.73562614198415,1.613865753032473e-06
31.165269449294303,2.0573761799308424e-07
35.01900461431709,2.0435194250748768e-08
39.349272630958495,1.534577113527886e-09
44.21499907374487,8.418667983259475e-11
49.68239594734388,3.239634015698469e-12
55.82586268862695,2.1807060246769627e-13
62.728998581962436,4.951821540751527e-14
70.48574036451903,-8.856142370958727e-14
79.20164050192548,7.237277636482481e-14
88.99530352885225,3.80909349288556e-14
100.0,-3.809093492885497e-14
