0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.3077365245195682,0.18887560283756183,0.30773652451956807,0.18887560283756186,0.07170237674403068,0.035673993347252395,0.07170237674403065,0.035673993347252395,0.014275893577959392,0.006737946999085467,0.014275893577959392
0.3077365245195682,0.0,0.3077365245195682,0.18887560283756183,0.07170237674403068,0.18887560283756186,0.07170237674403068,0.035673993347252395,0.014275893577959392,0.035673993347252395,0.014275893577959392,0.006737946999085467
0.18887560283756183,0.3077365245195682,0.0,0.3077365245195682,0.035673993347252395,0.07170237674403068,0.18887560283756186,0.07170237674403068,0.006737946999085467,0.014275893577959392,0.035673993347252395,0.014275893577959392
0.30773652451956807,0.18887560283756183,0.3077365245195682,0.0,0.07170237674403068,0.035673993347252395,0.07170237674403068,0.18887560283756186,0.014275893577959392,0.006737946999085467,0.014275893577959392,0.035673993347252395
0.18887560283756186,0.07170237674403068,0.035673993347252395,0.07170237674403068,0.0,0.02914319311124245,0.006737946999085467,0.02914319311124244,0.18887560283756177,0.007757256283378927,0.0012726338013398079,0.007757256283378927
0.07170237674403068,0.18887560283756186,0.07170237674403068,0.035673993347252395,0.02914319311124245,0.0,0.029143193111242464,0.006737946999085467,0.007757256283378927,0.18887560283756177,0.007757256283378927,0.0012726338013398079
0.035673993347252395,0.07170237674403068,0.18887560283756186,0.07170237674403068,0.006737946999085467,0.029143193111242464,0.0,0.02914319311124245,0.0012726338013398079,0.007757256283378927,0.18887560283756177,0.007757256283378934
0.07170237674403065,0.035673993347252395,0.07170237674403068,0.18887560283756186,0.02914319311124244,0.006737946999085467,0.02914319311124245,0.0,0.00775725628337892,0.0012726338013398079,0.007757256283378934,0.18887560283756177
0.035673993347252395,0.014275893577959392,0.006737946999085467,0.014275893577959392,0.18887560283756177,0.007757256283378927,0.0012726338013398079,0.00775725628337892,0.0,0.002759911928053126,0.00024036947641951407,0.002759911928053124
0.014275893577959392,0.035673993347252395,0.014275893577959392,0.006737946999085467,0.007757256283378927,0.18887560283756177,0.007757256283378927,0.0012726338013398079,0.002759911928053126,0.0,0.002759911928053126,0.00024036947641951407
0.006737946999085467,0.014275893577959392,0.035673993347252395,0.014275893577959392,0.0012726338013398079,0.007757256283378927,0.18887560283756177,0.007757256283378934,0.00024036947641951407,0.002759911928053126,0.0,0.002759911928053126
0.014275893577959392,0.006737946999085467,0.014275893577959392,0.035673993347252395,0.007757256283378927,0.0012726338013398079,0.007757256283378934,0.18887560283756177,0.002759911928053124,0.00024036947641951407,0.002759911928053126,0.0
