G_proxy,T_proxy,n,pearson_r,pearson_p,spearman_r,spearman_p,score_mean_r,abs_pearson,abs_spearman
G_minus_kappa_plus_halfR,T_abs_lap_only,254,0.2555054806364843,3.7788158088913676e-05,0.2922950711487317,2.1440824664621552e-06,0.273900275892608,0.2555054806364843,0.2922950711487317
minus_kappa,T_abs_lap_only,254,0.19166235891512137,0.002154810063783466,0.2871180419078728,3.292895236087362e-06,0.2393902004114971,0.19166235891512137,0.2871180419078728
G_minus_kappa_plus_halfR,T_grad2_plus_abslap,254,0.025641398795277156,0.6842225670829064,0.41445801528137033,5.7823069021484195e-12,0.22004970703832374,0.025641398795277156,0.41445801528137033
minus_kappa,T_grad2_plus_abslap,254,0.013700985790558907,0.8279816131632112,0.3750424313727541,6.634952081906045e-10,0.1943717085816565,0.013700985790558907,0.3750424313727541
G_kappa_plus_halfR,T_minus_lap_only,254,0.23183290685102723,0.0001933928300727931,0.12204733435415085,0.05204164756020101,0.17694012060258904,0.23183290685102723,0.12204733435415085
G_minus_kappa_minus_halfR,T_lap_only,254,0.23183290685102723,0.0001933928300727931,0.12204733435415085,0.05204164756020101,0.17694012060258904,0.23183290685102723,0.12204733435415085
minus_R_edge,T_lap_only,254,0.19203347474171023,0.0021115619914815476,0.13909175025520354,0.02664980133476984,0.16556261249845688,0.19203347474171023,0.13909175025520354
R_edge,T_minus_lap_only,254,0.19203347474171023,0.0021115619914815476,0.13909175025520354,0.02664980133476984,0.16556261249845688,0.19203347474171023,0.13909175025520354
G_minus_kappa_plus_halfR,T_grad2_minus_lap,254,0.025641398795277145,0.6842225670829064,0.28216062118307556,4.926961437295456e-06,0.15390100998917636,0.025641398795277145,0.28216062118307556
R_edge,T_abs_lap_only,254,0.12204022633273093,0.052055428887046645,0.15819537881869736,0.011579660848832324,0.14011780257571416,0.12204022633273093,0.15819537881869736
G_minus_kappa_plus_halfR,T_grad2_plus_lap,254,0.02564139879527716,0.6842225670829064,0.24721387027843864,6.819510826579312e-05,0.1364276345368579,0.02564139879527716,0.24721387027843864
R_edge,T_grad2_minus_lap,254,0.03690772977295299,0.5582044195049969,0.23360988761423268,0.00017204546669948926,0.13525880869359283,0.03690772977295299,0.23360988761423268
minus_kappa,T_grad2_plus_lap,254,0.013700985790558907,0.8279816131632112,0.23419815489419188,0.00016547832205181427,0.12394957034237539,0.013700985790558907,0.23419815489419188
G_minus_kappa_plus_halfR,T_abs_grad_plus_abslap,254,0.029853466680714872,0.635824582556598,0.208666066008531,0.0008195802380690988,0.11925976634462293,0.029853466680714872,0.208666066008531
minus_kappa,T_lap_only,254,0.22784024670805622,0.000250703425995401,-0.008350972276248434,0.8946375156501442,0.1097446372159039,0.22784024670805622,0.008350972276248434
kappa,T_minus_lap_only,254,0.22784024670805622,0.000250703425995401,-0.008350972276248434,0.8946375156501442,0.1097446372159039,0.22784024670805622,0.008350972276248434
minus_kappa,T_grad2_minus_lap,254,0.013700985790558898,0.8279816131632112,0.2037513950988542,0.0010924427817696008,0.10872619044470655,0.013700985790558898,0.2037513950988542
G_minus_kappa_plus_halfR,T_grad2_only,254,0.025641398795277152,0.6842225670829064,0.18600379325438568,0.0029222262728776354,0.10582259602483142,0.025641398795277152,0.18600379325438568
R_edge,T_grad2_plus_abslap,254,0.036907729772952994,0.5582044195049969,0.16434345642731266,0.008686528081410886,0.10062559310013283,0.036907729772952994,0.16434345642731266
minus_kappa,T_abs_grad_plus_abslap,254,0.01735774082187564,0.783091053397726,0.17509473906066533,0.005135048757605347,0.09622623994127048,0.01735774082187564,0.17509473906066533
minus_kappa,T_grad2_only,254,0.013700985790558904,0.8279816131632112,0.14456847410070187,0.021177854029784084,0.07913472994563038,0.013700985790558904,0.14456847410070187
G_minus_kappa_minus_halfR,T_grad2_plus_lap,254,0.0046373927395292145,0.9413734488376624,0.13668624833876547,0.0294129386379809,0.07066182053914734,0.0046373927395292145,0.13668624833876547
R_edge,T_abs_grad_plus_abslap,254,0.03670395149542773,0.5603810097712116,0.08945262775551568,0.15518320298121435,0.06307828962547171,0.03670395149542773,0.08945262775551568
R_edge,T_grad2_only,254,0.03690772977295298,0.5582044195049969,0.08802687847253036,0.16189864814359373,0.06246730412274167,0.03690772977295298,0.08802687847253036
G_kappa_minus_halfR,T_minus_lap_only,254,0.21550168777140127,0.0005435669365213094,-0.10465116717255848,0.09607022927177238,0.055425260299421394,0.21550168777140127,0.10465116717255848
G_minus_kappa_plus_halfR,T_lap_only,254,0.21550168777140127,0.0005435669365213094,-0.10465116717255848,0.09607022927177238,0.055425260299421394,0.21550168777140127,0.10465116717255848
G_minus_kappa_minus_halfR,T_abs_grad_plus_abslap,254,0.007805582968628774,0.9014824925293847,0.09686636195800469,0.12360807576990174,0.052335972463316734,0.007805582968628774,0.09686636195800469
G_minus_kappa_minus_halfR,T_grad2_only,254,0.00463739273952921,0.9413734488376624,0.0916068555088527,0.14543835038252007,0.04812212412419095,0.00463739273952921,0.0916068555088527
G_minus_kappa_minus_halfR,T_abs_lap_only,254,0.14057204963254558,0.02506265713629323,-0.04829227404248713,0.44349593484792404,0.04613988779502923,0.14057204963254558,0.04829227404248713
R_edge,T_grad2_plus_lap,254,0.03690772977295298,0.5582044195049969,0.037450691010647845,0.5524249868468479,0.037179210391800416,0.03690772977295298,0.037450691010647845
G_minus_kappa_minus_halfR,T_grad2_plus_abslap,254,0.004637392739529212,0.9413734488376624,0.05273057962980832,0.40269130682767057,0.028683986184668768,0.004637392739529212,0.05273057962980832
G_kappa_plus_halfR,T_grad2_minus_lap,254,-0.004637392739529206,0.9413734488376624,0.02826827179021154,0.6538720689280966,0.011815439525341167,0.004637392739529206,0.02826827179021154
