G_proxy,T_proxy,n_files,pearson_mean,pearson_median,pearson_frac_pos,spearman_mean,spearman_median,spearman_frac_pos,score
G_minus_kappa_plus_halfR,T_grad2_plus_abslap,8,0.7068886152724911,0.983006638009011,0.875,0.597594307752003,0.721331096429187,1.0,0.752205164365673
minus_kappa,T_grad2_plus_abslap,8,0.6788593604302604,0.99999999999998,0.875,0.5987579578517301,0.6314458716916159,1.0,0.7272657974933967
G_minus_kappa_minus_halfR,T_grad2_plus_lap,8,0.7026217509961578,0.9900402706263522,0.875,0.37142108553441966,0.3901694233663162,1.0,0.6135631326308115
minus_kappa,T_grad2_plus_lap,8,0.7043530216561444,0.99999999999998,0.875,0.3589567475205939,0.3211960420815827,1.0,0.5961264528145752
G_minus_kappa_plus_halfR,T_grad2_plus_lap,8,0.6873730234920461,0.983006638009011,1.0,0.37122088407115034,0.3108623282368637,1.0,0.5881157184522677
minus_kappa,T_abs_grad_plus_abslap,8,0.5220363079067035,0.9999999999999398,0.625,0.2694648003077102,0.36937459145859397,0.75,0.5402189249182369
G_minus_kappa_plus_halfR,T_grad2_minus_lap,8,0.44572319606393107,0.983006638009011,0.625,0.3595499790749567,0.33278599694493843,0.75,0.5302664525232093
minus_kappa,T_grad2_only,8,0.5433438532847968,0.99999999999998,0.625,0.1970569097711437,0.3349583689131984,0.625,0.5188397829922797
G_minus_kappa_minus_halfR,T_abs_grad_plus_abslap,8,0.5226474814815085,0.9900402615035828,0.625,0.2688245741442499,0.28395092797258653,0.875,0.516365811275482
minus_kappa,T_grad2_minus_lap,8,0.4415146363964144,0.99999999999998,0.625,0.2739545225899086,0.3417129269173764,0.75,0.5142955214759198
G_minus_kappa_plus_halfR,T_grad2_only,8,0.5251209406624164,0.983006638009011,0.625,0.22841217612026146,0.29864495877158936,0.625,0.5087961783908196
G_minus_kappa_plus_halfR,T_abs_grad_plus_abslap,8,0.5065277673117663,0.9830066500692195,0.625,0.2763455228732755,0.2690898390719182,0.75,0.5087424448315448
G_minus_kappa_minus_halfR,T_grad2_only,8,0.5455968966633702,0.9900402706263524,0.625,0.2647131033172482,0.2300772933236112,1.0,0.5076068909826454
G_minus_kappa_minus_halfR,T_grad2_plus_abslap,8,0.6436973598476787,0.9900402706263522,0.875,0.11371823923570751,0.17125178813904124,0.625,0.4796769144621949
minus_R_edge,T_grad2_plus_lap,8,0.478364217731343,0.6308122142757961,0.875,0.30717935423727516,0.31374912642298763,0.75,0.4325262281668505
G_minus_kappa_minus_halfR,T_grad2_minus_lap,8,0.4287937124822481,0.9900402706263524,0.625,-0.027781350537419286,0.181307008262846,0.625,0.3930899102085068
minus_R_edge,T_grad2_only,8,0.3807148793257771,0.6308122142757961,0.75,0.1941282640878671,0.23499453194027337,0.75,0.36016247240742844
minus_R_edge,T_abs_grad_plus_abslap,8,0.3556091439209805,0.6308122181595381,0.75,0.20567987650854716,0.18260212841677453,0.75,0.3436758417514601
minus_R_edge,T_lap_only,8,0.1679639361548546,0.3144093919017939,0.625,0.20899119934880642,0.27667306527624747,0.75,0.2420093981704256
R_edge,T_minus_lap_only,8,0.1679639361548546,0.3144093919017939,0.625,0.20899119934880642,0.27667306527624747,0.75,0.2420093981704256
minus_kappa,T_abs_lap_only,8,0.11567227324988852,0.079671903796104,0.75,0.3534652676008355,0.3890988727200282,0.875,0.23447707934171405
minus_R_edge,T_grad2_plus_abslap,8,0.2715946461077602,0.6308122142757961,0.625,-0.022033160284411712,-0.09096099553188088,0.375,0.19735317614181594
G_kappa_plus_halfR,T_minus_lap_only,8,0.09779283455235173,0.22265869344946757,0.625,0.14824447204746755,0.2549130088046183,0.5,0.18090225221347628
G_minus_kappa_minus_halfR,T_lap_only,8,0.09779283455235173,0.22265869344946757,0.625,0.14824447204746755,0.2549130088046183,0.5,0.18090225221347628
minus_R_edge,T_grad2_minus_lap,8,0.22070253876126208,0.6308122142757961,0.625,-0.20173669901369432,-0.13809197193138673,0.375,0.12792152052299433
G_minus_kappa_plus_halfR,T_abs_lap_only,8,0.12902668963870995,0.10387938356038179,0.75,0.18070481495976068,0.08126467390611135,0.75,0.12371889051624094
G_minus_kappa_minus_halfR,T_abs_lap_only,8,0.10432979498691305,0.11322604835438119,0.75,0.12215973558077506,0.042997129627749195,0.5,0.09567817713745462
kappa,T_minus_lap_only,8,0.08023911099359564,0.15896933298506213,0.625,0.002468176441964273,0.028029734902400478,0.5,0.06742658883075563
minus_kappa,T_lap_only,8,0.08023911099359564,0.15896933298506213,0.625,0.002468176441964273,0.028029734902400478,0.5,0.06742658883075563
G_minus_kappa_plus_halfR,T_lap_only,8,0.056266739429345874,0.0741063189792046,0.625,-0.043647332048210793,-0.01907702622861839,0.5,0.01691217503293032
G_kappa_minus_halfR,T_minus_lap_only,8,0.056266739429345874,0.0741063189792046,0.625,-0.043647332048210793,-0.01907702622861839,0.5,0.01691217503293032
minus_R_edge,T_abs_lap_only,8,0.02760189365552712,0.10338789624038305,0.625,-0.013880077235276018,-0.07009941170236728,0.375,0.011752575239566722
R_edge,T_abs_lap_only,8,-0.02760189365552712,-0.10338789624038305,0.375,0.013880077235276018,0.07009941170236728,0.625,-0.011752575239566722
G_minus_kappa_plus_halfR,T_minus_lap_only,8,-0.056266739429345874,-0.0741063189792046,0.375,0.043647332048210793,0.01907702622861839,0.5,-0.01691217503293032
G_kappa_minus_halfR,T_lap_only,8,-0.056266739429345874,-0.0741063189792046,0.375,0.043647332048210793,0.01907702622861839,0.5,-0.01691217503293032
kappa,T_lap_only,8,-0.08023911099359564,-0.15896933298506213,0.375,-0.002468176441964273,-0.028029734902400478,0.5,-0.06742658883075563
minus_kappa,T_minus_lap_only,8,-0.08023911099359564,-0.15896933298506213,0.375,-0.002468176441964273,-0.028029734902400478,0.5,-0.06742658883075563
G_kappa_plus_halfR,T_abs_lap_only,8,-0.10432979498691305,-0.11322604835438119,0.25,-0.12215973558077506,-0.042997129627749195,0.5,-0.09567817713745462
G_kappa_minus_halfR,T_abs_lap_only,8,-0.12902668963870995,-0.10387938356038179,0.25,-0.18070481495976068,-0.08126467390611135,0.25,-0.12371889051624094
R_edge,T_grad2_minus_lap,8,-0.22070253876126208,-0.6308122142757961,0.375,0.20173669901369432,0.13809197193138673,0.625,-0.12792152052299433
G_minus_kappa_minus_halfR,T_minus_lap_only,8,-0.09779283455235173,-0.22265869344946757,0.375,-0.14824447204746755,-0.2549130088046183,0.5,-0.18090225221347628
G_kappa_plus_halfR,T_lap_only,8,-0.09779283455235173,-0.22265869344946757,0.375,-0.14824447204746755,-0.2549130088046183,0.5,-0.18090225221347628
R_edge,T_grad2_plus_abslap,8,-0.2715946461077602,-0.6308122142757961,0.375,0.022033160284411712,0.09096099553188088,0.625,-0.19735317614181594
kappa,T_abs_lap_only,8,-0.11567227324988852,-0.079671903796104,0.25,-0.3534652676008355,-0.3890988727200282,0.125,-0.23447707934171405
R_edge,T_lap_only,8,-0.1679639361548546,-0.3144093919017939,0.375,-0.20899119934880642,-0.27667306527624747,0.25,-0.2420093981704256
minus_R_edge,T_minus_lap_only,8,-0.1679639361548546,-0.3144093919017939,0.375,-0.20899119934880642,-0.27667306527624747,0.25,-0.2420093981704256
R_edge,T_abs_grad_plus_abslap,8,-0.3556091439209805,-0.6308122181595381,0.25,-0.20567987650854716,-0.18260212841677453,0.25,-0.3436758417514601
R_edge,T_grad2_only,8,-0.3807148793257771,-0.6308122142757961,0.25,-0.1941282640878671,-0.23499453194027337,0.25,-0.36016247240742844
G_kappa_plus_halfR,T_grad2_minus_lap,8,-0.4287937124822481,-0.9900402706263524,0.375,0.027781350537419286,-0.181307008262846,0.375,-0.3930899102085068
R_edge,T_grad2_plus_lap,8,-0.478364217731343,-0.6308122142757961,0.125,-0.30717935423727516,-0.31374912642298763,0.25,-0.4325262281668505
G_kappa_plus_halfR,T_grad2_plus_abslap,8,-0.6436973598476787,-0.9900402706263522,0.125,-0.11371823923570751,-0.17125178813904124,0.375,-0.4796769144621949
G_kappa_plus_halfR,T_grad2_only,8,-0.5455968966633702,-0.9900402706263524,0.375,-0.2647131033172482,-0.2300772933236112,0.0,-0.5076068909826454
G_kappa_minus_halfR,T_abs_grad_plus_abslap,8,-0.5065277673117663,-0.9830066500692195,0.375,-0.2763455228732755,-0.2690898390719182,0.25,-0.5087424448315448
G_kappa_minus_halfR,T_grad2_only,8,-0.5251209406624164,-0.983006638009011,0.375,-0.22841217612026146,-0.29864495877158936,0.375,-0.5087961783908196
kappa,T_grad2_minus_lap,8,-0.4415146363964144,-0.99999999999998,0.375,-0.2739545225899086,-0.3417129269173764,0.25,-0.5142955214759198
G_kappa_plus_halfR,T_abs_grad_plus_abslap,8,-0.5226474814815085,-0.9900402615035828,0.375,-0.2688245741442499,-0.28395092797258653,0.125,-0.516365811275482
kappa,T_grad2_only,8,-0.5433438532847968,-0.99999999999998,0.375,-0.1970569097711437,-0.3349583689131984,0.375,-0.5188397829922797
G_kappa_minus_halfR,T_grad2_minus_lap,8,-0.44572319606393107,-0.983006638009011,0.375,-0.3595499790749567,-0.33278599694493843,0.25,-0.5302664525232093
kappa,T_abs_grad_plus_abslap,8,-0.5220363079067035,-0.9999999999999398,0.375,-0.2694648003077102,-0.36937459145859397,0.25,-0.5402189249182369
