mi_file,N,k,lambda,d_s_heat,alpha_pred,R2_threshold,n,median,mean,std,iqr,cv,delta,q05,q25,q75,q95
MI_N800_d3_lam0p3_k12_seed0.csv,800,12,0.3,2.9640329244211854,0.9640329244211854,0.7,150,0.5467588547111671,0.5594238251505684,0.340771405467952,0.38623302146327537,0.6091471084121677,-0.41727406971001824,0.0987495968503966,0.36886056598242317,0.7550935874456985,1.1463234765044683
MI_N800_d3_lam0p3_k12_seed0.csv,800,12,0.3,2.9640329244211854,0.9640329244211854,0.85,119,0.5333414506992794,0.550505162683588,0.3484390663649819,0.4062350636609352,0.6329442301063762,-0.43069147372190597,0.09544199007582452,0.3352348919360226,0.7414699555969578,1.1420851898432818
