N,k,epsilon,scale_c,n_modes,fit_modes,mean_rel_error,median_rel_error,max_rel_error,mean_abs_error,median_abs_error,degree_mean,degree_std,lambda1_raw,lambda1_scaled
64,8,0.12047856934923533,0.5943794312580916,12,8,0.09367197562684461,0.09522281518518819,0.1851837943950821,1.7259495378287106,0.3771781931144833,6.929468536356708,6.843874359417885e-16,1.8874494598908944,1.121861136498342
128,11,0.04337228496572472,0.3370806781761158,12,8,0.04915765265279434,0.048031822250920064,0.10033777780439163,0.9403361872010411,0.39731849844644884,9.440169828892433,0.2811344850586231,3.1057562837117945,1.0468904343633048
256,16,0.024396910293220136,0.264543652432101,12,8,0.021431316693408965,0.02151567341781608,0.04461222009627224,0.40744879495558545,0.08476915006432018,13.783471718769366,2.3128906185831588e-15,3.880433254489176,1.026543986161551
512,23,0.010843071241431204,0.16544290186776953,12,8,0.010896131679943515,0.009375062796882518,0.024930116534588247,0.2081860113718906,0.06280955076368855,19.699515425928432,0.2738418175575689,6.111598050463494,1.0111205165180834
1024,32,0.005440360397176394,0.127938653693736,12,8,0.00507236949541687,0.005077141451451567,0.0106801271830099,0.09711065938074613,0.01997390469276672,27.4787515995772,4.84062331475946e-15,7.864799504666648,1.0062118601982126
