N,k,epsilon,mode_index,graph_lambda_raw,scale_c,graph_lambda_scaled,target_lambda,abs_error,rel_error
64,8,0.12047856934923533,1,1.8874494598908944,0.5943794312580916,1.121861136498342,1.0,0.12186113649834196,0.12186113649834196
64,8,0.12047856934923533,2,1.8874494598909017,0.5943794312580916,1.1218611364983462,1.0,0.12186113649834618,0.12186113649834618
64,8,0.12047856934923533,3,7.346614991341222,0.5943794312580916,4.366676840225565,4.0,0.3666768402255647,0.09166921005639117
64,8,0.12047856934923533,4,7.346614991341229,0.5943794312580916,4.366676840225569,4.0,0.3666768402255691,0.09166921005639228
64,8,0.12047856934923533,5,15.794085481950463,0.5943794312580916,9.387679546003397,9.0,0.3876795460033975,0.04307550511148861
64,8,0.12047856934923533,6,15.794085481950525,0.5943794312580916,9.387679546003433,9.0,0.387679546003433,0.04307550511149256
64,8,0.12047856934923533,7,26.34099798623279,0.5943794312580916,15.65654740182758,16.0,0.34345259817241924,0.021465787385776203
64,8,0.12047856934923533,8,26.340997986232807,0.5943794312580916,15.656547401827591,16.0,0.3434525981724086,0.021465787385775537
64,8,0.12047856934923533,9,37.90607195888501,0.5943794312580916,22.530589492150362,25.0,2.469410507849638,0.09877642031398551
64,8,0.12047856934923533,10,37.906071958885065,0.5943794312580916,22.530589492150398,25.0,2.4694105078496023,0.09877642031398409
64,8,0.12047856934923533,11,49.351276069039976,0.5943794312580916,29.333383401777045,36.0,6.666616598222955,0.1851837943950821
64,8,0.12047856934923533,12,49.351276069040146,0.5943794312580916,29.333383401777148,36.0,6.666616598222852,0.18518379439507923
128,11,0.04337228496572472,1,3.1057562837117945,0.3370806781761158,1.0468904343633048,1.0,0.046890434363304756,0.046890434363304756
128,11,0.04337228496572472,2,3.1444011888958263,0.3370806781761158,1.0599168852107899,1.0,0.05991688521078986,0.05991688521078986
128,11,0.04337228496572472,3,12.226355960267522,0.3370806781761158,4.121268358709572,4.0,0.12126835870957198,0.030317089677392994
128,11,0.04337228496572472,4,12.450113911190957,0.3370806781761158,4.1966928405541415,4.0,0.1966928405541415,0.04917321013853537
128,11,0.04337228496572472,5,26.806544157227886,0.3370806781761158,9.035968084076371,9.0,0.0359680840763712,0.003996453786263466
128,11,0.04337228496572472,6,27.47620948611594,0.3370806781761158,9.261699327288987,9.0,0.26169932728898715,0.029077703032109683
128,11,0.04337228496572472,7,44.91978964736896,0.3370806781761158,15.141593157863594,16.0,0.8584068421364055,0.053650427633525344
128,11,0.04337228496572472,8,49.047420217203566,0.3370806781761158,16.53293766960391,16.0,0.5329376696039105,0.03330860435024441
128,11,0.04337228496572472,9,69.9088434963467,0.3370806781761158,23.56492037625649,25.0,1.4350796237435084,0.05740318494974034
128,11,0.04337228496572472,10,71.42538778675728,0.3370806781761158,24.076118154152205,25.0,0.9238818458477951,0.036955273833911804
128,11,0.04337228496572472,11,96.08334768485336,0.3370806781761158,32.3878399990419,36.0,3.6121600009580987,0.10033777780439163
128,11,0.04337228496572472,12,97.30865573061058,0.3370806781761158,32.80086766608039,36.0,3.199132333919607,0.08886478705332242
256,16,0.024396910293220136,1,3.880433254489176,0.264543652432101,1.026543986161551,1.0,0.02654398616155107,0.02654398616155107
256,16,0.024396910293220136,2,3.8804332544892244,0.264543652432101,1.026543986161564,1.0,0.02654398616156395,0.02654398616156395
256,16,0.024396910293220136,3,15.426537879879318,0.264543652432101,4.080992675125434,4.0,0.08099267512543395,0.02024816878135849
256,16,0.024396910293220136,4,15.426537879880405,0.264543652432101,4.080992675125722,4.0,0.08099267512572172,0.02024816878143043
256,16,0.024396910293220136,5,34.35556113876377,0.264543652432101,9.088545625002919,9.0,0.08854562500291863,0.00983840277810207
256,16,0.024396910293220136,6,34.355561138764806,0.264543652432101,9.088545625003192,9.0,0.08854562500319219,0.009838402778132464
256,16,0.024396910293220136,7,60.20559837649174,0.264543652432101,15.927008891377294,16.0,0.07299110862270553,0.004561944288919095
256,16,0.024396910293220136,8,60.205598376492425,0.264543652432101,15.927008891377476,16.0,0.07299110862252434,0.004561944288907771
256,16,0.024396910293220136,9,92.34929783437246,0.264543652432101,24.430420548644804,25.0,0.5695794513551959,0.022783178054207837
256,16,0.024396910293220136,10,92.34929783437303,0.264543652432101,24.430420548644957,25.0,0.5695794513550432,0.022783178054201728
256,16,0.024396910293220136,11,130.0124185945528,0.264543652432101,34.3939600765342,36.0,1.6060399234658007,0.04461222009627224
256,16,0.024396910293220136,12,130.01241859455442,0.264543652432101,34.393960076534626,36.0,1.6060399234653744,0.044612220096260397
512,23,0.010843071241431204,1,6.111598050463494,0.16544290186776953,1.0111205165180834,1.0,0.011120516518083434,0.011120516518083434
512,23,0.010843071241431204,2,6.139111444107468,0.16544290186776953,1.0156724122027727,1.0,0.015672412202772712,0.015672412202772712
512,23,0.010843071241431204,3,24.328875106551312,0.16544290186776953,4.02503969680639,4.0,0.025039696806389955,0.006259924201597489
512,23,0.010843071241431204,4,24.521768985222273,0.16544290186776953,4.056952619846243,4.0,0.05695261984624267,0.014238154961560667
512,23,0.010843071241431204,5,54.524486528229275,0.16544290186776953,9.020689274080357,9.0,0.020689274080357478,0.002298808231150831
512,23,0.010843071241431204,6,54.81447906981999,0.16544290186776953,9.068666481681134,9.0,0.06866648168113443,0.007629609075681603
512,23,0.010843071241431204,7,96.27182611235766,0.16544290186776953,15.92749028013776,16.0,0.07250971986223931,0.004531857491389957
512,23,0.010843071241431204,8,96.70502151159653,0.16544290186776953,15.999159384063605,16.0,0.0008406159363953947,5.253849602471217e-05
512,23,0.010843071241431204,9,148.65533091386357,0.16544290186776953,24.593969324503135,25.0,0.406030675496865,0.0162412270198746
512,23,0.010843071241431204,10,150.0545567261064,0.16544290186776953,24.825461303248876,25.0,0.17453869675112443,0.006981547870044977
512,23,0.010843071241431204,11,212.17299387561854,0.16544290186776953,35.10251580475482,36.0,0.8974841952451769,0.024930116534588247
512,23,0.010843071241431204,12,213.072379473486,0.16544290186776953,35.251312767964095,36.0,0.7486872320359055,0.02079686755655293
1024,32,0.005440360397176394,1,7.864799504666648,0.127938653693736,1.0062118601982126,1.0,0.0062118601982126265,0.0062118601982126265
1024,32,0.005440360397176394,2,7.864799504670578,0.127938653693736,1.0062118601987156,1.0,0.0062118601987155575,0.0062118601987155575
1024,32,0.005440360397176394,3,31.413587292666367,0.127938653693736,4.019012065914388,4.0,0.019012065914387755,0.004753016478596939
1024,32,0.005440360397176394,4,31.41358729266724,0.127938653693736,4.0190120659145,4.0,0.019012065914499665,0.004753016478624916
1024,32,0.005440360397176394,5,70.5098536136363,0.127938653693736,9.020935743471034,9.0,0.020935743471033774,0.0023261937190037526
1024,32,0.005440360397176394,6,70.50985361365085,0.127938653693736,9.020935743472895,9.0,0.020935743472895396,0.0023261937192105998
1024,32,0.005440360397176394,7,124.9271544685455,0.127938653693736,15.983011952495106,16.0,0.0169880475048938,0.0010617529690558625
1024,32,0.005440360397176394,8,124.92715446854959,0.127938653693736,15.98301195249563,16.0,0.016988047504369774,0.001061752969023111
1024,32,0.005440360397176394,9,194.3507112316152,0.127938653693736,24.864968339392906,25.0,0.13503166060709404,0.005401266424283762
1024,32,0.005440360397176394,10,194.3507112316163,0.127938653693736,24.864968339393045,25.0,0.13503166060695548,0.005401266424278219
1024,32,0.005440360397176394,11,278.37963268449977,0.127938653693736,35.615515421411644,36.0,0.3844845785883564,0.0106801271830099
1024,32,0.005440360397176394,12,278.37963268450613,0.127938653693736,35.61551542141246,36.0,0.38448457858753926,0.010680127182987201
